,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,JPM US,J.P. Morgan,,,,,,,,,,121%,-9%,$     353.21,$        166.20,$       245.22,$           353.21,$       320.93,4.56%,1.87%,2.60%,7.63%,565.55%,583.76%,123%,,,,,,,NO,,,4.08%,1.74%,2.35%,0.03%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,14.00%,,J.P. Morgan - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.61%,11/10/2017,,,,,,,,,,$       245.22,-31%,1.70%,$       320.93,$          75.20,$             53.07,$          50.97,1.69%,3.61%,2.45%,1.15%,0.00%,0.00%,-22%,,,,5Y CAGR,10.15%,,J.P. Morgan - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,12.55%,,J.P. Morgan - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,J.P. Morgan - Rating: 121% - Upside: -9%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       63.62,,,12/29/2014,,12/29/2014,,,,,2.89%,$             63.62,1.84,98.42,50.97,75.20,27%,55%,1.87%,3.61%,6.37%,455.19%,470.37%,9.66,2.45%,0.00%,,1997,0.00,-,121,,,0,1.74%,18,18,0.68%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       63.73,,,1/5/2015,,1/5/2015,,,,,2.89%,$             63.73,1.84,98.42,50.97,75.20,27%,54%,1.87%,3.61%,6.35%,454.23%,469.39%,9.66,2.45%,0.00%,,1998,0.00,,-9,,,1,1.77%,31,49,1.17%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        62.81,,,1/12/2015,,1/12/2015,,,,,2.93%,$              62.81,1.84,98.42,50.97,75.20,25%,57%,1.87%,3.61%,6.45%,462.35%,477.73%,9.66,2.45%,-1.44%,,1999,0.00,,,,,2,1.80%,26,75,0.98%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       60.27,,,1/20/2015,,1/20/2015,,,,,3.05%,$             60.27,1.84,98.42,50.97,75.20,20%,63%,1.87%,3.61%,6.72%,486.05%,502.07%,9.66,2.45%,-5.43%,,2000,0.00,,1/1/1970,1970,,3,1.83%,29,104,1.09%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       58.92,,,1/26/2015,,1/26/2015,,,,,3.12%,$             58.92,1.84,98.42,50.97,75.20,17%,67%,1.87%,3.61%,6.87%,499.47%,515.87%,9.66,2.45%,-7.55%,,2001,0.00,,1/1/1971,1971,,4,1.86%,31,135,1.17%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       58.83,,,2/2/2015,,2/2/2015,,,,,3.13%,$             58.83,1.84,98.42,50.97,75.20,17%,67%,1.87%,3.61%,6.88%,500.39%,516.81%,9.66,2.45%,-7.69%,,2002,1.36,,1/1/1972,1972,,5,1.89%,49,184,1.85%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       58.96,,,2/9/2015,,2/9/2015,,,,,3.12%,$             58.96,1.84,98.42,50.97,75.20,17%,67%,1.87%,3.61%,6.87%,499.07%,515.45%,9.66,2.45%,-7.48%,,2003,1.36,0.00%,1/1/1973,1973,,6,1.92%,55,239,2.07%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       57.34,,,2/17/2015,,2/17/2015,,,,,3.21%,$             57.34,1.84,98.42,50.97,75.20,13%,72%,1.87%,3.61%,7.06%,515.99%,532.84%,9.66,2.45%,-10.03%,,2004,1.36,0.00%,1/1/1974,1974,,7,1.95%,26,265,0.98%
