,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,KER FP,Kering SA,,,,,,,,,,2%,382%,$    242.30,$       223.47,$       620.35,$          788.90,$    1.168,46,8.96%,1.20%,2.83%,10.91%,88.83%,108.39%,122%,,,,,,,NO,,,8.20%,1.06%,7.14%,0.10%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Kering SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.26%,11/10/2017,,,,,,,,,,$       620.35,156%,5.78%,$    1.168,46,$        177.24,$           128.32,$          63.85,1.01%,6.26%,2.26%,1.77%,-69.29%,-69.29%,-7%,,,,5Y CAGR,11.84%,,Kering SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,13.35%,,Kering SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Kering SA - Rating: 2% - Upside: 382%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     146.23,,,12/29/2014,,12/29/2014,,,,,2.74%,€             146.23,4.00,333.85,63.85,177.24,31%,128%,1.20%,6.26%,9.57%,65.70%,82.86%,25.1,2.26%,0.00%,,1997,0.00,-,2,,,0,1.06%,87,87,3.22%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                       140.54,,,1/5/2015,,1/5/2015,,,,,2.85%,€             140.54,4.00,333.85,63.85,177.24,28%,138%,1.20%,6.26%,9.96%,72.41%,90.27%,25.1,2.26%,-3.89%,,1998,0.00,,382,,,1,1.16%,119,206,4.40%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                       139.70,,,1/12/2015,,1/12/2015,,,,,2.86%,€             139.70,4.00,333.85,63.85,177.24,28%,139%,1.20%,6.26%,10.02%,73.44%,91.41%,25.1,2.26%,-4.46%,,1999,0.00,,,,,2,1.26%,171,377,6.33%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                        139.10,,,1/19/2015,,1/20/2015,,,,,2.88%,€              139.10,4.00,333.85,63.85,177.24,28%,140%,1.20%,6.26%,10.06%,74.19%,92.24%,25.1,2.26%,-4.87%,,2000,0.00,,1/1/1970,1970,,3,1.36%,137,514,5.07%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                        134.19,,,1/26/2015,,1/26/2015,,,,,2.98%,€              134.19,4.00,333.85,63.85,177.24,26%,149%,1.20%,6.26%,10.43%,80.56%,99.26%,25.1,2.26%,-8.23%,,2001,0.00,,1/1/1971,1971,,4,1.46%,119,633,4.40%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                       132.34,,,2/2/2015,,2/2/2015,,,,,3.02%,€             132.34,4.00,333.85,63.85,177.24,25%,152%,1.20%,6.26%,10.58%,83.09%,102.05%,25.1,2.26%,-9.50%,,2002,2.65,,1/1/1972,1972,,5,1.56%,156,789,5.77%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                        131.79,,,2/9/2015,,2/9/2015,,,,,3.04%,€              131.79,4.00,333.85,63.85,177.24,25%,153%,1.20%,6.26%,10.62%,83.86%,102.90%,25.1,2.26%,-9.88%,,2003,2.53,-4.35%,1/1/1973,1973,,6,1.66%,117,906,4.33%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                       134.05,,,2/16/2015,,2/17/2015,,,,,2.98%,€             134.05,4.00,333.85,63.85,177.24,26%,149%,1.20%,6.26%,10.44%,80.75%,99.47%,25.1,2.26%,-8.33%,,2004,2.40,-5.14%,1/1/1974,1974,,7,1.76%,48,954,1.78%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                        132.81,,,2/23/2015,,2/23/2015,,,,,3.01%,€              132.81,4.00,333.85,63.85,177.24,26%,151%,1.20%,6.26%,10.54%,82.45%,101.35%,25.1,2.26%,-9.18%,,2005,2.52,5.00%,1/1/1975,1975,,8,1.86%,43,997,1.59%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                        131.00,,,3/2/2015,,3/2/2015,,,,,3.05%,€              131.00,4.00,333.85,63.85,177.24,25%,155%,1.20%,6.26%,10.69%,84.96%,104.12%,25.1,2.26%,-10.41%,,2006,2.72,7.94%,1/1/1976,1976,,9,1.96%,104,1101,3.85%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                       130.68,,,3/9/2015,,3/9/2015,,,,,3.06%,€             130.68,4.00,333.85,63.85,177.24,25%,155%,1.20%,6.26%,10.71%,85.42%,104.63%,25.1,2.26%,-10.64%,,2007,3.00,10.29%,1/1/1977,1977,,10,2.06%,105,1206,3.89%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                        131.88,,,3/16/2015,,3/16/2015,,,,,3.03%,€              131.88,4.00,333.85,63.85,177.24,25%,153%,1.20%,6.26%,10.62%,83.73%,102.76%,25.1,2.26%,-9.81%,,2008,3.45,15.00%,1/1/1978,1978,,11,2.16%,134,1340,4.96%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                       139.33,,,3/23/2015,,3/23/2015,,,,,2.87%,€             139.33,4.00,333.85,63.85,177.24,28%,140%,1.20%,6.26%,10.05%,73.90%,91.92%,25.1,2.26%,-4.72%,,2009,3.30,-4.35%,1/1/1979,1979,,12,2.26%,88,1428,3.26%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                        135.17,,,3/30/2015,,3/30/2015,,,,,2.96%,€              135.17,4.00,333.85,63.85,177.24,26%,147%,1.20%,6.26%,10.36%,79.26%,97.83%,25.1,2.26%,-7.57%,,2010,3.30,0.00%,1/1/1980,1980,,13,2.36%,119,1547,4.40%
