,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,KEY CN,Keyera Corp,,,,,,,,,,130%,-15%,$        60.71,$           22.19,$          35.75,$              60.71,$           51.73,18.32%,3.79%,5.58%,18.70%,479.29%,479.29%,130%,,,,,,,NO,,,13.09%,3.33%,9.75%,0.15%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Keyera Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,8.83%,11/10/2017,,,,,,,,,,$          35.75,-41%,3.23%,$           51.73,$          28.05,$              10.48,$           17.40,3.23%,8.83%,5.48%,3.23%,0.00%,0.00%,-39%,,,,5Y CAGR,0.41%,,Keyera Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.46%,,Keyera Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Keyera Corp - Rating: 130% - Upside: -15%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        40.10,,,12/29/2014,,12/29/2014,,,,,3.83%,$              40.10,1.54,40.58,17.40,28.05,98%,1%,3.79%,8.83%,4.89%,51.40%,68.27%,6.7675,5.48%,0.00%,,1997,0.00,-,130,,,0,3.33%,33,33,1.25%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       39.95,,,1/5/2015,,1/5/2015,,,,,3.85%,$             39.95,1.54,40.58,17.40,28.05,97%,2%,3.79%,8.83%,4.91%,51.96%,68.90%,6.7675,5.48%,-0.37%,,1998,0.00,,-15,,,1,3.48%,15,48,0.57%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       38.72,,,1/12/2015,,1/12/2015,,,,,3.97%,$             38.72,1.54,40.58,17.40,28.05,92%,5%,3.79%,8.83%,5.06%,56.79%,74.27%,6.7675,5.48%,-3.44%,,1999,0.00,,,,,2,3.63%,68,116,2.57%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       38.05,,,1/19/2015,,1/20/2015,,,,,4.04%,$             38.05,1.54,40.58,17.40,28.05,89%,7%,3.79%,8.83%,5.15%,59.55%,77.34%,6.7675,5.48%,-5.11%,,2000,0.00,,1/1/1970,1970,,3,3.78%,97,213,3.66%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       38.78,,,1/26/2015,,1/26/2015,,,,,3.96%,$             38.78,1.54,40.58,17.40,28.05,92%,5%,3.79%,8.83%,5.05%,56.55%,74.00%,6.7675,5.48%,-3.29%,,2001,0.00,,1/1/1971,1971,,4,3.93%,140,353,5.29%
