,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,KHC US,Kraft Heinz Co/The,,,,,,,,,,4%,132%,$       25.67,$          24.38,$          56.35,$             96.65,$          92.92,7.98%,2.69%,4.48%,7.98%,27.97%,27.97%,110%,,,,,,,NO,,,7.28%,2.62%,4.66%,0.10%,47
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Kraft Heinz Co/The - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.56%,11/10/2017,,,,,,,,,,$          36.06,40%,6.23%,$          59.47,$          36.06,$             20.06,$          24.38,2.53%,6.56%,4.44%,1.66%,-73.44%,-66.66%,-12%,,,,5Y CAGR,0.00%,,Kraft Heinz Co/The - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-3.77%,,Kraft Heinz Co/The - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Kraft Heinz Co/The - Rating: 4% - Upside: 132%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       72.70,,,7/6/2015,,12/29/2014,,,,,3.23%,$             72.70,2.35,87.34,35.81,52.97,72%,20%,2.69%,6.56%,2.20%,-64.69%,-52.45%,8.9,4.44%,0.00%,,1997,0.00,-,4,,,0,2.62%,150,150,5.65%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       73.39,,,7/13/2015,,1/5/2015,,,,,3.20%,$             73.39,2.35,87.34,35.81,52.97,73%,19%,2.69%,6.56%,2.18%,-65.02%,-52.90%,8.9,4.44%,0.00%,,1998,0.00,,132,,,1,2.72%,105,255,3.96%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       73.53,,,7/20/2015,,1/12/2015,,,,,3.20%,$             73.53,2.35,87.34,35.81,52.97,73%,19%,2.69%,6.56%,2.18%,-65.09%,-52.99%,8.9,4.44%,0.00%,,1999,0.00,,,,,2,2.82%,53,308,2.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        71.90,,,7/27/2015,,1/20/2015,,,,,3.27%,$              71.90,2.35,87.34,35.81,52.97,70%,21%,2.69%,6.56%,2.23%,-64.30%,-51.92%,8.9,4.44%,-2.22%,,2000,0.00,,1/1/1970,1970,,3,2.92%,53,361,2.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         71.18,,,8/3/2015,,1/26/2015,,,,,3.30%,$               71.18,2.35,87.34,35.81,52.97,69%,23%,2.69%,6.56%,2.25%,-63.94%,-51.43%,8.9,4.44%,-3.20%,,2001,0.00,,1/1/1971,1971,,4,3.02%,58,419,2.19%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       72.27,,,8/10/2015,,2/2/2015,,,,,3.25%,$             72.27,2.35,87.34,35.81,52.97,71%,21%,2.69%,6.56%,2.21%,-64.48%,-52.17%,8.9,4.44%,-1.71%,,2002,0.00,,1/1/1972,1972,,5,3.12%,71,490,2.68%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       73.23,,,8/17/2015,,2/9/2015,,,,,3.21%,$             73.23,2.35,87.34,35.81,52.97,73%,19%,2.69%,6.56%,2.18%,-64.95%,-52.79%,8.9,4.44%,-0.41%,,2003,0.00,,1/1/1973,1973,,6,3.22%,21,511,0.79%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        70.81,,,8/24/2015,,2/17/2015,,,,,3.32%,$              70.81,2.35,87.34,35.81,52.97,68%,23%,2.69%,6.56%,2.26%,-63.75%,-51.18%,8.9,4.44%,-3.70%,,2004,0.00,,1/1/1974,1974,,7,3.32%,28,539,1.06%
