,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,KLAC US,KLA Corp,,,,,,,,,,168%,-36%,$     210.52,$           25.12,$          53.37,$            301.71,$        135.70,36.13%,5.60%,17.04%,85.08%,3247.96%,3411.77%,250%,,,,,,,NO,,,33.33%,3.19%,30.14%,0.01%,3014
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,12.41%,,KLA Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,30.25%,11/10/2017,,,,,,,,,,$          53.37,-75%,3.61%,$        135.70,$           14.75,$                6.29,$             6.94,2.52%,30.25%,14.24%,1.77%,-30.22%,-30.22%,-4%,,,,5Y CAGR,14.27%,,KLA Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,13.73%,,KLA Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,KLA Corp - Rating: 168% - Upside: -36%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                          6.87,,,12/29/2014,,12/29/2014,,,,,30.57%,$                6.87,2.10,37.50,6.94,14.75,0%,446%,5.60%,30.25%,77.89%,2964.78%,3114.73%,10.3,14.24%,0.00%,,1997,0.00,-,168,,,0,3.19%,0,0,0.00%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                          6.87,,,1/5/2015,,1/5/2015,,,,,30.55%,$                6.87,2.10,37.50,6.94,14.75,0%,445%,5.60%,30.25%,77.83%,2962.55%,3112.39%,10.3,14.24%,0.00%,,1998,0.00,,-36,,,1,3.20%,1,1,0.04%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                          6.66,,,1/12/2015,,1/12/2015,,,,,31.54%,$                6.66,2.10,37.50,6.94,14.75,-1%,463%,5.60%,30.25%,80.35%,3061.91%,3216.61%,10.3,14.24%,-3.14%,,1999,0.00,,,,,2,3.21%,0,1,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                          6.59,,,1/20/2015,,1/20/2015,,,,,31.85%,$                6.59,2.10,37.50,6.94,14.75,-1%,469%,5.60%,30.25%,81.13%,3092.60%,3248.80%,10.3,14.24%,-4.07%,,2000,0.00,,1/1/1970,1970,,3,3.22%,1,2,0.04%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                          6.52,,,1/26/2015,,1/26/2015,,,,,32.19%,$                6.52,2.10,37.50,6.94,14.75,-1%,475%,5.60%,30.25%,82.00%,3126.85%,3284.73%,10.3,14.24%,-5.09%,,2001,0.00,,1/1/1971,1971,,4,3.23%,0,2,0.00%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                          6.55,,,2/2/2015,,2/2/2015,,,,,32.06%,$                6.55,2.10,37.50,6.94,14.75,-1%,472%,5.60%,30.25%,81.67%,3113.56%,3270.78%,10.3,14.24%,-4.70%,,2002,0.00,,1/1/1972,1972,,5,3.24%,0,2,0.00%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                          6.58,,,2/9/2015,,2/9/2015,,,,,31.94%,$                6.58,2.10,37.50,6.94,14.75,-1%,470%,5.60%,30.25%,81.37%,3101.83%,3258.48%,10.3,14.24%,-4.35%,,2003,0.00,,1/1/1973,1973,,6,3.25%,1,3,0.04%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                          6.48,,,2/17/2015,,2/17/2015,,,,,32.42%,$                6.48,2.10,37.50,6.94,14.75,-2%,479%,5.60%,30.25%,82.59%,3149.77%,3308.77%,10.3,14.24%,-5.76%,,2004,0.00,,1/1/1974,1974,,7,3.26%,0,3,0.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                          6.67,,,2/23/2015,,2/23/2015,,,,,31.50%,$                6.67,2.10,37.50,6.94,14.75,-1%,462%,5.60%,30.25%,80.26%,3058.12%,3212.63%,10.3,14.24%,-3.03%,,2005,0.36,,1/1/1975,1975,,8,3.27%,0,3,0.00%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                          6.46,,,3/2/2015,,3/2/2015,,,,,32.53%,$                6.46,2.10,37.50,6.94,14.75,-2%,481%,5.60%,30.25%,82.88%,3161.35%,3320.91%,10.3,14.24%,-6.10%,,2006,0.48,33.33%,1/1/1976,1976,,9,3.28%,1,4,0.04%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                          6.43,,,3/9/2015,,3/9/2015,,,,,32.65%,$                6.43,2.10,37.50,6.94,14.75,-2%,483%,5.60%,30.25%,83.18%,3173.01%,3333.15%,10.3,14.24%,-6.43%,,2007,0.54,12.50%,1/1/1977,1977,,10,3.29%,0,4,0.00%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                           6.51,,,3/16/2015,,3/16/2015,,,,,32.28%,$                 6.51,2.10,37.50,6.94,14.75,-1%,476%,5.60%,30.25%,82.23%,3135.78%,3294.10%,10.3,14.24%,-5.35%,,2008,0.60,11.11%,1/1/1978,1978,,11,3.30%,1,5,0.04%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                          6.46,,,3/23/2015,,3/23/2015,,,,,32.49%,$                6.46,2.10,37.50,6.94,14.75,-2%,480%,5.60%,30.25%,82.78%,3157.31%,3316.68%,10.3,14.24%,-5.98%,,2009,0.60,0.00%,1/1/1979,1979,,12,3.31%,1,6,0.04%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                           6.51,,,3/30/2015,,3/30/2015,,,,,32.26%,$                 6.51,2.10,37.50,6.94,14.75,-1%,476%,5.60%,30.25%,82.19%,3134.29%,3292.53%,10.3,14.24%,-5.31%,,2010,0.80,33.33%,1/1/1980,1980,,13,3.32%,0,6,0.00%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                          6.47,,,4/6/2015,,4/6/2015,,,,,32.48%,$                6.47,2.10,37.50,6.94,14.75,-2%,480%,5.60%,30.25%,82.75%,3156.30%,3315.62%,10.3,14.24%,-5.95%,,2011,1.20,50.00%,1/1/1981,1981,,14,3.33%,0,6,0.00%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                           6.51,,,4/13/2015,,4/13/2015,,,,,32.24%,$                 6.51,2.10,37.50,6.94,14.75,-1%,476%,5.60%,30.25%,82.13%,3131.81%,3289.93%,10.3,14.24%,-5.24%,,2012,1.50,25.00%,1/1/1982,1982,,15,3.34%,0,6,0.00%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                          6.44,,,4/20/2015,,4/20/2015,,,,,32.59%,$                6.44,2.10,37.50,6.94,14.75,-2%,482%,5.60%,30.25%,83.04%,3167.42%,3327.29%,10.3,14.24%,-6.27%,,2013,1.70,13.33%,1/1/1983,1983,,16,3.35%,0,6,0.00%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                          6.55,,,4/27/2015,,4/27/2015,,,,,32.09%,$                6.55,2.10,37.50,6.94,14.75,-1%,473%,5.60%,30.25%,81.74%,3116.50%,3273.87%,10.3,14.24%,-4.79%,,2014,1.90,11.76%,1/1/1984,1984,,17,3.36%,0,6,0.00%
