,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,KMI US,Kinder Morgan,,,,,,,,,,54%,45%,$       32.86,$           15.58,$          23.76,$              34.31,$          47.69,10.40%,2.36%,4.92%,11.27%,229.26%,229.26%,114%,,,,,,,NO,,,8.48%,2.22%,6.26%,0.10%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Kinder Morgan - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.22%,11/10/2017,,,,,,,,,,$          23.76,-28%,3.42%,$          47.69,$           10.56,$                9.98,$             6.93,2.16%,7.22%,4.74%,3.28%,-4.23%,-4.23%,-15%,,,,5Y CAGR,0.96%,,Kinder Morgan - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.45%,,Kinder Morgan - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Kinder Morgan - Rating: 54% - Upside: 45%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        15.27,,,12/29/2014,,12/29/2014,,,,,3.27%,$              15.27,0.50,21.19,6.93,10.56,58%,39%,2.36%,7.22%,7.37%,115.19%,132.71%,2.675,4.74%,0.00%,,1997,0.00,-,54,,,0,2.22%,77,77,2.90%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        15.58,,,1/5/2015,,1/5/2015,,,,,3.21%,$              15.58,0.50,21.19,6.93,10.56,61%,36%,2.36%,7.22%,7.22%,110.91%,128.08%,2.675,4.74%,0.00%,,1998,0.00,,45,,,1,2.32%,84,161,3.17%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        14.77,,,1/12/2015,,1/12/2015,,,,,3.39%,$              14.77,0.50,21.19,6.93,10.56,55%,43%,2.36%,7.22%,7.62%,122.48%,140.59%,2.675,4.74%,-5.20%,,1999,0.00,,,,,2,2.42%,47,208,1.77%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        14.25,,,1/20/2015,,1/20/2015,,,,,3.51%,$              14.25,0.50,21.19,6.93,10.56,51%,49%,2.36%,7.22%,7.89%,130.60%,149.37%,2.675,4.74%,-8.54%,,2000,0.00,,1/1/1970,1970,,3,2.52%,56,264,2.11%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        14.77,,,1/26/2015,,1/26/2015,,,,,3.39%,$              14.77,0.50,21.19,6.93,10.56,55%,43%,2.36%,7.22%,7.62%,122.48%,140.59%,2.675,4.74%,-5.20%,,2001,0.00,,1/1/1971,1971,,4,2.62%,74,338,2.79%
