,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,KVUE US,Kenvue,,,,,,,,,,29%,34%,$        19.48,$           16.75,$          20.96,$             27.50,$          26.08,5.88%,3.18%,4.05%,5.67%,38.06%,38.06%,,,,,,,,NO,,,5.77%,2.96%,2.81%,0.04%,70
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.23%,,Kenvue - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$          20.96,8%,4.26%,$          26.08,$          20.20,$                14.11,$            16.15,2.91%,4.95%,3.96%,2.91%,-29.16%,-29.16%,,,,,5Y CAGR,,,Kenvue - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Kenvue - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Kenvue - Rating: 29% - Upside: 34%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2023,1/12/2023,,,,1/12/2023,,12/29/2014,,,,,,PRICE,0.80,25.14,16.15,20.20,,,3.18%,4.95%,,,,0,3.96%,,,1997,0.00,-,29,,,0,2.96%,2,2,0.25%
,,,,,,,,,,,,,,,,,,2023,1/13/2023,,,,1/17/2023,,1/5/2015,,,,,,PRICE,0.80,25.14,16.15,20.20,,,3.18%,4.95%,,,,0,3.96%,,,1998,0.00,,34,,,1,3.00%,8,10,0.99%
,,,,,,,,,,,,,,,,,,2023,1/17/2023,,,,1/23/2023,,1/12/2015,,,,,,PRICE,0.80,25.14,16.15,20.20,,,3.18%,4.95%,,,,0,3.96%,,,1999,0.00,,,,,2,3.04%,12,22,1.48%
,,,,,,,,,,,,,,,,,,2023,1/18/2023,,,,1/30/2023,,1/20/2015,,,,,,PRICE,0.80,25.14,16.15,20.20,,,3.18%,4.95%,,,,0,3.96%,,,2000,0.00,,1/1/1970,1970,,3,3.08%,5,27,0.62%
,,,,,,,,,,,,,,,,,,2023,1/19/2023,,,,2/6/2023,,1/26/2015,,,,,,PRICE,0.80,25.14,16.15,20.20,,,3.18%,4.95%,,,,0,3.96%,,,2001,0.00,,1/1/1971,1971,,4,3.12%,4,31,0.49%
