,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,KW US,Kennedy-Wilson Holdings Inc,,,,,,,,,,9%,228%,$        10.92,$              8.31,$           21.05,$             25.22,$          35.86,15.82%,2.68%,5.85%,15.82%,79.90%,79.90%,117%,,,,,,,NO,,,15.06%,2.47%,12.59%,0.20%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Kennedy-Wilson Holdings Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,11.56%,11/10/2017,,,,,,,,,,$           21.05,93%,8.79%,$          35.86,$           12.28,$                6.07,$             4.85,2.37%,11.56%,4.56%,3.81%,-56.70%,-56.70%,-8%,,,,5Y CAGR,1.30%,,Kennedy-Wilson Holdings Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.54%,,Kennedy-Wilson Holdings Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Kennedy-Wilson Holdings Inc - Rating: 9% - Upside: 228%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       23.54,,,12/29/2014,,12/29/2014,,,,,2.38%,$             23.54,0.56,20.92,4.85,12.28,116%,-11%,2.68%,11.56%,4.08%,-53.61%,-41.33%,2.89,4.56%,0.00%,,1997,0.00,-,9,,,0,2.47%,116,116,4.42%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       23.62,,,1/5/2015,,1/5/2015,,,,,2.37%,$             23.62,0.56,20.92,4.85,12.28,117%,-11%,2.68%,11.56%,4.06%,-53.77%,-41.53%,2.89,4.56%,0.00%,,1998,0.00,,228,,,1,2.67%,84,200,3.20%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        23.15,,,1/12/2015,,1/12/2015,,,,,2.42%,$              23.15,0.56,20.92,4.85,12.28,114%,-10%,2.68%,11.56%,4.15%,-52.83%,-40.35%,2.89,4.56%,-1.99%,,1999,0.00,,,,,2,2.87%,22,222,0.84%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        21.75,,,1/20/2015,,1/20/2015,,,,,2.57%,$              21.75,0.56,20.92,4.85,12.28,105%,-4%,2.68%,11.56%,4.41%,-49.79%,-36.51%,2.89,4.56%,-7.92%,,2000,0.00,,1/1/1970,1970,,3,3.07%,40,262,1.52%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       20.77,,,1/26/2015,,1/26/2015,,,,,2.70%,$             20.77,0.56,20.92,4.85,12.28,99%,1%,2.68%,11.56%,4.62%,-47.42%,-33.51%,2.89,4.56%,-12.07%,,2001,0.00,,1/1/1971,1971,,4,3.27%,70,332,2.66%
