,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LEG US,Leggett & Platt Inc,,,,,,,,,,3%,502%,$          11.16,$             9.39,$          44.26,$             57.95,$          67.22,27.74%,2.71%,6.99%,27.74%,70.12%,70.12%,112%,,,,,,,NO,,,24.95%,2.54%,22.41%,0.01%,2241
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Leggett & Platt Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,19.38%,11/10/2017,,,,,,,,,,$          44.26,297%,16.31%,$          67.22,$          32.59,$                6.56,$             6.92,2.46%,19.38%,4.11%,3.14%,-80.74%,-80.74%,-5%,,,,5Y CAGR,1.86%,,Leggett & Platt Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.11%,,Leggett & Platt Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Leggett & Platt Inc - Rating: 3% - Upside: 502%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        41.02,,,12/29/2014,,12/29/2014,,,,,3.27%,$              41.02,1.34,49.49,6.92,32.59,80%,21%,2.71%,19.38%,4.44%,-72.79%,-58.56%,5.84,4.11%,0.00%,,1997,0.00,-,3,,,0,2.54%,5,5,0.19%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        41.48,,,1/5/2015,,1/5/2015,,,,,3.23%,$              41.48,1.34,49.49,6.92,32.59,81%,19%,2.71%,19.38%,4.39%,-73.10%,-59.02%,5.84,4.11%,0.00%,,1998,0.00,,502,,,1,2.55%,9,14,0.34%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       40.34,,,1/12/2015,,1/12/2015,,,,,3.32%,$             40.34,1.34,49.49,6.92,32.59,79%,23%,2.71%,19.38%,4.51%,-72.34%,-57.86%,5.84,4.11%,-2.75%,,1999,0.00,,,,,2,2.56%,6,20,0.23%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       40.23,,,1/20/2015,,1/20/2015,,,,,3.33%,$             40.23,1.34,49.49,6.92,32.59,78%,23%,2.71%,19.38%,4.52%,-72.26%,-57.74%,5.84,4.11%,-3.01%,,2000,0.00,,1/1/1970,1970,,3,2.57%,4,24,0.15%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        40.41,,,1/26/2015,,1/26/2015,,,,,3.32%,$              40.41,1.34,49.49,6.92,32.59,79%,22%,2.71%,19.38%,4.50%,-72.38%,-57.93%,5.84,4.11%,-2.58%,,2001,0.00,,1/1/1971,1971,,4,2.58%,4,28,0.15%
