,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LFUS US,Littelfuse Inc,,,,,,,,,,114%,-6%,$    404.86,$        216.35,$       270.08,$           489.10,$        381.87,1.81%,0.68%,0.94%,2.65%,329.88%,336.31%,165%,,,,,,,NO,,,1.64%,0.55%,1.08%,0.02%,54
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.32%,,Littelfuse Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.20%,11/10/2017,,,,,,,,,,$       270.08,-33%,0.64%,$        381.87,$         128.81,$              94.18,$         103.18,0.53%,1.20%,0.96%,0.51%,-17.22%,-17.22%,-44%,,,,5Y CAGR,5.18%,,Littelfuse Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.68%,,Littelfuse Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Littelfuse Inc - Rating: 114% - Upside: -6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     103.23,,,12/29/2014,,12/29/2014,,,,,1.20%,$           103.23,1.24,182.12,103.18,128.81,0%,76%,0.68%,1.20%,2.42%,292.19%,298.06%,6.06,0.96%,0.00%,,1997,0.00,-,114,,,0,0.55%,16,16,0.60%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     104.56,,,1/5/2015,,1/5/2015,,,,,1.19%,$           104.56,1.24,182.12,103.18,128.81,2%,74%,0.68%,1.20%,2.39%,287.20%,293.00%,6.06,0.96%,0.00%,,1998,0.00,,-6,,,1,0.57%,8,24,0.30%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                      102.01,,,1/12/2015,,1/12/2015,,,,,1.22%,$            102.01,1.24,182.12,103.18,128.81,-1%,79%,0.68%,1.20%,2.45%,296.88%,302.82%,6.06,0.96%,-2.44%,,1999,0.00,,,,,2,0.59%,6,30,0.23%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       97.08,,,1/20/2015,,1/20/2015,,,,,1.28%,$             97.08,1.24,182.12,103.18,128.81,-8%,88%,0.68%,1.20%,2.58%,317.04%,323.28%,6.06,0.96%,-7.15%,,2000,0.00,,1/1/1970,1970,,3,0.61%,18,48,0.68%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       98.85,,,1/26/2015,,1/26/2015,,,,,1.25%,$             98.85,1.24,182.12,103.18,128.81,-5%,84%,0.68%,1.20%,2.53%,309.57%,315.70%,6.06,0.96%,-5.46%,,2001,0.00,,1/1/1971,1971,,4,0.63%,26,74,0.98%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       98.92,,,2/2/2015,,2/2/2015,,,,,1.25%,$             98.92,1.24,182.12,103.18,128.81,-5%,84%,0.68%,1.20%,2.53%,309.28%,315.41%,6.06,0.96%,-5.39%,,2002,0.00,,1/1/1972,1972,,5,0.65%,34,108,1.28%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       98.50,,,2/9/2015,,2/9/2015,,,,,1.26%,$             98.50,1.24,182.12,103.18,128.81,-6%,85%,0.68%,1.20%,2.54%,311.03%,317.18%,6.06,0.96%,-5.80%,,2003,0.00,,1/1/1973,1973,,6,0.67%,42,150,1.58%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        97.01,,,2/17/2015,,2/17/2015,,,,,1.28%,$              97.01,1.24,182.12,103.18,128.81,-8%,88%,0.68%,1.20%,2.58%,317.34%,323.59%,6.06,0.96%,-7.22%,,2004,0.00,,1/1/1974,1974,,7,0.69%,60,210,2.26%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       97.97,,,2/23/2015,,2/23/2015,,,,,1.27%,$             97.97,1.24,182.12,103.18,128.81,-7%,86%,0.68%,1.20%,2.55%,313.25%,319.43%,6.06,0.96%,-6.30%,,2005,0.00,,1/1/1975,1975,,8,0.71%,107,317,4.03%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        96.71,,,3/2/2015,,3/2/2015,,,,,1.28%,$              96.71,1.24,182.12,103.18,128.81,-8%,88%,0.68%,1.20%,2.59%,318.63%,324.90%,6.06,0.96%,-7.51%,,2006,0.00,,1/1/1976,1976,,9,0.73%,110,427,4.15%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        95.17,,,3/9/2015,,3/9/2015,,,,,1.30%,$              95.17,1.24,182.12,103.18,128.81,-10%,91%,0.68%,1.20%,2.63%,325.41%,331.77%,6.06,0.96%,-8.98%,,2007,0.00,,1/1/1977,1977,,10,0.75%,112,539,4.22%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        94.18,,,3/16/2015,,3/16/2015,,,,,1.32%,$              94.18,1.24,182.12,103.18,128.81,-11%,93%,0.68%,1.20%,2.65%,329.88%,336.31%,6.06,0.96%,-9.93%,,2008,0.00,,1/1/1978,1978,,11,0.77%,92,631,3.47%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       95.40,,,3/23/2015,,3/23/2015,,,,,1.30%,$             95.40,1.24,182.12,103.18,128.81,-10%,91%,0.68%,1.20%,2.62%,324.38%,330.73%,6.06,0.96%,-8.76%,,2009,0.00,,1/1/1979,1979,,12,0.79%,71,702,2.68%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        97.15,,,3/30/2015,,3/30/2015,,,,,1.28%,$              97.15,1.24,182.12,103.18,128.81,-8%,87%,0.68%,1.20%,2.57%,316.74%,322.97%,6.06,0.96%,-7.09%,,2010,0.15,,1/1/1980,1980,,13,0.81%,70,772,2.64%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       97.32,,,4/6/2015,,4/6/2015,,,,,1.27%,$             97.32,1.24,182.12,103.18,128.81,-7%,87%,0.68%,1.20%,2.57%,316.01%,322.24%,6.06,0.96%,-6.92%,,2011,0.66,340.00%,1/1/1981,1981,,14,0.83%,57,829,2.15%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                     100.48,,,4/13/2015,,4/13/2015,,,,,1.23%,$           100.48,1.24,182.12,103.18,128.81,-3%,81%,0.68%,1.20%,2.49%,302.93%,308.96%,6.06,0.96%,-3.90%,,2012,0.76,15.15%,1/1/1982,1982,,15,0.85%,87,916,3.28%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       99.32,,,4/20/2015,,4/20/2015,,,,,1.25%,$             99.32,1.24,182.12,103.18,128.81,-5%,83%,0.68%,1.20%,2.52%,307.63%,313.73%,6.06,0.96%,-5.01%,,2013,0.84,10.53%,1/1/1983,1983,,16,0.87%,81,997,3.05%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                      100.12,,,4/27/2015,,4/27/2015,,,,,1.24%,$            100.12,1.24,182.12,103.18,128.81,-4%,82%,0.68%,1.20%,2.50%,304.37%,310.43%,6.06,0.96%,-4.25%,,2014,0.94,11.90%,1/1/1984,1984,,17,0.89%,70,1067,2.64%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                      101.90,,,5/4/2015,,5/4/2015,,,,,1.22%,$            101.90,1.24,182.12,103.18,128.81,-2%,79%,0.68%,1.20%,2.45%,297.31%,303.26%,6.06,0.96%,-2.54%,,2015,1.08,14.89%,1/1/1985,1985,,18,0.91%,96,1163,3.62%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                     102.32,,,5/11/2015,,5/11/2015,,,,,1.21%,$           102.32,1.24,182.12,103.18,128.81,-1%,78%,0.68%,1.20%,2.44%,295.68%,301.60%,6.06,0.96%,-2.14%,,2016,1.24,14.81%,1/1/1986,1986,,19,0.93%,94,1257,3.54%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       111.60,,,5/18/2015,,5/18/2015,,,,,1.11%,$             111.60,1.24,182.12,103.18,128.81,11%,63%,0.68%,1.20%,2.24%,262.78%,268.21%,6.06,0.96%,0.00%,,2017,1.40,12.90%,1/1/1987,1987,,20,0.95%,140,1397,5.28%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                     108.00,,,5/26/2015,,5/26/2015,,,,,1.15%,$           108.00,1.24,182.12,103.18,128.81,6%,69%,0.68%,1.20%,2.31%,274.87%,280.48%,6.06,0.96%,-3.23%,,2018,1.60,14.29%,1/1/1988,1988,,21,0.97%,147,1544,5.54%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       111.29,,,6/1/2015,,6/1/2015,,,,,1.11%,$             111.29,1.24,182.12,103.18,128.81,10%,64%,0.68%,1.20%,2.25%,263.79%,269.23%,6.06,0.96%,-0.28%,,2019,1.82,13.75%,1/1/1989,1989,,22,0.99%,166,1710,6.26%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                     109.36,,,6/8/2015,,6/8/2015,,,,,1.13%,$           109.36,1.24,182.12,103.18,128.81,8%,67%,0.68%,1.20%,2.29%,270.21%,275.75%,6.06,0.96%,-2.01%,,2020,1.92,5.49%,1/1/1990,1990,,23,1.01%,174,1884,6.56%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                      108.15,,,6/15/2015,,6/15/2015,,,,,1.15%,$            108.15,1.24,182.12,103.18,128.81,6%,68%,0.68%,1.20%,2.31%,274.35%,279.95%,6.06,0.96%,-3.09%,,2021,2.02,5.21%,1/1/1991,1991,,24,1.03%,143,2027,5.39%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                     108.04,,,6/22/2015,,6/22/2015,,,,,1.15%,$           108.04,1.24,182.12,103.18,128.81,6%,69%,0.68%,1.20%,2.31%,274.73%,280.34%,6.06,0.96%,-3.19%,,2022,2.26,11.88%,1/1/1992,1992,,25,1.05%,113,2140,4.26%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                      107.61,,,6/29/2015,,6/29/2015,,,,,1.15%,$            107.61,1.24,182.12,103.18,128.81,6%,69%,0.68%,1.20%,2.32%,276.23%,281.86%,6.06,0.96%,-3.58%,,2023,2.50,10.62%,1/1/1993,1993,,26,1.07%,105,2245,3.96%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                     107.99,,,7/6/2015,,7/6/2015,,,,,1.15%,$           107.99,1.24,182.12,103.18,128.81,6%,69%,0.68%,1.20%,2.32%,274.91%,280.52%,6.06,0.96%,-3.23%,,2024,2.60,4.00%,1/1/1994,1994,,27,1.09%,89,2334,3.36%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                      110.32,,,7/13/2015,,7/13/2015,,,,,1.12%,$            110.32,1.24,182.12,103.18,128.81,9%,65%,0.68%,1.20%,2.27%,266.99%,272.48%,6.06,0.96%,-1.15%,,2025,2.60,0.00%,1/1/1995,1995,,28,1.11%,59,2393,2.22%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                      113.32,,,7/20/2015,,7/20/2015,,,,,1.09%,$            113.32,1.24,182.12,103.18,128.81,13%,61%,0.68%,1.20%,2.21%,257.27%,262.62%,6.06,0.96%,0.00%,,2026,2.60,0.00%,1/1/1996,1996,,29,1.13%,56,2449,2.11%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                      113.53,,,7/27/2015,,7/27/2015,,,,,1.09%,$            113.53,1.24,182.12,103.18,128.81,13%,60%,0.68%,1.20%,2.20%,256.61%,261.95%,6.06,0.96%,0.00%,,,,,1/1/1997,1997,,30,1.15%,27,2476,1.02%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                      113.40,,,8/3/2015,,8/3/2015,,,,,1.09%,$            113.40,1.24,182.12,103.18,128.81,13%,61%,0.68%,1.20%,2.20%,257.02%,262.36%,6.06,0.96%,-0.11%,,,,,1/1/1998,1998,,31,1.17%,23,2499,0.87%
