,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LGEN LN,Legal & General Group PLC,,,,,,,,,,62%,16%,$    299.60,$       220.50,$       284.25,$           318.40,$       348.90,12.68%,5.63%,7.11%,14.17%,116.16%,118.55%,118%,,,,,,,NO,,,9.81%,5.39%,4.42%,0.10%,44
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Legal & General Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,8.91%,11/10/2017,,,,,,,,,,$       284.25,-5%,6.56%,$       348.90,$        201.90,$           138.60,$        156.62,5.27%,8.91%,6.91%,6.17%,-5.90%,-5.90%,-51%,,,,5Y CAGR,1.96%,,Legal & General Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.48%,,Legal & General Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Legal & General Group PLC - Rating: 62% - Upside: 16%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     259.10,,,12/29/2014,,12/29/2014,,,,,5.38%,259.10,13.95,247.82,156.62,201.90,112%,-4%,5.63%,8.91%,7.58%,15.63%,39.17%,61,6.91%,0.00%,,1997,0.00,-,62,,,0,5.39%,45,45,1.67%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,261.60,,,1/5/2015,,1/5/2015,,,,,5.33%,261.60,13.95,247.82,156.62,201.90,115%,-5%,5.63%,8.91%,7.51%,14.53%,37.84%,61,6.91%,0.00%,,1998,0.00,,16,,,1,5.49%,57,102,2.11%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,256.30,,,1/12/2015,,1/12/2015,,,,,5.44%,256.30,13.95,247.82,156.62,201.90,109%,-3%,5.63%,8.91%,7.66%,16.89%,40.69%,61,6.91%,-2.03%,,1999,0.00,,,,,2,5.59%,79,181,2.93%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,247.40,,,1/19/2015,,1/20/2015,,,,,5.64%,247.40,13.95,247.82,156.62,201.90,100%,0%,5.63%,8.91%,7.94%,21.10%,45.76%,61,6.91%,-5.43%,,2000,0.00,,1/1/1970,1970,,3,5.69%,99,280,3.67%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,246.00,,,1/26/2015,,1/26/2015,,,,,5.67%,246.00,13.95,247.82,156.62,201.90,98%,1%,5.63%,8.91%,7.98%,21.79%,46.59%,61,6.91%,-5.96%,,2001,0.00,,1/1/1971,1971,,4,5.79%,111,391,4.11%
