,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LGT/A CN,Logistec Corp,,,,,,,,,,99%,0%,$       63.70,$          24.95,$           51.22,$             68.90,$          84.65,2.06%,0.55%,0.96%,1.56%,180.49%,180.49%,118%,,,,,,,NO,,,1.84%,0.52%,1.32%,0.02%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Logistec Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.42%,11/10/2017,,,,,,,,,,$          38.72,-39%,0.55%,$          64.00,$          25.47,$              22.71,$            16.41,0.50%,1.42%,0.91%,0.51%,-7.55%,-7.55%,-20%,,,,5Y CAGR,-1.61%,,Logistec Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.65%,,Logistec Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Logistec Corp - Rating: 99% - Upside: 0%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       43.00,,,12/30/2014,,12/29/2014,,,,,0.70%,$             43.00,0.30,54.32,21.18,32.87,66%,26%,0.55%,1.42%,0.82%,48.14%,51.02%,1.2365,0.91%,0.00%,,1997,0.00,-,99,,,0,0.52%,52,52,3.87%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        41.50,,,1/6/2015,,1/5/2015,,,,,0.72%,$              41.50,0.30,54.32,21.18,32.87,61%,31%,0.55%,1.42%,0.85%,53.49%,56.47%,1.2365,0.91%,-3.49%,,1998,0.00,,0,,,1,0.54%,46,98,3.42%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        41.00,,,1/15/2015,,1/12/2015,,,,,0.73%,$              41.00,0.30,54.32,21.18,32.87,60%,32%,0.55%,1.42%,0.86%,55.37%,58.38%,1.2365,0.91%,-4.65%,,1999,0.00,,,,,2,0.56%,49,147,3.64%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       40.00,,,1/21/2015,,1/20/2015,,,,,0.75%,$             40.00,0.30,54.32,21.18,32.87,57%,36%,0.55%,1.42%,0.88%,59.25%,62.34%,1.2365,0.91%,-6.98%,,2000,0.00,,1/1/1970,1970,,3,0.58%,27,174,2.01%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       40.00,,,2/2/2015,,1/26/2015,,,,,0.75%,$             40.00,0.30,54.32,21.18,32.87,57%,36%,0.55%,1.42%,0.88%,59.25%,62.34%,1.2365,0.91%,-6.98%,,2001,0.00,,1/1/1971,1971,,4,0.60%,22,196,1.64%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       40.00,,,2/9/2015,,2/2/2015,,,,,0.75%,$             40.00,0.30,54.32,21.18,32.87,57%,36%,0.55%,1.42%,0.88%,59.25%,62.34%,1.2365,0.91%,-6.98%,,2002,0.11,,1/1/1972,1972,,5,0.62%,10,206,0.74%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       40.00,,,2/20/2015,,2/9/2015,,,,,0.75%,$             40.00,0.30,54.32,21.18,32.87,57%,36%,0.55%,1.42%,0.88%,59.25%,62.34%,1.2365,0.91%,-6.98%,,2003,0.11,0.00%,1/1/1973,1973,,6,0.64%,20,226,1.49%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       40.00,,,3/3/2015,,2/17/2015,,,,,0.75%,$             40.00,0.30,54.32,21.18,32.87,57%,36%,0.55%,1.42%,0.88%,59.25%,62.34%,1.2365,0.91%,-6.98%,,2004,0.11,0.00%,1/1/1974,1974,,7,0.66%,24,250,1.78%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                        41.92,,,3/9/2015,,2/23/2015,,,,,0.72%,$              41.92,0.30,54.32,21.18,32.87,63%,30%,0.55%,1.42%,0.84%,51.96%,54.91%,1.2365,0.91%,-2.51%,,2005,0.12,6.82%,1/1/1975,1975,,8,0.68%,12,262,0.89%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       39.06,,,3/24/2015,,3/2/2015,,,,,0.77%,$             39.06,0.30,54.32,21.18,32.87,54%,39%,0.55%,1.42%,0.90%,63.08%,66.25%,1.2365,0.91%,-9.16%,,2006,0.10,-17.02%,1/1/1976,1976,,9,0.70%,20,282,1.49%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       38.44,,,3/30/2015,,3/9/2015,,,,,0.78%,$             38.44,0.30,54.32,21.18,32.87,52%,41%,0.55%,1.42%,0.92%,65.71%,68.93%,1.2365,0.91%,-10.60%,,2007,0.14,47.44%,1/1/1977,1977,,10,0.72%,10,292,0.74%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       37.99,,,4/6/2015,,3/16/2015,,,,,0.79%,$             37.99,0.30,54.32,21.18,32.87,51%,43%,0.55%,1.42%,0.93%,67.68%,70.93%,1.2365,0.91%,-11.65%,,2008,0.16,7.83%,1/1/1978,1978,,11,0.74%,14,306,1.04%
