,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LIO LN,Liontrust Asset Management PLC,,,,,,,,,,,,$    294.00,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Liontrust Asset Management PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,4.42%,,Liontrust Asset Management PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,18.67%,,Liontrust Asset Management PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    275.00,,,12/29/2014,,12/29/2014,,,,,4.73%,275.00,13.00,,,,,,,,26.18%,,,81,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,270.00,,,1/5/2015,,1/5/2015,,,,,4.81%,270.00,13.00,,,,,,,,26.67%,,,81,,-1.82%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,275.25,,,1/12/2015,,1/12/2015,,,,,4.72%,275.25,13.00,,,,,,,,26.16%,,,81,,0.00%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,270.25,,,1/19/2015,,1/20/2015,,,,,4.81%,270.25,13.00,,,,,,,,26.64%,,,81,,-1.82%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,270.00,,,1/26/2015,,1/26/2015,,,,,4.81%,270.00,13.00,,,,,,,,26.67%,,,81,,-1.91%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,272.00,,,2/2/2015,,2/2/2015,,,,,4.78%,272.00,13.00,,,,,,,,26.47%,,,81,,-1.18%,,2002,3.50,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,270.00,,,2/9/2015,,2/9/2015,,,,,4.81%,270.00,13.00,,,,,,,,26.67%,,,81,,-1.91%,,2003,4.50,28.57%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,280.00,,,2/16/2015,,2/17/2015,,,,,4.64%,280.00,13.00,,,,,,,,25.71%,,,81,,0.00%,,2004,8.00,77.78%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,272.00,,,2/23/2015,,2/23/2015,,,,,4.78%,272.00,13.00,,,,,,,,26.47%,,,81,,-2.86%,,2005,10.85,35.63%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,267.00,,,3/2/2015,,3/2/2015,,,,,4.87%,267.00,13.00,,,,,,,,26.97%,,,81,,-4.64%,,2006,11.40,5.07%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/18/2016,270.00,,,3/9/2015,,3/9/2015,,,,,4.81%,270.00,13.00,,,,,,,,26.67%,,,81,,-3.57%,,2007,12.30,7.89%,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,265.00,,,3/16/2015,,3/16/2015,,,,,4.91%,265.00,13.00,,,,,,,,27.17%,,,81,,-5.36%,,2008,12.50,1.63%,1/1/1978,1978,,11,,,,
