,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LLBN SW,Liechtensteinische Landesbank,,,,,,,,,,180%,-22%,$      114.80,$           57.71,$           68.15,$            116.00,$          89.44,4.80%,2.80%,3.69%,7.50%,244.23%,266.42%,184%,,,,,,,NO,,,4.61%,2.22%,2.39%,0.03%,80
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Liechtensteinische Landesbank - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.33%,11/10/2017,,,,,,,,,,$           68.15,-41%,2.18%,$          89.44,$          43.62,$             33.35,$          36.93,2.16%,4.33%,3.67%,2.16%,-1.03%,-1.03%,-18%,,,,5Y CAGR,2.59%,,Liechtensteinische Landesbank - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.56%,,Liechtensteinische Landesbank - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Liechtensteinische Landesbank - Rating: 180% - Upside: -22%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       36.00,,,12/29/2014,,12/29/2014,,,,,4.44%,36.00 CHF,1.60,57.24,36.93,43.62,-5%,59%,2.80%,4.33%,6.94%,218.89%,239.44%,7.4,3.67%,0.00%,,1997,0.00,-,180,,,0,2.22%,1,1,0.04%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,36.50 CHF,,,1/5/2015,,1/5/2015,,,,,4.38%,36.50 CHF,1.60,57.24,36.93,43.62,-2%,57%,2.80%,4.33%,6.85%,214.52%,234.79%,7.4,3.67%,0.00%,,1998,0.00,,-22,,,1,2.25%,0,1,0.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,35.25 CHF,,,1/12/2015,,1/12/2015,,,,,4.54%,35.25 CHF,1.60,57.24,36.93,43.62,-8%,62%,2.80%,4.33%,7.09%,225.67%,246.67%,7.4,3.67%,-3.42%,,1999,0.00,,,,,2,2.28%,1,2,0.04%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,35.00 CHF,,,1/19/2015,,1/20/2015,,,,,4.57%,35.00 CHF,1.60,57.24,36.93,43.62,-10%,64%,2.80%,4.33%,7.14%,228.00%,249.14%,7.4,3.67%,-4.11%,,2000,0.00,,1/1/1970,1970,,3,2.31%,2,4,0.08%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,34.35 CHF,,,1/26/2015,,1/26/2015,,,,,4.66%,34.35 CHF,1.60,57.24,36.93,43.62,-13%,67%,2.80%,4.33%,7.28%,234.21%,255.75%,7.4,3.67%,-5.89%,,2001,0.00,,1/1/1971,1971,,4,2.34%,1,5,0.04%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,34.50 CHF,,,2/2/2015,,2/2/2015,,,,,4.64%,34.50 CHF,1.60,57.24,36.93,43.62,-12%,66%,2.80%,4.33%,7.25%,232.75%,254.20%,7.4,3.67%,-5.48%,,2002,1.80,,1/1/1972,1972,,5,2.37%,4,9,0.15%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,34.85 CHF,,,2/9/2015,,2/9/2015,,,,,4.59%,34.85 CHF,1.60,57.24,36.93,43.62,-10%,64%,2.80%,4.33%,7.17%,229.41%,250.65%,7.4,3.67%,-4.52%,,2003,1.80,0.00%,1/1/1973,1973,,6,2.40%,6,15,0.23%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,35.70 CHF,,,2/16/2015,,2/17/2015,,,,,4.48%,35.70 CHF,1.60,57.24,36.93,43.62,-6%,60%,2.80%,4.33%,7.00%,221.57%,242.30%,7.4,3.67%,-2.19%,,2004,1.90,5.56%,1/1/1974,1974,,7,2.43%,5,20,0.19%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,34.40 CHF,,,2/23/2015,,2/23/2015,,,,,4.65%,34.40 CHF,1.60,57.24,36.93,43.62,-12%,66%,2.80%,4.33%,7.27%,233.72%,255.23%,7.4,3.67%,-5.75%,,2005,2.20,15.79%,1/1/1975,1975,,8,2.46%,5,25,0.19%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,33.60 CHF,,,3/2/2015,,3/2/2015,,,,,4.76%,33.60 CHF,1.60,57.24,36.93,43.62,-16%,70%,2.80%,4.33%,7.44%,241.67%,263.69%,7.4,3.67%,-7.95%,,2006,2.80,27.27%,1/1/1976,1976,,9,2.49%,18,43,0.68%
