,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LLY US,Eli Lilly & Co,,,,,,,,,,119%,-13%,$  1.197,53,$        216.47,$        354.14,$       1.235,56,$   1.044,34,3.09%,0.57%,1.65%,6.85%,1715.26%,1728.83%,123%,,,,,,,NO,,,3.01%,0.51%,2.50%,0.04%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,9.90%,,Eli Lilly & Co - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.77%,11/10/2017,,,,,,,,,,$        354.14,-70%,0.50%,$   1.044,34,$         120.41,$             65.97,$          73.60,0.49%,2.77%,1.69%,0.37%,-3.08%,-3.08%,-3%,,,,5Y CAGR,12.03%,,Eli Lilly & Co - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.39%,,Eli Lilly & Co - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Eli Lilly & Co - Rating: 119% - Upside: -13%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       82.87,,,12/29/2014,,12/29/2014,,,,,2.46%,$             82.87,2.04,355.07,73.60,120.41,3%,328%,0.57%,2.77%,5.45%,1345.07%,1355.87%,8.95,1.69%,0.00%,,1997,0.74,-,119,,,0,0.51%,35,35,1.32%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                         84.11,,,1/5/2015,,1/5/2015,,,,,2.43%,$               84.11,2.04,355.07,73.60,120.41,4%,322%,0.57%,2.77%,5.37%,1323.77%,1334.41%,8.95,1.69%,0.00%,,1998,0.80,8.11%,-13,,,1,0.55%,125,160,4.71%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       83.58,,,1/12/2015,,1/12/2015,,,,,2.44%,$             83.58,2.04,355.07,73.60,120.41,4%,325%,0.57%,2.77%,5.41%,1332.79%,1343.50%,8.95,1.69%,-0.63%,,1999,0.92,15.00%,,,,2,0.59%,69,229,2.60%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                         81.41,,,1/20/2015,,1/20/2015,,,,,2.51%,$               81.41,2.04,355.07,73.60,120.41,3%,336%,0.57%,2.77%,5.55%,1370.99%,1381.98%,8.95,1.69%,-3.21%,,2000,1.04,13.04%,1/1/1970,1970,,3,0.63%,85,314,3.20%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        81.25,,,1/26/2015,,1/26/2015,,,,,2.51%,$              81.25,2.04,355.07,73.60,120.41,3%,337%,0.57%,2.77%,5.56%,1373.88%,1384.90%,8.95,1.69%,-3.40%,,2001,1.12,7.69%,1/1/1971,1971,,4,0.67%,100,414,3.77%
