,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LOK LN,Lok'nStore Group PLC,,,,,,,,,,98%,1%,$  1.105,00,$       656.56,$        817.00,$        1.125,00,$     1.115,00,3.69%,1.70%,2.31%,7.10%,313.08%,328.79%,133%,,,,,,,NO,,,3.13%,1.55%,1.58%,0.02%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Lok'nStore Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.89%,11/10/2017,,,,,,,,,,$        817.00,-26%,1.72%,$     1.115,00,$       387.00,$          267.50,$         311.00,1.50%,2.89%,2.33%,1.69%,-1.78%,-1.78%,-31%,,,,5Y CAGR,4.84%,,Lok'nStore Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.76%,,Lok'nStore Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Lok'nStore Group PLC - Rating: 98% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    343.50,,,12/29/2014,,12/29/2014,,,,,2.62%,343.50,9.00,528.16,311.00,387.00,15%,54%,1.70%,2.89%,5.53%,221.69%,233.92%,42,2.33%,0.00%,,1997,0.00,-,98,,,0,1.55%,10,10,0.46%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,345.00,,,1/5/2015,,1/5/2015,,,,,2.61%,345.00,9.00,528.16,311.00,387.00,16%,53%,1.70%,2.89%,5.51%,220.29%,232.46%,42,2.33%,0.00%,,1998,0.00,,1,,,1,1.57%,6,16,0.27%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,347.50,,,1/12/2015,,1/12/2015,,,,,2.59%,347.50,9.00,528.16,311.00,387.00,17%,52%,1.70%,2.89%,5.47%,217.99%,230.07%,42,2.33%,0.00%,,1999,0.00,,,,,2,1.59%,8,24,0.36%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,350.00,,,1/19/2015,,1/20/2015,,,,,2.57%,350.00,9.00,528.16,311.00,387.00,18%,51%,1.70%,2.89%,5.43%,215.71%,227.71%,42,2.33%,0.00%,,2000,0.00,,1/1/1970,1970,,3,1.61%,10,34,0.46%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,351.50,,,1/26/2015,,1/26/2015,,,,,2.56%,351.50,9.00,528.16,311.00,387.00,19%,50%,1.70%,2.89%,5.41%,214.37%,226.32%,42,2.33%,0.00%,,2001,0.00,,1/1/1971,1971,,4,1.63%,6,40,0.27%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,351.50,,,2/2/2015,,2/2/2015,,,,,2.56%,351.50,9.00,528.16,311.00,387.00,19%,50%,1.70%,2.89%,5.41%,214.37%,226.32%,42,2.33%,0.00%,,2002,0.00,,1/1/1972,1972,,5,1.65%,9,49,0.41%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,352.50,,,2/9/2015,,2/9/2015,,,,,2.55%,352.50,9.00,528.16,311.00,387.00,19%,50%,1.70%,2.89%,5.39%,213.48%,225.39%,42,2.33%,0.00%,,2003,0.00,,1/1/1973,1973,,6,1.67%,24,73,1.09%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,340.50,,,2/16/2015,,2/17/2015,,,,,2.64%,340.50,9.00,528.16,311.00,387.00,14%,55%,1.70%,2.89%,5.58%,224.52%,236.86%,42,2.33%,-3.40%,,2004,0.00,,1/1/1974,1974,,7,1.69%,33,106,1.51%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,337.50,,,2/23/2015,,2/23/2015,,,,,2.67%,337.50,9.00,528.16,311.00,387.00,12%,56%,1.70%,2.89%,5.63%,227.41%,239.85%,42,2.33%,-4.26%,,2005,0.00,,1/1/1975,1975,,8,1.71%,76,182,3.47%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,330.50,,,3/2/2015,,3/2/2015,,,,,2.72%,330.50,9.00,528.16,311.00,387.00,9%,60%,1.70%,2.89%,5.75%,234.34%,247.05%,42,2.33%,-6.24%,,2006,0.00,,1/1/1976,1976,,9,1.73%,51,233,2.33%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,330.00,,,3/9/2015,,3/9/2015,,,,,2.73%,330.00,9.00,528.16,311.00,387.00,9%,60%,1.70%,2.89%,5.76%,234.85%,247.58%,42,2.33%,-6.38%,,2007,0.67,,1/1/1977,1977,,10,1.75%,25,258,1.14%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,325.00,,,3/16/2015,,3/16/2015,,,,,2.77%,325.00,9.00,528.16,311.00,387.00,6%,63%,1.70%,2.89%,5.85%,240.00%,252.92%,42,2.33%,-7.80%,,2008,1.00,49.25%,1/1/1978,1978,,11,1.77%,36,294,1.64%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,319.00,,,3/23/2015,,3/23/2015,,,,,2.82%,319.00,9.00,528.16,311.00,387.00,4%,66%,1.70%,2.89%,5.96%,246.39%,259.56%,42,2.33%,-9.50%,,2009,1.00,0.00%,1/1/1979,1979,,12,1.79%,53,347,2.42%
