,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LOTB BB,Lotus Bakeries NV,,,,,,,,,,98%,1%,########,$  3.770,69,$  6.222,29,$    12.580,00,$10.839,00,1.36%,0.42%,0.75%,2.86%,581.89%,586.91%,125%,,,,,,,NO,,,1.27%,0.37%,0.90%,0.02%,45
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Lotus Bakeries NV - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.19%,11/10/2017,,,,,,,,,,$  6.222,29,-42%,0.42%,$10.839,00,$   1.963,48,$        1.572,10,$    1.189,86,0.36%,1.19%,0.72%,0.36%,-14.79%,-14.79%,-6%,,,,5Y CAGR,4.86%,,Lotus Bakeries NV - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,12.23%,,Lotus Bakeries NV - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Lotus Bakeries NV - Rating: 98% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                  1.736,10,,,12/29/2014,,12/29/2014,,,,,0.82%,€         1.736,10,14.20,3.420,31,1.189,86,1.963,48,24%,97%,0.42%,1.19%,2.59%,517.48%,522.02%,78.9,0.72%,0.00%,,1997,0.00,-,98,,,0,0.37%,46,46,1.70%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                    1.731,00,,,1/5/2015,,1/5/2015,,,,,0.82%,€         1.731,00,14.20,3.420,31,1.189,86,1.963,48,24%,98%,0.42%,1.19%,2.60%,519.30%,523.85%,78.9,0.72%,-0.29%,,1998,0.00,,1,,,1,0.39%,43,89,1.59%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                    1.710,50,,,1/12/2015,,1/12/2015,,,,,0.83%,€         1.710,50,14.20,3.420,31,1.189,86,1.963,48,23%,100%,0.42%,1.19%,2.63%,526.72%,531.33%,78.9,0.72%,-1.47%,,1999,0.00,,,,,2,0.41%,74,163,2.74%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                    1.710,00,,,1/19/2015,,1/20/2015,,,,,0.83%,€         1.710,00,14.20,3.420,31,1.189,86,1.963,48,23%,100%,0.42%,1.19%,2.63%,526.90%,531.51%,78.9,0.72%,-1.50%,,2000,0.00,,1/1/1970,1970,,3,0.43%,59,222,2.18%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                   1.674,00,,,1/26/2015,,1/26/2015,,,,,0.85%,€        1.674,00,14.20,3.420,31,1.189,86,1.963,48,22%,104%,0.42%,1.19%,2.69%,540.38%,545.10%,78.9,0.72%,-3.58%,,2001,0.00,,1/1/1971,1971,,4,0.45%,82,304,3.03%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                    1.661,00,,,2/2/2015,,2/2/2015,,,,,0.85%,€         1.661,00,14.20,3.420,31,1.189,86,1.963,48,21%,106%,0.42%,1.19%,2.71%,545.39%,550.14%,78.9,0.72%,-4.33%,,2002,0.69,,1/1/1972,1972,,5,0.47%,27,331,1.00%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                   1.685,05,,,2/9/2015,,2/9/2015,,,,,0.84%,€        1.685,05,14.20,3.420,31,1.189,86,1.963,48,22%,103%,0.42%,1.19%,2.67%,536.18%,540.87%,78.9,0.72%,-2.94%,,2003,1.00,44.23%,1/1/1973,1973,,6,0.49%,59,390,2.18%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                    1.714,75,,,2/16/2015,,2/17/2015,,,,,0.83%,€         1.714,75,14.20,3.420,31,1.189,86,1.963,48,24%,99%,0.42%,1.19%,2.62%,525.16%,529.77%,78.9,0.72%,-1.23%,,2004,1.40,40.00%,1/1/1974,1974,,7,0.51%,53,443,1.96%
