,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LRCX US,Lam Research Corp,,,,,,,,,,149%,-28%,$      291.61,$           41.66,$          80.34,$          433.33,$       209.00,3.42%,0.50%,1.39%,11.60%,4441.50%,4459.41%,234%,,,,,,,NO,,,3.12%,0.28%,2.84%,0.04%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,11.76%,,Lam Research Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.50%,11/10/2017,,,,,,,,,,$          80.34,-72%,0.36%,$       209.00,$           10.43,$                6.42,$              5.41,0.24%,2.50%,1.29%,0.17%,-32.70%,-32.70%,-7%,,,,5Y CAGR,13.18%,,Lam Research Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,22.65%,,Lam Research Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Lam Research Corp - Rating: 149% - Upside: -28%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                          7.77,,,12/29/2014,,12/29/2014,,,,,1.74%,$                7.77,0.14,27.13,5.41,10.43,11%,249%,0.50%,2.50%,9.58%,3651.58%,3666.37%,1.15,1.29%,0.00%,,1997,0.00,-,149,,,0,0.28%,19,19,0.72%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                          7.82,,,1/5/2015,,1/5/2015,,,,,1.73%,$                7.82,0.14,27.13,5.41,10.43,11%,247%,0.50%,2.50%,9.53%,3631.41%,3646.13%,1.15,1.29%,0.00%,,1998,0.00,,-28,,,1,0.32%,21,40,0.79%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                          7.36,,,1/12/2015,,1/12/2015,,,,,1.84%,$                7.36,0.14,27.13,5.41,10.43,9%,269%,0.50%,2.50%,10.13%,3864.25%,3879.88%,1.15,1.29%,-5.87%,,1999,0.00,,,,,2,0.36%,19,59,0.72%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                           7.17,,,1/20/2015,,1/20/2015,,,,,1.88%,$                 7.17,0.14,27.13,5.41,10.43,8%,278%,0.50%,2.50%,10.39%,3966.52%,3982.55%,1.15,1.29%,-8.24%,,2000,0.00,,1/1/1970,1970,,3,0.40%,20,79,0.75%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                          7.05,,,1/26/2015,,1/26/2015,,,,,1.92%,$                7.05,0.14,27.13,5.41,10.43,8%,285%,0.50%,2.50%,10.57%,4037.49%,4053.80%,1.15,1.29%,-9.81%,,2001,0.00,,1/1/1971,1971,,4,0.44%,32,111,1.21%
