,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MACF LN,Macfarlane Group PLC,,,,,,,,,,,,$       67.40,,,$           145.00,,,,,6.62%,29.00%,44.94%,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Macfarlane Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,5.13%,,,$             52.25,,,,,2.39%,-53.52%,-53.52%,,,,,5Y CAGR,4.93%,,Macfarlane Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.52%,,Macfarlane Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       59.00,,,12/29/2014,,12/29/2014,,,,,3.12%,59.00,1.84,,,,,,,,5.86%,14.24%,28.36%,8.33,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,57.25,,,1/5/2015,,1/5/2015,,,,,3.21%,57.25,1.84,,,,,,,,6.04%,17.73%,32.28%,8.33,,-2.97%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,57.00,,,1/12/2015,,1/12/2015,,,,,3.23%,57.00,1.84,,,,,,,,6.07%,18.25%,32.86%,8.33,,-3.39%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,54.50,,,1/19/2015,,1/20/2015,,,,,3.38%,54.50,1.84,,,,,,,,6.35%,23.67%,38.95%,8.33,,-7.63%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,56.00,,,1/26/2015,,1/26/2015,,,,,3.29%,56.00,1.84,,,,,,,,6.18%,20.36%,35.23%,8.33,,-5.08%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,56.00,,,2/2/2015,,2/2/2015,,,,,3.29%,56.00,1.84,,,,,,,,6.18%,20.36%,35.23%,8.33,,-5.08%,,2002,5.00,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,56.50,,,2/9/2015,,2/9/2015,,,,,3.26%,56.50,1.84,,,,,,,,6.12%,19.29%,34.04%,8.33,,-4.24%,,2003,3.20,-36.00%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,57.00,,,2/16/2015,,2/17/2015,,,,,3.23%,57.00,1.84,,,,,,,,6.07%,18.25%,32.86%,8.33,,-3.39%,,2004,0.00,-100.00%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,56.75,,,2/23/2015,,2/23/2015,,,,,3.24%,56.75,1.84,,,,,,,,6.10%,18.77%,33.44%,8.33,,-3.81%,,2005,0.00,,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,56.25,,,3/2/2015,,3/2/2015,,,,,3.27%,56.25,1.84,,,,,,,,6.15%,19.82%,34.63%,8.33,,-4.66%,,2006,1.00,,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/18/2016,52.25,,,3/9/2015,,3/9/2015,,,,,3.52%,52.25,1.84,,,,,,,,6.62%,29.00%,44.94%,8.33,,-11.44%,,2007,2.00,100.00%,1/1/1977,1977,,10,,,,
