,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MATW US,Matthews International Corp,,,,,,,,,,8%,219%,$        28.15,$          22.80,$          37.44,$             76.95,$          89.82,4.95%,1.04%,2.53%,5.20%,57.53%,57.53%,138%,,,,,,,NO,,,4.68%,0.83%,3.85%,0.05%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Matthews International Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.08%,11/10/2017,,,,,,,,,,$          37.44,33%,3.30%,$          89.82,$          24.96,$              17.87,$           15.20,0.81%,4.08%,2.48%,1.21%,-63.42%,-60.45%,-6%,,,,5Y CAGR,1.46%,,Matthews International Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.14%,,Matthews International Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Matthews International Corp - Rating: 8% - Upside: 219%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        51.34,,,12/29/2014,,12/29/2014,,,,,1.21%,$              51.34,0.62,59.88,15.20,24.96,81%,17%,1.04%,4.08%,1.81%,-45.17%,-39.52%,2.9,2.48%,0.00%,,1997,0.00,-,8,,,0,0.83%,16,16,0.60%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        52.51,,,1/5/2015,,1/5/2015,,,,,1.18%,$              52.51,0.62,59.88,15.20,24.96,84%,14%,1.04%,4.08%,1.77%,-46.39%,-40.87%,2.9,2.48%,0.00%,,1998,0.00,,219,,,1,0.88%,12,28,0.45%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        51.63,,,1/12/2015,,1/12/2015,,,,,1.20%,$              51.63,0.62,59.88,15.20,24.96,82%,16%,1.04%,4.08%,1.80%,-45.48%,-39.86%,2.9,2.48%,-1.68%,,1999,0.00,,,,,2,0.93%,13,41,0.49%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       50.93,,,1/20/2015,,1/20/2015,,,,,1.22%,$             50.93,0.62,59.88,15.20,24.96,80%,18%,1.04%,4.08%,1.83%,-44.73%,-39.03%,2.9,2.48%,-3.01%,,2000,0.00,,1/1/1970,1970,,3,0.98%,59,100,2.22%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       49.82,,,1/26/2015,,1/26/2015,,,,,1.24%,$             49.82,0.62,59.88,15.20,24.96,77%,20%,1.04%,4.08%,1.87%,-43.50%,-37.68%,2.9,2.48%,-5.12%,,2001,0.00,,1/1/1971,1971,,4,1.03%,122,222,4.60%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       49.66,,,2/2/2015,,2/2/2015,,,,,1.25%,$             49.66,0.62,59.88,15.20,24.96,77%,21%,1.04%,4.08%,1.87%,-43.31%,-37.47%,2.9,2.48%,-5.43%,,2002,0.11,,1/1/1972,1972,,5,1.08%,79,301,2.98%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       50.46,,,2/9/2015,,2/9/2015,,,,,1.23%,$             50.46,0.62,59.88,15.20,24.96,79%,19%,1.04%,4.08%,1.84%,-44.21%,-38.47%,2.9,2.48%,-3.90%,,2003,0.12,15.29%,1/1/1973,1973,,6,1.13%,50,351,1.88%
