,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MDLZ US,Mondelez,,,,,,,,,,3%,81%,$       60.67,$          58.95,$          80.64,$             78.36,$        109.89,3.48%,1.63%,2.26%,4.46%,66.95%,76.51%,116%,,,,,,,NO,,,3.30%,1.55%,1.76%,0.03%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.38%,,Mondelez - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.04%,11/10/2017,,,,,,,,,,$          80.64,33%,2.95%,$        109.89,$           31.54,$             36.34,$          23.05,1.52%,3.04%,2.22%,2.07%,-22.58%,-22.58%,-15%,,,,5Y CAGR,6.12%,,Mondelez - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,9.84%,,Mondelez - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Mondelez - Rating: 3% - Upside: 81%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       43.79,,,12/29/2014,,12/29/2014,,,,,1.60%,$             43.79,0.70,42.97,23.05,31.54,104%,-2%,1.63%,3.04%,3.70%,38.55%,46.48%,3.475,2.22%,0.00%,,1997,0.00,-,3,,,0,1.55%,36,36,1.36%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        44.15,,,1/5/2015,,1/5/2015,,,,,1.59%,$              44.15,0.70,42.97,23.05,31.54,106%,-3%,1.63%,3.04%,3.67%,37.42%,45.29%,3.475,2.22%,0.00%,,1998,0.00,,81,,,1,1.58%,38,74,1.43%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       43.99,,,1/12/2015,,1/12/2015,,,,,1.59%,$             43.99,0.70,42.97,23.05,31.54,105%,-2%,1.63%,3.04%,3.68%,37.92%,45.82%,3.475,2.22%,-0.36%,,1999,0.00,,,,,2,1.61%,58,132,2.18%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        41.59,,,1/20/2015,,1/20/2015,,,,,1.68%,$              41.59,0.70,42.97,23.05,31.54,93%,3%,1.63%,3.04%,3.90%,45.88%,54.23%,3.475,2.22%,-5.80%,,2000,0.00,,1/1/1970,1970,,3,1.64%,34,166,1.28%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       40.99,,,1/26/2015,,1/26/2015,,,,,1.71%,$             40.99,0.70,42.97,23.05,31.54,90%,5%,1.63%,3.04%,3.95%,48.01%,56.49%,3.475,2.22%,-7.16%,,2001,0.00,,1/1/1971,1971,,4,1.67%,35,201,1.32%
