,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MG CN,Magna International Inc,,,,,,,,,,57%,31%,$       94.83,$          55.23,$          86.00,$           125.24,$        124.54,6.07%,2.01%,3.02%,7.08%,168.56%,168.56%,130%,,,,,,,NO,,,5.48%,1.80%,3.68%,0.05%,74
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Magna International Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.53%,11/10/2017,,,,,,,,,,$          86.00,-9%,2.64%,$        124.54,$          45.28,$              35.31,$          29.08,1.72%,4.53%,2.91%,2.00%,-24.28%,-24.28%,-20%,,,,5Y CAGR,3.02%,,Magna International Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.62%,,Magna International Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Magna International Inc - Rating: 57% - Upside: 31%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       55.70,,,12/29/2014,,12/29/2014,,,,,2.36%,$             55.70,1.32,65.57,29.08,45.28,73%,18%,2.01%,4.53%,4.49%,70.25%,81.78%,6.420112,2.91%,0.00%,,1997,0.00,-,57,,,0,1.80%,20,20,0.76%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       54.35,,,1/5/2015,,1/5/2015,,,,,2.42%,$             54.35,1.32,65.57,29.08,45.28,69%,21%,2.01%,4.53%,4.60%,74.48%,86.29%,6.420112,2.91%,-2.42%,,1998,0.00,,31,,,1,1.85%,26,46,0.98%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       52.34,,,1/12/2015,,1/12/2015,,,,,2.52%,$             52.34,1.32,65.57,29.08,45.28,64%,25%,2.01%,4.53%,4.78%,81.18%,93.45%,6.420112,2.91%,-6.03%,,1999,0.00,,,,,2,1.90%,30,76,1.13%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       49.74,,,1/19/2015,,1/20/2015,,,,,2.65%,$             49.74,1.32,65.57,29.08,45.28,57%,32%,2.01%,4.53%,5.03%,90.65%,103.56%,6.420112,2.91%,-10.70%,,2000,0.00,,1/1/1970,1970,,3,1.95%,38,114,1.43%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         50.11,,,1/26/2015,,1/26/2015,,,,,2.63%,$               50.11,1.32,65.57,29.08,45.28,58%,31%,2.01%,4.53%,4.99%,89.24%,102.06%,6.420112,2.91%,-10.04%,,2001,0.00,,1/1/1971,1971,,4,2.00%,45,159,1.70%
