,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MGA US,Magna International Inc,,,,,,,,,,52%,38%,$        67.16,$          39.64,$          63.32,$           103.74,$          92.35,6.61%,1.99%,3.04%,7.60%,177.29%,177.29%,135%,,,,,,,NO,,,5.65%,1.75%,3.90%,0.05%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Magna International Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.64%,11/10/2017,,,,,,,,,,$          63.32,-6%,2.74%,$          92.35,$           34.41,$             24.22,$           21.54,1.66%,4.64%,2.91%,1.77%,-35.26%,-35.26%,-22%,,,,5Y CAGR,1.36%,,Magna International Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.29%,,Magna International Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Magna International Inc - Rating: 52% - Upside: 38%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       39.97,,,12/29/2014,,12/29/2014,,,,,2.50%,$             39.97,1.00,50.19,21.54,34.41,64%,26%,1.99%,4.64%,4.60%,68.03%,80.24%,4.88,2.91%,0.00%,,1997,0.00,-,52,,,0,1.75%,18,18,0.68%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       38.83,,,1/5/2015,,1/5/2015,,,,,2.58%,$             38.83,1.00,50.19,21.54,34.41,60%,29%,1.99%,4.64%,4.74%,72.96%,85.53%,4.88,2.91%,-2.85%,,1998,0.00,,38,,,1,1.80%,18,36,0.68%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        37.17,,,1/12/2015,,1/12/2015,,,,,2.69%,$              37.17,1.00,50.19,21.54,34.41,55%,35%,1.99%,4.64%,4.95%,80.68%,93.81%,4.88,2.91%,-7.01%,,1999,0.00,,,,,2,1.85%,18,54,0.68%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       35.27,,,1/20/2015,,1/20/2015,,,,,2.84%,$             35.27,1.00,50.19,21.54,34.41,48%,42%,1.99%,4.64%,5.22%,90.42%,104.25%,4.88,2.91%,-11.76%,,2000,0.00,,1/1/1970,1970,,3,1.90%,27,81,1.02%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       35.40,,,1/26/2015,,1/26/2015,,,,,2.82%,$             35.40,1.00,50.19,21.54,34.41,48%,42%,1.99%,4.64%,5.20%,89.72%,103.50%,4.88,2.91%,-11.43%,,2001,0.00,,1/1/1971,1971,,4,1.95%,50,131,1.88%
