,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MO US,Altria,,,,,,,,,,36%,65%,$       72.89,$           46.14,$          60.43,$              77.71,$        120.37,10.83%,3.52%,6.66%,12.24%,132.28%,132.28%,113%,,,,,,,NO,,,9.94%,3.35%,6.59%,0.10%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.36%,,Altria - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,9.19%,11/10/2017,,,,,,,,,,$          60.43,-17%,5.82%,$        120.37,$          33.49,$              31.38,$          25.57,3.27%,9.19%,7.02%,4.94%,-6.20%,-2.37%,-9%,,,,5Y CAGR,3.79%,,Altria - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.08%,,Altria - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Altria - Rating: 36% - Upside: 65%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       57.39,,,12/29/2014,,12/29/2014,,,,,4.09%,$             57.39,2.35,66.72,25.57,33.49,77%,16%,3.52%,9.19%,6.69%,27.01%,46.47%,11.17,7.02%,0.00%,,1997,0.00,-,36,,,0,3.35%,62,62,2.34%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       58.55,,,1/5/2015,,1/5/2015,,,,,4.01%,$             58.55,2.35,66.72,25.57,33.49,80%,14%,3.52%,9.19%,6.56%,24.49%,43.57%,11.17,7.02%,0.00%,,1998,0.00,,65,,,1,3.45%,98,160,3.69%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        59.17,,,1/12/2015,,1/12/2015,,,,,3.97%,$              59.17,2.35,66.72,25.57,33.49,82%,13%,3.52%,9.19%,6.49%,23.19%,42.07%,11.17,7.02%,0.00%,,1999,0.00,,,,,2,3.55%,83,243,3.13%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        58.14,,,1/20/2015,,1/20/2015,,,,,4.04%,$              58.14,2.35,66.72,25.57,33.49,79%,15%,3.52%,9.19%,6.60%,25.37%,44.58%,11.17,7.02%,-1.74%,,2000,0.00,,1/1/1970,1970,,3,3.65%,69,312,2.60%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       58.24,,,1/26/2015,,1/26/2015,,,,,4.04%,$             58.24,2.35,66.72,25.57,33.49,79%,15%,3.52%,9.19%,6.59%,25.15%,44.33%,11.17,7.02%,-1.57%,,2001,0.00,,1/1/1971,1971,,4,3.75%,61,373,2.30%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       59.46,,,2/2/2015,,2/2/2015,,,,,3.95%,$             59.46,2.35,66.72,25.57,33.49,82%,12%,3.52%,9.19%,6.46%,22.59%,41.37%,11.17,7.02%,0.00%,,2002,2.44,,1/1/1972,1972,,5,3.85%,57,430,2.15%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       59.38,,,2/9/2015,,2/9/2015,,,,,3.96%,$             59.38,2.35,66.72,25.57,33.49,82%,12%,3.52%,9.19%,6.47%,22.75%,41.56%,11.17,7.02%,-0.13%,,2003,2.64,8.20%,1/1/1973,1973,,6,3.95%,44,474,1.66%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       57.78,,,2/17/2015,,2/17/2015,,,,,4.07%,$             57.78,2.35,66.72,25.57,33.49,78%,15%,3.52%,9.19%,6.65%,26.15%,45.48%,11.17,7.02%,-2.83%,,2004,2.82,6.82%,1/1/1974,1974,,7,4.05%,17,491,0.64%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       58.22,,,2/23/2015,,2/23/2015,,,,,4.04%,$             58.22,2.35,66.72,25.57,33.49,79%,15%,3.52%,9.19%,6.60%,25.20%,44.38%,11.17,7.02%,-2.09%,,2005,3.06,8.51%,1/1/1975,1975,,8,4.15%,6,497,0.23%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       57.20,,,3/2/2015,,3/2/2015,,,,,4.11%,$             57.20,2.35,66.72,25.57,33.49,77%,17%,3.52%,9.19%,6.71%,27.43%,46.96%,11.17,7.02%,-3.80%,,2006,3.32,8.50%,1/1/1976,1976,,9,4.25%,16,513,0.60%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       58.40,,,3/9/2015,,3/9/2015,,,,,4.02%,$             58.40,2.35,66.72,25.57,33.49,80%,14%,3.52%,9.19%,6.58%,24.81%,43.94%,11.17,7.02%,-1.78%,,2007,3.05,-8.13%,1/1/1977,1977,,10,4.35%,1,514,0.04%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       57.22,,,3/16/2015,,3/16/2015,,,,,4.11%,$             57.22,2.35,66.72,25.57,33.49,77%,17%,3.52%,9.19%,6.71%,27.39%,46.91%,11.17,7.02%,-3.77%,,2008,1.68,-44.92%,1/1/1978,1978,,11,4.45%,4,518,0.15%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       57.45,,,3/23/2015,,3/23/2015,,,,,4.09%,$             57.45,2.35,66.72,25.57,33.49,77%,16%,3.52%,9.19%,6.68%,26.88%,46.32%,11.17,7.02%,-3.38%,,2009,1.32,-21.43%,1/1/1979,1979,,12,4.55%,19,537,0.72%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       58.28,,,3/30/2015,,3/30/2015,,,,,4.03%,$             58.28,2.35,66.72,25.57,33.49,79%,14%,3.52%,9.19%,6.59%,25.07%,44.23%,11.17,7.02%,-1.98%,,2010,1.46,10.61%,1/1/1980,1980,,13,4.65%,25,562,0.94%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       58.40,,,4/6/2015,,4/6/2015,,,,,4.02%,$             58.40,2.35,66.72,25.57,33.49,80%,14%,3.52%,9.19%,6.58%,24.81%,43.94%,11.17,7.02%,-1.78%,,2011,1.58,8.22%,1/1/1981,1981,,14,4.75%,19,581,0.72%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       58.96,,,4/13/2015,,4/13/2015,,,,,3.99%,$             58.96,2.35,66.72,25.57,33.49,81%,13%,3.52%,9.19%,6.51%,23.63%,42.57%,11.17,7.02%,-0.84%,,2012,1.70,7.59%,1/1/1982,1982,,15,4.85%,26,607,0.98%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       58.96,,,4/20/2015,,4/20/2015,,,,,3.99%,$             58.96,2.35,66.72,25.57,33.49,81%,13%,3.52%,9.19%,6.51%,23.63%,42.57%,11.17,7.02%,-0.84%,,2013,1.84,8.24%,1/1/1983,1983,,16,4.95%,16,623,0.60%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       59.63,,,4/27/2015,,4/27/2015,,,,,3.94%,$             59.63,2.35,66.72,25.57,33.49,83%,12%,3.52%,9.19%,6.44%,22.24%,40.97%,11.17,7.02%,0.00%,,2014,2.00,8.70%,1/1/1984,1984,,17,5.05%,22,645,0.83%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                          61.11,,,5/4/2015,,5/4/2015,,,,,3.85%,$                61.11,2.35,66.72,25.57,33.49,86%,9%,3.52%,9.19%,6.28%,19.28%,37.56%,11.17,7.02%,0.00%,,2015,2.17,8.50%,1/1/1985,1985,,18,5.15%,20,665,0.75%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       60.94,,,5/11/2015,,5/11/2015,,,,,3.86%,$             60.94,2.35,66.72,25.57,33.49,86%,9%,3.52%,9.19%,6.30%,19.61%,37.94%,11.17,7.02%,-0.28%,,2016,2.35,8.29%,1/1/1986,1986,,19,5.25%,23,688,0.87%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       60.49,,,5/18/2015,,5/18/2015,,,,,3.88%,$             60.49,2.35,66.72,25.57,33.49,85%,10%,3.52%,9.19%,6.35%,20.50%,38.97%,11.17,7.02%,-1.01%,,2017,2.54,8.09%,1/1/1987,1987,,20,5.35%,26,714,0.98%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       59.84,,,5/26/2015,,5/26/2015,,,,,3.93%,$             59.84,2.35,66.72,25.57,33.49,83%,11%,3.52%,9.19%,6.42%,21.81%,40.47%,11.17,7.02%,-2.08%,,2018,3.00,18.11%,1/1/1988,1988,,21,5.45%,10,724,0.38%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       59.48,,,6/1/2015,,6/1/2015,,,,,3.95%,$             59.48,2.35,66.72,25.57,33.49,82%,12%,3.52%,9.19%,6.46%,22.55%,41.32%,11.17,7.02%,-2.67%,,2019,3.28,9.33%,1/1/1989,1989,,22,5.55%,7,731,0.26%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       59.80,,,6/8/2015,,6/8/2015,,,,,3.93%,$             59.80,2.35,66.72,25.57,33.49,83%,12%,3.52%,9.19%,6.42%,21.89%,40.57%,11.17,7.02%,-2.14%,,2020,3.40,3.66%,1/1/1990,1990,,23,5.65%,12,743,0.45%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                        60.12,,,6/15/2015,,6/15/2015,,,,,3.91%,$              60.12,2.35,66.72,25.57,33.49,84%,11%,3.52%,9.19%,6.39%,21.24%,39.82%,11.17,7.02%,-1.62%,,2021,3.52,3.53%,1/1/1991,1991,,24,5.75%,30,773,1.13%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       60.45,,,6/22/2015,,6/22/2015,,,,,3.89%,$             60.45,2.35,66.72,25.57,33.49,85%,10%,3.52%,9.19%,6.35%,20.58%,39.06%,11.17,7.02%,-1.08%,,2022,3.68,4.55%,1/1/1992,1992,,25,5.85%,31,804,1.17%
