,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MRK US,Merck,,,,,,,,,,92%,3%,$     130.76,$          88.26,$        108.82,$           132.96,$        134.56,4.41%,2.53%,3.16%,6.39%,182.22%,199.47%,122%,,,,,,,NO,,,4.19%,2.38%,1.81%,0.03%,60
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,4.73%,,Merck - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.85%,11/10/2017,,,,,,,,,,$        108.82,-17%,2.60%,$        134.56,$           59.21,$             46.33,$          48.03,2.35%,3.85%,3.12%,2.23%,-1.65%,-1.65%,-24%,,,,5Y CAGR,5.19%,,Merck - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.27%,,Merck - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Merck - Rating: 92% - Upside: 3%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       50.04,,,12/29/2014,,12/29/2014,,,,,3.70%,$             50.04,1.85,73.21,48.03,59.21,8%,46%,2.53%,3.85%,5.92%,161.30%,177.27%,7.99,3.12%,0.00%,,1997,0.00,-,92,,,0,2.38%,23,23,0.87%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       50.68,,,1/5/2015,,1/5/2015,,,,,3.65%,$             50.68,1.85,73.21,48.03,59.21,11%,44%,2.53%,3.85%,5.84%,158.01%,173.78%,7.99,3.12%,0.00%,,1998,0.00,,3,,,1,2.41%,19,42,0.72%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       49.98,,,1/12/2015,,1/12/2015,,,,,3.70%,$             49.98,1.85,73.21,48.03,59.21,8%,46%,2.53%,3.85%,5.92%,161.60%,177.59%,7.99,3.12%,-1.37%,,1999,0.00,,,,,2,2.44%,23,65,0.87%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       49.55,,,1/20/2015,,1/20/2015,,,,,3.73%,$             49.55,1.85,73.21,48.03,59.21,6%,48%,2.53%,3.85%,5.97%,163.92%,180.05%,7.99,3.12%,-2.24%,,2000,0.00,,1/1/1970,1970,,3,2.47%,29,94,1.09%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        48.71,,,1/26/2015,,1/26/2015,,,,,3.80%,$              48.71,1.85,73.21,48.03,59.21,3%,50%,2.53%,3.85%,6.08%,168.47%,184.87%,7.99,3.12%,-3.89%,,2001,0.00,,1/1/1971,1971,,4,2.50%,28,122,1.05%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       48.87,,,2/2/2015,,2/2/2015,,,,,3.79%,$             48.87,1.85,73.21,48.03,59.21,3%,50%,2.53%,3.85%,6.06%,167.58%,183.93%,7.99,3.12%,-3.57%,,2002,1.42,,1/1/1972,1972,,5,2.53%,19,141,0.72%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       49.35,,,2/9/2015,,2/9/2015,,,,,3.75%,$             49.35,1.85,73.21,48.03,59.21,5%,48%,2.53%,3.85%,6.00%,164.94%,181.13%,7.99,3.12%,-2.62%,,2003,1.46,2.82%,1/1/1973,1973,,6,2.56%,29,170,1.09%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        48.31,,,2/17/2015,,2/17/2015,,,,,3.83%,$              48.31,1.85,73.21,48.03,59.21,1%,52%,2.53%,3.85%,6.13%,170.69%,187.23%,7.99,3.12%,-4.68%,,2004,1.50,2.74%,1/1/1974,1974,,7,2.59%,27,197,1.02%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       49.39,,,2/23/2015,,2/23/2015,,,,,3.75%,$             49.39,1.85,73.21,48.03,59.21,5%,48%,2.53%,3.85%,5.99%,164.73%,180.91%,7.99,3.12%,-2.54%,,2005,1.52,1.33%,1/1/1975,1975,,8,2.62%,38,235,1.43%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       48.76,,,3/2/2015,,3/2/2015,,,,,3.79%,$             48.76,1.85,73.21,48.03,59.21,3%,50%,2.53%,3.85%,6.07%,168.15%,184.54%,7.99,3.12%,-3.78%,,2006,1.52,0.00%,1/1/1976,1976,,9,2.65%,43,278,1.62%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       48.95,,,3/9/2015,,3/9/2015,,,,,3.78%,$             48.95,1.85,73.21,48.03,59.21,4%,50%,2.53%,3.85%,6.05%,167.11%,183.43%,7.99,3.12%,-3.41%,,2007,1.52,0.00%,1/1/1977,1977,,10,2.68%,43,321,1.62%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       48.20,,,3/16/2015,,3/16/2015,,,,,3.84%,$             48.20,1.85,73.21,48.03,59.21,1%,52%,2.53%,3.85%,6.14%,171.28%,187.86%,7.99,3.12%,-4.89%,,2008,1.52,0.00%,1/1/1978,1978,,11,2.71%,61,382,2.30%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       48.55,,,3/23/2015,,3/23/2015,,,,,3.81%,$             48.55,1.85,73.21,48.03,59.21,2%,51%,2.53%,3.85%,6.10%,169.31%,185.77%,7.99,3.12%,-4.20%,,2009,1.52,0.00%,1/1/1979,1979,,12,2.74%,66,448,2.49%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       48.96,,,3/30/2015,,3/30/2015,,,,,3.78%,$             48.96,1.85,73.21,48.03,59.21,4%,50%,2.53%,3.85%,6.05%,167.05%,183.37%,7.99,3.12%,-3.39%,,2010,1.52,0.00%,1/1/1980,1980,,13,2.77%,82,530,3.09%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       48.55,,,4/6/2015,,4/6/2015,,,,,3.81%,$             48.55,1.85,73.21,48.03,59.21,2%,51%,2.53%,3.85%,6.10%,169.31%,185.77%,7.99,3.12%,-4.20%,,2011,1.56,2.63%,1/1/1981,1981,,14,2.80%,69,599,2.60%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       49.06,,,4/13/2015,,4/13/2015,,,,,3.77%,$             49.06,1.85,73.21,48.03,59.21,4%,49%,2.53%,3.85%,6.03%,166.54%,182.82%,7.99,3.12%,-3.20%,,2012,1.69,8.33%,1/1/1982,1982,,15,2.83%,92,691,3.47%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       48.03,,,4/20/2015,,4/20/2015,,,,,3.85%,$             48.03,1.85,73.21,48.03,59.21,0%,52%,2.53%,3.85%,6.16%,172.25%,188.89%,7.99,3.12%,-5.23%,,2013,1.73,2.37%,1/1/1983,1983,,16,2.86%,55,746,2.07%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        46.91,,,4/27/2015,,4/27/2015,,,,,3.94%,$              46.91,1.85,73.21,48.03,59.21,-4%,56%,2.53%,3.85%,6.31%,178.72%,195.76%,7.99,3.12%,-7.43%,,2014,1.77,2.31%,1/1/1984,1984,,17,2.89%,50,796,1.88%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       48.32,,,5/4/2015,,5/4/2015,,,,,3.83%,$             48.32,1.85,73.21,48.03,59.21,1%,52%,2.53%,3.85%,6.13%,170.64%,187.18%,7.99,3.12%,-4.67%,,2015,1.81,2.26%,1/1/1985,1985,,18,2.92%,51,847,1.92%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       48.39,,,5/11/2015,,5/11/2015,,,,,3.82%,$             48.39,1.85,73.21,48.03,59.21,1%,51%,2.53%,3.85%,6.12%,170.21%,186.72%,7.99,3.12%,-4.52%,,2016,1.85,2.21%,1/1/1986,1986,,19,2.95%,44,891,1.66%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       48.07,,,5/18/2015,,5/18/2015,,,,,3.85%,$             48.07,1.85,73.21,48.03,59.21,0%,52%,2.53%,3.85%,6.16%,172.03%,188.66%,7.99,3.12%,-5.16%,,2017,1.89,2.16%,1/1/1987,1987,,20,2.98%,84,975,3.16%
