,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MRU CN,Metro Inc/CN,,,,,,,,,,80%,7%,$       93.44,$          68.48,$          77.30,$           107.96,$          99.69,1.89%,1.21%,1.52%,3.18%,145.51%,152.68%,127%,,,,,,,NO,,,1.85%,1.14%,0.71%,0.01%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Metro Inc/CN - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.77%,11/10/2017,,,,,,,,,,$          77.30,-17%,1.29%,$          99.69,$          35.77,$             38.06,$           31.69,1.12%,1.77%,1.57%,1.12%,-13.45%,-13.45%,-15%,,,,5Y CAGR,3.89%,,Metro Inc/CN - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.01%,,Metro Inc/CN - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Metro Inc/CN - Rating: 80% - Upside: 7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       38.56,,,12/29/2014,,12/29/2014,,,,,1.45%,$             38.56,0.56,46.14,31.69,35.77,48%,20%,1.21%,1.77%,3.14%,142.32%,149.40%,2.73,1.57%,0.00%,,1997,0.00,-,80,,,0,1.14%,22,22,0.83%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       38.24,,,1/5/2015,,1/5/2015,,,,,1.46%,$             38.24,0.56,46.14,31.69,35.77,45%,21%,1.21%,1.77%,3.16%,144.35%,151.49%,2.73,1.57%,-0.83%,,1998,0.00,,7,,,1,1.15%,18,40,0.68%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       38.73,,,1/12/2015,,1/12/2015,,,,,1.45%,$             38.73,0.56,46.14,31.69,35.77,49%,19%,1.21%,1.77%,3.12%,141.26%,148.31%,2.73,1.57%,0.00%,,1999,0.00,,,,,2,1.16%,17,57,0.64%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       38.39,,,1/19/2015,,1/20/2015,,,,,1.46%,$             38.39,0.56,46.14,31.69,35.77,46%,20%,1.21%,1.77%,3.15%,143.40%,150.51%,2.73,1.57%,-0.88%,,2000,0.00,,1/1/1970,1970,,3,1.17%,12,69,0.45%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       38.55,,,1/26/2015,,1/26/2015,,,,,1.45%,$             38.55,0.56,46.14,31.69,35.77,47%,20%,1.21%,1.77%,3.14%,142.39%,149.47%,2.73,1.57%,-0.46%,,2001,0.00,,1/1/1971,1971,,4,1.18%,14,83,0.53%
