,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MSA US,MSA Safety Inc,,,,,,,,,,93%,4%,$     175.63,$          77.66,$        137.56,$          203.08,$        182.55,3.42%,1.02%,1.46%,4.88%,358.44%,373.64%,120%,,,,,,,NO,,,3.23%,0.96%,2.28%,0.03%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,MSA Safety Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.41%,11/10/2017,,,,,,,,,,$        137.56,-22%,1.06%,$        182.55,$          96.37,$              38.31,$          54.40,0.92%,2.41%,1.36%,0.92%,-13.52%,-13.52%,-22%,,,,5Y CAGR,1.34%,,MSA Safety Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.62%,,MSA Safety Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,MSA Safety Inc - Rating: 93% - Upside: 4%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       42.69,,,12/29/2014,,12/29/2014,,,,,3.07%,$             42.69,1.31,127.89,54.40,96.37,-16%,200%,1.02%,2.41%,4.38%,311.41%,325.04%,5.82,1.36%,0.00%,,1997,0.00,-,93,,,0,0.96%,39,39,1.47%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       43.09,,,1/5/2015,,1/5/2015,,,,,3.04%,$             43.09,1.31,127.89,54.40,96.37,-15%,197%,1.02%,2.41%,4.34%,307.59%,321.10%,5.82,1.36%,0.00%,,1998,0.00,,4,,,1,0.99%,63,102,2.37%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        41.97,,,1/12/2015,,1/12/2015,,,,,3.12%,$              41.97,1.31,127.89,54.40,96.37,-17%,205%,1.02%,2.41%,4.46%,318.47%,332.33%,5.82,1.36%,-2.60%,,1999,0.00,,,,,2,1.02%,77,179,2.90%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       40.88,,,1/20/2015,,1/20/2015,,,,,3.20%,$             40.88,1.31,127.89,54.40,96.37,-18%,213%,1.02%,2.41%,4.57%,329.62%,343.86%,5.82,1.36%,-5.13%,,2000,0.00,,1/1/1970,1970,,3,1.05%,171,350,6.44%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       40.65,,,1/26/2015,,1/26/2015,,,,,3.22%,$             40.65,1.31,127.89,54.40,96.37,-19%,215%,1.02%,2.41%,4.60%,332.05%,346.37%,5.82,1.36%,-5.66%,,2001,0.00,,1/1/1971,1971,,4,1.08%,208,558,7.83%
