,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,MSFT US,Microsoft,,,,,,,,,,64%,37%,$     389.10,$        137.76,$       362.75,$          542.07,$        531.59,3.04%,0.68%,1.31%,5.76%,703.43%,717.20%,112%,,,,,,,NO,,,2.95%,0.65%,2.30%,0.03%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,9.27%,,Microsoft - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.64%,11/10/2017,,,,,,,,,,$       362.75,-7%,0.94%,$        531.59,$        146.50,$             48.43,$          55.63,0.63%,2.64%,1.00%,0.51%,-28.22%,-28.22%,-5%,,,,5Y CAGR,9.62%,,Microsoft - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,9.49%,,Microsoft - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Microsoft - Rating: 64% - Upside: 37%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       54.80,,,12/29/2014,,12/29/2014,,,,,2.68%,$             54.80,1.47,214.68,55.63,146.50,-1%,292%,0.68%,2.64%,5.09%,610.04%,622.21%,6.67,1.00%,0.00%,,1997,0.00,-,64,,,0,0.65%,95,95,3.58%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       55.05,,,1/5/2015,,1/5/2015,,,,,2.67%,$             55.05,1.47,214.68,55.63,146.50,0%,290%,0.68%,2.64%,5.07%,606.81%,618.93%,6.67,1.00%,0.00%,,1998,0.00,,37,,,1,0.68%,105,200,3.95%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       54.05,,,1/12/2015,,1/12/2015,,,,,2.72%,$             54.05,1.47,214.68,55.63,146.50,-1%,297%,0.68%,2.64%,5.16%,619.89%,632.23%,6.67,1.00%,-1.82%,,1999,0.00,,,,,2,0.71%,129,329,4.86%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        52.17,,,1/20/2015,,1/20/2015,,,,,2.82%,$              52.17,1.47,214.68,55.63,146.50,-2%,312%,0.68%,2.64%,5.35%,645.83%,658.62%,6.67,1.00%,-5.23%,,2000,0.00,,1/1/1970,1970,,3,0.74%,170,499,6.40%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       52.33,,,1/26/2015,,1/26/2015,,,,,2.81%,$             52.33,1.47,214.68,55.63,146.50,-2%,310%,0.68%,2.64%,5.33%,643.55%,656.30%,6.67,1.00%,-4.94%,,2001,0.00,,1/1/1971,1971,,4,0.77%,71,570,2.67%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       52.30,,,2/2/2015,,2/2/2015,,,,,2.81%,$             52.30,1.47,214.68,55.63,146.50,-2%,310%,0.68%,2.64%,5.33%,643.98%,656.73%,6.67,1.00%,-5.00%,,2002,0.00,,1/1/1972,1972,,5,0.80%,97,667,3.65%
