,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NA CN,National Bank of Canada,,,,,,,,,,185%,-25%,$     142.75,$          64.00,$          83.72,$           146.00,$        106.55,8.46%,3.82%,4.99%,18.20%,538.42%,570.87%,193%,,,,,,,NO,,,7.02%,2.93%,4.09%,0.10%,41
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,National Bank of Canada - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.36%,11/10/2017,,,,,,,,,,$          83.72,-41%,2.85%,$        106.55,$          33.78,$             22.36,$          25.82,2.79%,6.36%,4.86%,2.79%,-2.23%,-2.23%,-37%,,,,5Y CAGR,6.29%,,National Bank of Canada - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,9.50%,,National Bank of Canada - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,National Bank of Canada - Rating: 185% - Upside: -25%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        26.21,,,12/29/2014,,12/29/2014,,,,,6.26%,€                26.21,1.64,42.99,25.82,33.78,2%,64%,3.82%,6.36%,15.53%,444.56%,472.23%,7.255553,4.86%,0.00%,,1997,0.00,-,185,,,0,2.93%,16,16,0.60%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         26.30,,,1/5/2015,,1/5/2015,,,,,6.24%,€               26.30,1.64,42.99,25.82,33.78,3%,63%,3.82%,6.36%,15.48%,442.82%,470.41%,7.255553,4.86%,0.00%,,1998,0.00,,-25,,,1,3.03%,8,24,0.30%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         26.36,,,1/12/2015,,1/12/2015,,,,,6.23%,€               26.36,1.64,42.99,25.82,33.78,3%,63%,3.82%,6.36%,15.44%,441.48%,469.00%,7.255553,4.86%,0.00%,,1999,0.00,,,,,2,3.13%,25,49,0.93%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         25.90,,,1/19/2015,,1/20/2015,,,,,6.34%,€               25.90,1.64,42.99,25.82,33.78,0%,66%,3.82%,6.36%,15.72%,451.22%,479.24%,7.255553,4.86%,-1.77%,,2000,0.00,,1/1/1970,1970,,3,3.23%,12,61,0.45%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         25.34,,,1/26/2015,,1/26/2015,,,,,6.48%,€               25.34,1.64,42.99,25.82,33.78,-3%,70%,3.82%,6.36%,16.06%,463.34%,491.97%,7.255553,4.86%,-3.88%,,2001,0.00,,1/1/1971,1971,,4,3.33%,7,68,0.26%
