,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NEE US,Nextera,,,,,,,,,,39%,36%,$       88.83,$          68.60,$          87.36,$             97.88,$        120.94,3.79%,1.87%,2.57%,7.22%,243.07%,259.34%,131%,,,,,,,NO,,,3.69%,1.70%,1.99%,0.03%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,6.61%,,Nextera - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.30%,11/10/2017,,,,,,,,,,$          87.36,-2%,2.55%,$        120.94,$          33.54,$             25.89,$          26.34,1.65%,3.30%,2.59%,1.91%,-9.25%,-9.25%,-17%,,,,5Y CAGR,8.03%,,Nextera - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,10.05%,,Nextera - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Nextera - Rating: 39% - Upside: 36%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       25.89,,,12/29/2014,,12/29/2014,,,,,3.36%,$             25.89,0.87,46.43,26.34,33.54,-2%,79%,1.87%,3.30%,7.22%,243.07%,259.34%,4.2125,2.59%,0.00%,,1997,0.00,-,39,,,0,1.70%,6,6,0.23%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        26.15,,,1/5/2015,,1/5/2015,,,,,3.33%,$              26.15,0.87,46.43,26.34,33.54,-1%,78%,1.87%,3.30%,7.15%,239.76%,255.87%,4.2125,2.59%,0.00%,,1998,0.00,,36,,,1,1.73%,9,15,0.34%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       26.06,,,1/12/2015,,1/12/2015,,,,,3.34%,$             26.06,0.87,46.43,26.34,33.54,-1%,78%,1.87%,3.30%,7.18%,240.87%,257.03%,4.2125,2.59%,-0.33%,,1999,0.00,,,,,2,1.76%,11,26,0.41%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        26.18,,,1/20/2015,,1/20/2015,,,,,3.32%,$              26.18,0.87,46.43,26.34,33.54,-1%,77%,1.87%,3.30%,7.14%,239.37%,255.46%,4.2125,2.59%,0.00%,,2000,0.00,,1/1/1970,1970,,3,1.79%,27,53,1.02%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       26.29,,,1/26/2015,,1/26/2015,,,,,3.31%,$             26.29,0.87,46.43,26.34,33.54,0%,77%,1.87%,3.30%,7.11%,237.85%,253.87%,4.2125,2.59%,0.00%,,2001,0.00,,1/1/1971,1971,,4,1.82%,40,93,1.51%
