,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NEM GR,Nemetschek SE,,,,,,,,,,43%,105%,$       60.00,$           13.00,$         118.34,$           137.70,$        221.22,4.41%,0.37%,1.29%,3.97%,429.11%,453.00%,144%,,,,,,,NO,,,4.01%,0.27%,3.74%,0.05%,75
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Nemetschek SE - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.46%,11/10/2017,,,,,,,,,,$          65.75,10%,0.75%,$        122.90,$           40.91,$               11.34,$             8.09,0.26%,3.46%,0.68%,0.33%,-56.43%,-56.43%,-3%,,,,5Y CAGR,8.45%,,Nemetschek SE - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-1.05%,,Nemetschek SE - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Nemetschek SE - Rating: 43% - Upside: 105%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        15.00,,,12/29/2014,,12/29/2014,,,,,3.33%,€                15.00,0.50,136.56,14.44,73.05,0%,810%,0.37%,3.46%,3.00%,300.05%,318.12%,2.71,0.68%,0.00%,,1997,0.00,-,43,,,0,0.27%,37,37,1.38%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          14.90,,,1/5/2015,,1/5/2015,,,,,3.36%,€                14.90,0.50,136.56,14.44,73.05,0%,816%,0.37%,3.46%,3.02%,302.69%,320.88%,2.71,0.68%,-0.66%,,1998,0.00,,105,,,1,0.32%,106,143,3.95%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          14.58,,,1/12/2015,,1/12/2015,,,,,3.43%,€                14.58,0.50,136.56,14.44,73.05,0%,836%,0.37%,3.46%,3.09%,311.48%,330.07%,2.71,0.68%,-2.78%,,1999,0.00,,,,,2,0.37%,165,308,6.15%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                           14.12,,,1/19/2015,,1/20/2015,,,,,3.54%,€                 14.12,0.50,136.56,14.44,73.05,0%,867%,0.37%,3.46%,3.19%,324.93%,344.12%,2.71,0.68%,-5.86%,,2000,0.00,,1/1/1970,1970,,3,0.42%,295,603,11.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          14.25,,,1/26/2015,,1/26/2015,,,,,3.51%,€                14.25,0.50,136.56,14.44,73.05,0%,858%,0.37%,3.46%,3.16%,320.96%,339.97%,2.71,0.68%,-4.97%,,2001,0.00,,1/1/1971,1971,,4,0.47%,342,945,12.76%
