,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NEM US,Newmont,,,,,,,,,,15%,359%,$       93.47,$          34.28,$        120.57,$            131.95,$         590.11,5.82%,0.37%,2.35%,9.81%,473.08%,482.25%,140%,,,,,,,NO,,,5.33%,0.28%,5.05%,0.10%,50
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Newmont - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.67%,11/10/2017,,,,,,,,,,$          87.69,-6%,1.71%,$        429.17,$             6.85,$               16.31,$             2.68,0.27%,4.67%,1.82%,1.21%,-29.16%,-29.16%,-2%,,,,5Y CAGR,-6.17%,,Newmont - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,29.04%,,Newmont - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Newmont - Rating: 15% - Upside: 359%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        18.44,,,12/29/2014,,12/29/2014,,,,,0.68%,$              18.44,0.13,33.53,2.68,6.85,51%,82%,0.37%,4.67%,8.68%,406.89%,414.99%,1.495,1.82%,0.00%,,1997,0.00,-,15,,,0,0.28%,135,135,5.08%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        18.42,,,1/5/2015,,1/5/2015,,,,,0.68%,$              18.42,0.13,33.53,2.68,6.85,51%,82%,0.37%,4.67%,8.69%,407.44%,415.55%,1.495,1.82%,-0.11%,,1998,0.00,,359,,,1,0.38%,61,196,2.30%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        18.56,,,1/12/2015,,1/12/2015,,,,,0.67%,$              18.56,0.13,33.53,2.68,6.85,51%,81%,0.37%,4.67%,8.62%,403.61%,411.66%,1.495,1.82%,0.00%,,1999,0.00,,,,,2,0.48%,22,218,0.83%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        18.86,,,1/20/2015,,1/20/2015,,,,,0.66%,$              18.86,0.13,33.53,2.68,6.85,52%,78%,0.37%,4.67%,8.48%,395.60%,403.53%,1.495,1.82%,0.00%,,2000,0.00,,1/1/1970,1970,,3,0.58%,89,307,3.35%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         18.01,,,1/26/2015,,1/26/2015,,,,,0.69%,$               18.01,0.13,33.53,2.68,6.85,50%,86%,0.37%,4.67%,8.88%,418.99%,427.29%,1.495,1.82%,-4.51%,,2001,0.00,,1/1/1971,1971,,4,0.68%,182,489,6.85%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                         17.01,,,2/2/2015,,2/2/2015,,,,,0.73%,$               17.01,0.13,33.53,2.68,6.85,46%,97%,0.37%,4.67%,9.41%,449.50%,458.29%,1.495,1.82%,-9.81%,,2002,0.12,,1/1/1972,1972,,5,0.78%,1,490,0.04%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                         17.01,,,2/9/2015,,2/9/2015,,,,,0.73%,$               17.01,0.13,33.53,2.68,6.85,46%,97%,0.37%,4.67%,9.41%,449.50%,458.29%,1.495,1.82%,-9.81%,,2003,0.17,41.67%,1/1/1973,1973,,6,0.88%,0,490,0.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        17.48,,,2/17/2015,,2/17/2015,,,,,0.72%,$              17.48,0.13,33.53,2.68,6.85,48%,92%,0.37%,4.67%,9.15%,434.73%,443.28%,1.495,1.82%,-7.32%,,2004,0.30,76.47%,1/1/1974,1974,,7,0.98%,0,490,0.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        17.27,,,2/23/2015,,2/23/2015,,,,,0.72%,$              17.27,0.13,33.53,2.68,6.85,47%,94%,0.37%,4.67%,9.26%,441.23%,449.88%,1.495,1.82%,-8.43%,,2005,0.40,33.33%,1/1/1975,1975,,8,1.08%,0,490,0.00%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        17.70,,,3/2/2015,,3/2/2015,,,,,0.71%,$              17.70,0.13,33.53,2.68,6.85,49%,89%,0.37%,4.67%,9.04%,428.08%,436.53%,1.495,1.82%,-6.15%,,2006,0.40,0.00%,1/1/1976,1976,,9,1.18%,11,501,0.41%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                         16.31,,,3/9/2015,,3/9/2015,,,,,0.77%,$               16.31,0.13,33.53,2.68,6.85,44%,106%,0.37%,4.67%,9.81%,473.08%,482.25%,1.495,1.82%,-13.52%,,2007,0.40,0.00%,1/1/1977,1977,,10,1.28%,66,567,2.49%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        16.56,,,3/16/2015,,3/16/2015,,,,,0.75%,$              16.56,0.13,33.53,2.68,6.85,45%,102%,0.37%,4.67%,9.66%,464.43%,473.46%,1.495,1.82%,-12.20%,,2008,0.40,0.00%,1/1/1978,1978,,11,1.38%,234,801,8.81%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        16.69,,,3/23/2015,,3/23/2015,,,,,0.75%,$              16.69,0.13,33.53,2.68,6.85,45%,101%,0.37%,4.67%,9.59%,460.04%,468.99%,1.495,1.82%,-11.51%,,2009,0.40,0.00%,1/1/1979,1979,,12,1.48%,155,956,5.84%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        16.68,,,3/30/2015,,3/30/2015,,,,,0.75%,$              16.68,0.13,33.53,2.68,6.85,45%,101%,0.37%,4.67%,9.59%,460.37%,469.33%,1.495,1.82%,-11.56%,,2010,0.50,25.00%,1/1/1980,1980,,13,1.58%,149,1105,5.61%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        17.67,,,4/6/2015,,4/6/2015,,,,,0.71%,$              17.67,0.13,33.53,2.68,6.85,49%,90%,0.37%,4.67%,9.05%,428.98%,437.44%,1.495,1.82%,-6.31%,,2011,1.00,100.00%,1/1/1981,1981,,14,1.68%,173,1278,6.52%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        18.50,,,4/13/2015,,4/13/2015,,,,,0.68%,$              18.50,0.13,33.53,2.68,6.85,51%,81%,0.37%,4.67%,8.65%,405.24%,413.32%,1.495,1.82%,-1.91%,,2012,1.40,40.00%,1/1/1982,1982,,15,1.78%,90,1368,3.39%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        19.44,,,4/20/2015,,4/20/2015,,,,,0.64%,$              19.44,0.13,33.53,2.68,6.85,54%,72%,0.37%,4.67%,8.23%,380.81%,388.50%,1.495,1.82%,0.00%,,2013,1.23,-12.50%,1/1/1983,1983,,16,1.88%,19,1387,0.72%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        19.53,,,4/27/2015,,4/27/2015,,,,,0.64%,$              19.53,0.13,33.53,2.68,6.85,55%,72%,0.37%,4.67%,8.19%,378.60%,386.25%,1.495,1.82%,0.00%,,2014,0.23,-81.63%,1/1/1984,1984,,17,1.98%,18,1405,0.68%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                        19.96,,,5/4/2015,,5/4/2015,,,,,0.63%,$              19.96,0.13,33.53,2.68,6.85,56%,68%,0.37%,4.67%,8.02%,368.29%,375.78%,1.495,1.82%,0.00%,,2015,0.10,-55.56%,1/1/1985,1985,,18,2.08%,16,1421,0.60%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       20.55,,,5/11/2015,,5/11/2015,,,,,0.61%,$             20.55,0.13,33.53,2.68,6.85,58%,63%,0.37%,4.67%,7.79%,354.84%,362.12%,1.495,1.82%,0.00%,,2016,0.13,25.00%,1/1/1986,1986,,19,2.18%,19,1440,0.72%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       20.07,,,5/18/2015,,5/18/2015,,,,,0.62%,$             20.07,0.13,33.53,2.68,6.85,56%,67%,0.37%,4.67%,7.97%,365.72%,373.17%,1.495,1.82%,-2.34%,,2017,0.25,100.00%,1/1/1987,1987,,20,2.28%,34,1474,1.28%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       22.34,,,5/26/2015,,5/26/2015,,,,,0.56%,$             22.34,0.13,33.53,2.68,6.85,64%,50%,0.37%,4.67%,7.16%,318.40%,325.09%,1.495,1.82%,0.00%,,2018,0.56,124.00%,1/1/1988,1988,,21,2.38%,12,1486,0.45%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       23.38,,,6/1/2015,,6/1/2015,,,,,0.53%,$             23.38,0.13,33.53,2.68,6.85,67%,43%,0.37%,4.67%,6.84%,299.79%,306.18%,1.495,1.82%,0.00%,,2019,0.56,0.00%,1/1/1989,1989,,22,2.48%,12,1498,0.45%
