,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NESN SW,Nestle,,,,,,,,,,6%,64%,$       80.39,$           77.18,$        107.74,$           129.50,$          131.81,4.30%,2.31%,2.93%,4.39%,19.63%,33.54%,120%,,,,,,,NO,,,4.24%,2.17%,2.07%,0.03%,69
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.12%,,Nestle - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.95%,11/10/2017,,,,,,,,,,$        107.74,34%,3.79%,$          131.81,$          79.48,$             67.20,$          56.94,2.14%,3.95%,2.83%,2.28%,-37.92%,-37.92%,-11%,,,,5Y CAGR,2.09%,,Nestle - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.09%,,Nestle - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Nestle - Rating: 6% - Upside: 64%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       73.05,,,12/29/2014,,12/29/2014,,,,,3.08%,73.05 CHF,2.25,97.23,56.94,79.48,40%,33%,2.31%,3.95%,4.04%,10.05%,22.85%,9.35,2.83%,0.00%,,1997,0.00,-,6,,,0,2.17%,5,5,0.19%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,73.75 CHF,,,1/5/2015,,1/5/2015,,,,,3.05%,73.75 CHF,2.25,97.23,56.94,79.48,42%,32%,2.31%,3.95%,4.00%,9.00%,21.68%,9.35,2.83%,0.00%,,1998,0.00,,64,,,1,2.20%,22,27,0.83%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,72.90 CHF,,,1/12/2015,,1/12/2015,,,,,3.09%,72.90 CHF,2.25,97.23,56.94,79.48,40%,33%,2.31%,3.95%,4.05%,10.27%,23.10%,9.35,2.83%,-1.15%,,1999,0.00,,,,,2,2.23%,28,55,1.06%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,71.30 CHF,,,1/19/2015,,1/20/2015,,,,,3.16%,71.30 CHF,2.25,97.23,56.94,79.48,36%,36%,2.31%,3.95%,4.14%,12.75%,25.86%,9.35,2.83%,-3.32%,,2000,0.00,,1/1/1970,1970,,3,2.26%,34,89,1.28%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,70.50 CHF,,,1/26/2015,,1/26/2015,,,,,3.19%,70.50 CHF,2.25,97.23,56.94,79.48,34%,38%,2.31%,3.95%,4.18%,14.03%,27.29%,9.35,2.83%,-4.41%,,2001,0.00,,1/1/1971,1971,,4,2.29%,40,129,1.51%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,70.40 CHF,,,2/2/2015,,2/2/2015,,,,,3.20%,70.40 CHF,2.25,97.23,56.94,79.48,33%,38%,2.31%,3.95%,4.19%,14.19%,27.47%,9.35,2.83%,-4.54%,,2002,0.39,,1/1/1972,1972,,5,2.32%,47,176,1.77%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,71.70 CHF,,,2/9/2015,,2/9/2015,,,,,3.14%,71.70 CHF,2.25,97.23,56.94,79.48,37%,36%,2.31%,3.95%,4.11%,12.12%,25.16%,9.35,2.83%,-2.78%,,2003,0.51,30.80%,1/1/1973,1973,,6,2.35%,86,262,3.24%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,72.70 CHF,,,2/16/2015,,2/17/2015,,,,,3.09%,72.70 CHF,2.25,97.23,56.94,79.48,39%,34%,2.31%,3.95%,4.06%,10.58%,23.44%,9.35,2.83%,-1.42%,,2004,0.55,8.63%,1/1/1974,1974,,7,2.38%,75,337,2.83%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,71.30 CHF,,,2/23/2015,,2/23/2015,,,,,3.16%,71.30 CHF,2.25,97.23,56.94,79.48,36%,36%,2.31%,3.95%,4.14%,12.75%,25.86%,9.35,2.83%,-3.32%,,2005,0.68,23.22%,1/1/1975,1975,,8,2.41%,74,411,2.79%
