,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NFG US,National Fuel Gas,,,,,,,,,,90%,5%,$       80.74,$          45.94,$          62.50,$             96.30,$          84.58,5.35%,2.32%,3.22%,5.92%,143.93%,143.93%,130%,,,,,,,NO,,,4.82%,2.09%,2.74%,0.04%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,National Fuel Gas - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.27%,11/10/2017,,,,,,,,,,$          62.50,-23%,2.43%,$          84.58,$           51.66,$              33.10,$          37.97,2.04%,4.27%,3.14%,2.04%,-16.16%,-16.16%,-24%,,,,5Y CAGR,1.61%,,National Fuel Gas - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.92%,,National Fuel Gas - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,National Fuel Gas - Rating: 90% - Upside: 5%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       42.58,,,12/29/2014,,12/29/2014,,,,,3.80%,$             42.58,1.62,69.91,37.97,51.66,14%,64%,2.32%,4.27%,4.60%,89.62%,105.33%,6.69,3.14%,0.00%,,1997,0.00,-,90,,,0,2.09%,20,20,0.75%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       43.07,,,1/5/2015,,1/5/2015,,,,,3.76%,$             43.07,1.62,69.91,37.97,51.66,16%,62%,2.32%,4.27%,4.55%,87.46%,103.00%,6.69,3.14%,0.00%,,1998,0.00,,5,,,1,2.13%,5,25,0.19%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       42.50,,,1/12/2015,,1/12/2015,,,,,3.81%,$             42.50,1.62,69.91,37.97,51.66,14%,64%,2.32%,4.27%,4.61%,89.98%,105.72%,6.69,3.14%,-1.32%,,1999,0.00,,,,,2,2.17%,11,36,0.41%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        41.82,,,1/20/2015,,1/20/2015,,,,,3.87%,$              41.82,1.62,69.91,37.97,51.66,12%,67%,2.32%,4.27%,4.69%,93.07%,109.06%,6.69,3.14%,-2.90%,,2000,0.00,,1/1/1970,1970,,3,2.21%,34,70,1.28%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        42.21,,,1/26/2015,,1/26/2015,,,,,3.84%,$              42.21,1.62,69.91,37.97,51.66,13%,66%,2.32%,4.27%,4.64%,91.28%,107.13%,6.69,3.14%,-2.00%,,2001,0.00,,1/1/1971,1971,,4,2.25%,33,103,1.24%
