,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NHI US,National Health Investors,,,,,,,,,,99%,1%,$       79.28,$          49.84,$           81.93,$              91.02,$          96.49,12.98%,4.52%,5.64%,10.73%,136.23%,136.23%,138%,,,,,,,NO,,,9.28%,4.15%,5.12%,0.10%,51
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,National Health Investors - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.22%,11/10/2017,,,,,,,,,,$          67.69,-15%,4.54%,$          79.72,$          66.75,$             33.56,$           49.15,3.96%,7.22%,5.32%,3.96%,-12.90%,-12.90%,-74%,,,,5Y CAGR,-1.09%,,National Health Investors - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,0.14%,,National Health Investors - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,National Health Investors - Rating: 99% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        61.09,,,12/29/2014,,12/29/2014,,,,,5.81%,$              61.09,3.55,78.61,49.15,66.75,41%,29%,4.52%,7.22%,5.89%,29.78%,54.98%,15.4,5.32%,0.00%,,1997,0.00,-,99,,,0,4.15%,27,27,1.02%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       62.98,,,1/5/2015,,1/5/2015,,,,,5.64%,$             62.98,3.55,78.61,49.15,66.75,47%,25%,4.52%,7.22%,5.72%,25.88%,50.33%,15.4,5.32%,0.00%,,1998,0.00,,1,,,1,4.25%,24,51,0.90%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       62.82,,,1/12/2015,,1/12/2015,,,,,5.65%,$             62.82,3.55,78.61,49.15,66.75,46%,25%,4.52%,7.22%,5.73%,26.20%,50.72%,15.4,5.32%,-0.25%,,1999,0.00,,,,,2,4.35%,40,91,1.51%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       60.88,,,1/20/2015,,1/20/2015,,,,,5.83%,$             60.88,3.55,78.61,49.15,66.75,40%,29%,4.52%,7.22%,5.91%,30.22%,55.52%,15.4,5.32%,-3.33%,,2000,0.00,,1/1/1970,1970,,3,4.45%,59,150,2.22%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       60.24,,,1/26/2015,,1/26/2015,,,,,5.89%,$             60.24,3.55,78.61,49.15,66.75,38%,30%,4.52%,7.22%,5.98%,31.61%,57.17%,15.4,5.32%,-4.35%,,2001,0.00,,1/1/1971,1971,,4,4.55%,94,244,3.54%
