,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NIBEB SS,Nibe Industrier AB,,,,,,,,,,0%,311%,$       37.05,$          36.79,$          59.93,$           136.85,$        152.38,2.04%,0.43%,1.03%,4.93%,181.02%,188.74%,167%,,,,,,,NO,,,1.93%,0.30%,1.64%,0.03%,55
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Nibe Industrier AB - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.77%,11/10/2017,,,,,,,,,,$          59.93,62%,1.75%,$        152.38,$           19.30,$               13.18,$            11.85,0.28%,1.77%,1.08%,0.47%,-72.93%,-72.93%,-4%,,,,5Y CAGR,10.90%,,Nibe Industrier AB - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,12.00%,,Nibe Industrier AB - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Nibe Industrier AB - Rating: 0% - Upside: 311%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         16.51,,,12/29/2014,,12/29/2014,,,,,1.27%,16.51 kr,0.21,49.08,11.85,19.30,13%,197%,0.43%,1.77%,3.94%,124.41%,130.57%,1.016875,1.08%,0.00%,,1997,0.00,-,0,,,0,0.30%,62,62,2.33%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,16.42 kr,,,1/5/2015,,1/5/2015,,,,,1.28%,16.42 kr,0.21,49.08,11.85,19.30,12%,199%,0.43%,1.77%,3.96%,125.63%,131.83%,1.016875,1.08%,-0.54%,,1998,0.00,,311,,,1,0.33%,14,76,0.53%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,16.19 kr,,,1/12/2015,,1/12/2015,,,,,1.29%,16.19 kr,0.21,49.08,11.85,19.30,12%,203%,0.43%,1.77%,4.02%,128.87%,135.15%,1.016875,1.08%,-1.95%,,1999,0.00,,,,,2,0.36%,24,100,0.90%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,15.87 kr,,,1/19/2015,,1/20/2015,,,,,1.32%,15.87 kr,0.21,49.08,11.85,19.30,11%,209%,0.43%,1.77%,4.10%,133.43%,139.84%,1.016875,1.08%,-3.86%,,2000,0.00,,1/1/1970,1970,,3,0.39%,13,113,0.49%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,15.74 kr,,,1/26/2015,,1/26/2015,,,,,1.33%,15.74 kr,0.21,49.08,11.85,19.30,10%,212%,0.43%,1.77%,4.13%,135.46%,141.92%,1.016875,1.08%,-4.69%,,2001,0.00,,1/1/1971,1971,,4,0.42%,37,150,1.39%
