,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NIDB US,Northeast Indiana Bancorp Inc,,,,,,,,,,77%,9%,$       23.75,$           16.65,$          22.50,$             24.85,$          25.89,4.91%,2.51%,3.08%,4.91%,79.25%,83.94%,116%,,,,,,,NO,,,4.69%,2.43%,2.26%,0.03%,75
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Northeast Indiana Bancorp Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.90%,11/10/2017,,,,,,,,,,$          22.50,-5%,2.74%,$          25.89,$            14.71,$              13.25,$           10.89,2.38%,3.90%,2.89%,2.62%,-4.43%,-4.43%,-37%,,,,5Y CAGR,2.66%,,Northeast Indiana Bancorp Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.34%,,Northeast Indiana Bancorp Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Northeast Indiana Bancorp Inc - Rating: 77% - Upside: 9%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        14.79,,,12/31/2014,,12/29/2014,,,,,2.87%,$              14.79,0.43,16.93,10.89,14.71,65%,14%,2.51%,3.90%,4.40%,60.63%,73.28%,1.87,2.89%,0.00%,,1997,0.16,-,77,,,0,2.43%,32,32,1.53%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        14.29,,,1/6/2015,,1/5/2015,,,,,2.97%,$              14.29,0.43,16.93,10.89,14.71,56%,18%,2.51%,3.90%,4.55%,66.17%,79.25%,1.87,2.89%,-3.33%,,1998,0.17,6.15%,9,,,1,2.46%,45,77,2.15%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                        14.08,,,1/14/2015,,1/12/2015,,,,,3.02%,$              14.08,0.43,16.93,10.89,14.71,53%,20%,2.51%,3.90%,4.62%,68.67%,81.95%,1.87,2.89%,-4.77%,,1999,0.19,7.25%,,,,2,2.49%,23,100,1.10%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                        14.29,,,1/20/2015,,1/20/2015,,,,,2.97%,$              14.29,0.43,16.93,10.89,14.71,56%,18%,2.51%,3.90%,4.55%,66.17%,79.25%,1.87,2.89%,-3.33%,,2000,0.21,10.81%,1/1/1970,1970,,3,2.52%,54,154,2.58%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                        14.59,,,1/29/2015,,1/26/2015,,,,,2.91%,$              14.59,0.43,16.93,10.89,14.71,61%,16%,2.51%,3.90%,4.46%,62.80%,75.62%,1.87,2.89%,-1.33%,,2001,0.23,9.76%,1/1/1971,1971,,4,2.55%,97,251,4.63%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                        14.59,,,2/4/2015,,2/2/2015,,,,,2.91%,$              14.59,0.43,16.93,10.89,14.71,61%,16%,2.51%,3.90%,4.46%,62.80%,75.62%,1.87,2.89%,-1.33%,,2002,0.25,8.89%,1/1/1972,1972,,5,2.58%,66,317,3.15%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,$                                                        14.08,,,2/11/2015,,2/9/2015,,,,,3.02%,$              14.08,0.43,16.93,10.89,14.71,53%,20%,2.51%,3.90%,4.62%,68.67%,81.95%,1.87,2.89%,-4.77%,,2003,0.27,8.16%,1/1/1973,1973,,6,2.61%,45,362,2.15%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,$                                                        13.93,,,2/19/2015,,2/17/2015,,,,,3.05%,$              13.93,0.43,16.93,10.89,14.71,50%,22%,2.51%,3.90%,4.67%,70.52%,83.94%,1.87,2.89%,-5.80%,,2004,0.29,7.55%,1/1/1974,1974,,7,2.64%,53,415,2.53%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,$                                                        14.32,,,3/2/2015,,2/23/2015,,,,,2.97%,$              14.32,0.43,16.93,10.89,14.71,57%,18%,2.51%,3.90%,4.54%,65.82%,78.88%,1.87,2.89%,-3.13%,,2005,0.31,7.02%,1/1/1975,1975,,8,2.67%,69,484,3.29%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,$                                                        14.32,,,3/11/2015,,3/2/2015,,,,,2.97%,$              14.32,0.43,16.93,10.89,14.71,57%,18%,2.51%,3.90%,4.54%,65.82%,78.88%,1.87,2.89%,-3.13%,,2006,0.32,4.92%,1/1/1976,1976,,9,2.70%,77,561,3.67%
,,,,,,,,,,,,,,,,,,2016,4/11/2016,$                                                        14.79,,,3/20/2015,,3/9/2015,,,,,2.87%,$              14.79,0.43,16.93,10.89,14.71,65%,14%,2.51%,3.90%,4.40%,60.63%,73.28%,1.87,2.89%,0.00%,,2007,0.32,0.78%,1/1/1977,1977,,10,2.73%,113,674,5.39%
,,,,,,,,,,,,,,,,,,2016,4/12/2016,$                                                        14.79,,,3/23/2015,,3/16/2015,,,,,2.87%,$              14.79,0.43,16.93,10.89,14.71,65%,14%,2.51%,3.90%,4.40%,60.63%,73.28%,1.87,2.89%,0.00%,,2008,0.33,2.33%,1/1/1978,1978,,11,2.76%,101,775,4.82%
,,,,,,,,,,,,,,,,,,2016,4/19/2016,$                                                        14.42,,,4/1/2015,,3/23/2015,,,,,2.95%,$              14.42,0.43,16.93,10.89,14.71,58%,17%,2.51%,3.90%,4.51%,64.75%,77.72%,1.87,2.89%,-2.50%,,2009,0.33,0.76%,1/1/1979,1979,,12,2.79%,78,853,3.72%
,,,,,,,,,,,,,,,,,,2016,4/25/2016,$                                                        14.54,,,4/13/2015,,3/30/2015,,,,,2.92%,$              14.54,0.43,16.93,10.89,14.71,60%,16%,2.51%,3.90%,4.47%,63.35%,76.21%,1.87,2.89%,-1.67%,,2010,0.34,3.01%,1/1/1980,1980,,13,2.82%,79,932,3.77%
,,,,,,,,,,,,,,,,,,2016,5/6/2016,$                                                        14.54,,,5/5/2015,,4/6/2015,,,,,2.92%,$              14.54,0.43,16.93,10.89,14.71,60%,16%,2.51%,3.90%,4.47%,63.35%,76.21%,1.87,2.89%,-1.67%,,2011,0.35,2.92%,1/1/1981,1981,,14,2.85%,83,1015,3.96%
,,,,,,,,,,,,,,,,,,2016,5/9/2016,$                                                        14.42,,,5/11/2015,,4/13/2015,,,,,2.95%,$              14.42,0.43,16.93,10.89,14.71,59%,17%,2.51%,3.90%,4.51%,64.69%,77.66%,1.87,2.89%,-2.47%,,2012,0.37,3.55%,1/1/1982,1982,,15,2.88%,52,1067,2.48%
,,,,,,,,,,,,,,,,,,2016,5/10/2016,$                                                        14.59,,,5/29/2015,,4/20/2015,,,,,2.91%,$              14.59,0.43,16.93,10.89,14.71,61%,16%,2.51%,3.90%,4.46%,62.80%,75.62%,1.87,2.89%,-1.33%,,2013,0.38,4.79%,1/1/1983,1983,,16,2.91%,37,1104,1.76%
,,,,,,,,,,,,,,,,,,2016,5/11/2016,$                                                        14.54,,,6/2/2015,,4/27/2015,,,,,2.92%,$              14.54,0.43,16.93,10.89,14.71,60%,16%,2.51%,3.90%,4.47%,63.35%,76.21%,1.87,2.89%,-1.67%,,2014,0.39,2.61%,1/1/1984,1984,,17,2.94%,66,1170,3.15%
,,,,,,,,,,,,,,,,,,2016,5/12/2016,$                                                        14.54,,,6/9/2015,,5/4/2015,,,,,2.92%,$              14.54,0.43,16.93,10.89,14.71,60%,16%,2.51%,3.90%,4.47%,63.35%,76.21%,1.87,2.89%,-1.67%,,2015,0.41,3.18%,1/1/1985,1985,,18,2.97%,19,1189,0.91%
,,,,,,,,,,,,,,,,,,2016,5/13/2016,$                                                        14.58,,,6/15/2015,,5/11/2015,,,,,2.91%,$              14.58,0.43,16.93,10.89,14.71,61%,16%,2.51%,3.90%,4.46%,62.85%,75.68%,1.87,2.89%,-1.37%,,2016,0.43,4.94%,1/1/1986,1986,,19,3.00%,8,1197,0.38%
,,,,,,,,,,,,,,,,,,2016,5/17/2016,$                                                        14.58,,,6/26/2015,,5/18/2015,,,,,2.91%,$              14.58,0.43,16.93,10.89,14.71,61%,16%,2.51%,3.90%,4.46%,62.85%,75.68%,1.87,2.89%,-1.37%,,2017,0.45,5.88%,1/1/1987,1987,,20,3.03%,18,1215,0.86%
,,,,,,,,,,,,,,,,,,2016,5/18/2016,$                                                        15.03,,,6/29/2015,,5/26/2015,,,,,2.83%,$              15.03,0.43,16.93,10.89,14.71,69%,13%,2.51%,3.90%,4.32%,58.00%,70.44%,1.87,2.89%,0.00%,,2018,0.49,7.78%,1/1/1988,1988,,21,3.06%,14,1229,0.67%
,,,,,,,,,,,,,,,,,,2016,5/19/2016,$                                                        14.54,,,7/6/2015,,6/1/2015,,,,,2.92%,$              14.54,0.43,16.93,10.89,14.71,61%,16%,2.51%,3.90%,4.47%,63.30%,76.15%,1.87,2.89%,-3.25%,,2019,0.51,5.15%,1/1/1989,1989,,22,3.09%,31,1260,1.48%
,,,,,,,,,,,,,,,,,,2016,5/26/2016,$                                                         14.61,,,7/13/2015,,6/8/2015,,,,,2.91%,$               14.61,0.43,16.93,10.89,14.71,62%,16%,2.51%,3.90%,4.45%,62.52%,75.32%,1.87,2.89%,-2.79%,,2020,0.55,6.86%,1/1/1990,1990,,23,3.12%,6,1266,0.29%
,,,,,,,,,,,,,,,,,,2016,5/27/2016,$                                                        14.79,,,7/29/2015,,6/15/2015,,,,,2.87%,$              14.79,0.43,16.93,10.89,14.71,65%,14%,2.51%,3.90%,4.40%,60.63%,73.28%,1.87,2.89%,-1.64%,,2021,0.57,4.59%,1/1/1991,1991,,24,3.15%,28,1294,1.34%
,,,,,,,,,,,,,,,,,,2016,6/6/2016,$                                                        14.79,,,8/6/2015,,6/22/2015,,,,,2.87%,$              14.79,0.43,16.93,10.89,14.71,65%,14%,2.51%,3.90%,4.40%,60.63%,73.28%,1.87,2.89%,-1.64%,,2022,0.61,7.02%,1/1/1992,1992,,25,3.18%,25,1319,1.19%
,,,,,,,,,,,,,,,,,,2016,6/7/2016,$                                                        14.79,,,8/13/2015,,6/29/2015,,,,,2.87%,$              14.79,0.43,16.93,10.89,14.71,65%,14%,2.51%,3.90%,4.40%,60.63%,73.28%,1.87,2.89%,-1.64%,,2023,0.65,6.56%,1/1/1993,1993,,26,3.21%,31,1350,1.48%
,,,,,,,,,,,,,,,,,,2016,6/15/2016,$                                                        14.79,,,8/21/2015,,7/6/2015,,,,,2.87%,$              14.79,0.43,16.93,10.89,14.71,65%,14%,2.51%,3.90%,4.40%,60.63%,73.28%,1.87,2.89%,-1.64%,,2024,0.65,0.00%,1/1/1994,1994,,27,3.24%,62,1412,2.96%
,,,,,,,,,,,,,,,,,,2016,6/17/2016,$                                                        14.42,,,8/31/2015,,7/13/2015,,,,,2.95%,$              14.42,0.43,16.93,10.89,14.71,59%,17%,2.51%,3.90%,4.51%,64.69%,77.66%,1.87,2.89%,-4.07%,,2025,0.65,0.00%,1/1/1995,1995,,28,3.27%,31,1443,1.48%
