,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NKE US,Nike,,,,,,,,,,-13%,378%,$        42.14,$          59.99,$         126.71,$            177.51,$        201.43,3.63%,0.73%,1.35%,3.41%,3.41%,3.41%,122%,,,,,,,NO,,,3.49%,0.66%,2.84%,0.04%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,2.11%,,Nike - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.47%,11/10/2017,,,,,,,,,,$         126.71,201%,3.51%,$        201.43,$          54.79,$             40.75,$          25.94,0.64%,2.47%,1.17%,0.78%,-76.26%,-76.26%,-14%,,,,5Y CAGR,5.54%,,Nike - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.74%,,Nike - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Nike - Rating: -13% - Upside: 378%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        61.52,,,12/29/2014,,12/29/2014,,,,,1.04%,$              61.52,0.64,87.10,25.94,54.79,58%,42%,0.73%,2.47%,2.26%,-31.50%,-26.56%,3.04,1.17%,0.00%,,1997,0.00,-,-13,,,0,0.66%,70,70,2.64%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       62.38,,,1/5/2015,,1/5/2015,,,,,1.03%,$             62.38,0.64,87.10,25.94,54.79,60%,40%,0.73%,2.47%,2.23%,-32.45%,-27.57%,3.04,1.17%,0.00%,,1998,0.00,,378,,,1,0.70%,54,124,2.03%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        61.49,,,1/12/2015,,1/12/2015,,,,,1.04%,$              61.49,0.64,87.10,25.94,54.79,58%,42%,0.73%,2.47%,2.26%,-31.47%,-26.52%,3.04,1.17%,-1.43%,,1999,0.00,,,,,2,0.74%,34,158,1.28%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       59.85,,,1/20/2015,,1/20/2015,,,,,1.07%,$             59.85,0.64,87.10,25.94,54.79,55%,46%,0.73%,2.47%,2.32%,-29.59%,-24.51%,3.04,1.17%,-4.06%,,2000,0.00,,1/1/1970,1970,,3,0.78%,66,224,2.49%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       58.87,,,1/26/2015,,1/26/2015,,,,,1.09%,$             58.87,0.64,87.10,25.94,54.79,54%,48%,0.73%,2.47%,2.36%,-28.42%,-23.25%,3.04,1.17%,-5.63%,,2001,0.00,,1/1/1971,1971,,4,0.82%,88,312,3.31%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       59.55,,,2/2/2015,,2/2/2015,,,,,1.07%,$             59.55,0.64,87.10,25.94,54.79,55%,46%,0.73%,2.47%,2.33%,-29.24%,-24.13%,3.04,1.17%,-4.54%,,2002,0.06,,1/1/1972,1972,,5,0.86%,56,368,2.11%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       59.94,,,2/9/2015,,2/9/2015,,,,,1.07%,$             59.94,0.64,87.10,25.94,54.79,56%,45%,0.73%,2.47%,2.32%,-29.70%,-24.62%,3.04,1.17%,-3.91%,,2003,0.08,24.00%,1/1/1973,1973,,6,0.90%,45,413,1.69%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       58.78,,,2/17/2015,,2/17/2015,,,,,1.09%,$             58.78,0.64,87.10,25.94,54.79,54%,48%,0.73%,2.47%,2.36%,-28.31%,-23.14%,3.04,1.17%,-5.77%,,2004,0.11,37.10%,1/1/1974,1974,,7,0.94%,85,498,3.20%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        58.51,,,2/23/2015,,2/23/2015,,,,,1.09%,$              58.51,0.64,87.10,25.94,54.79,53%,49%,0.73%,2.47%,2.38%,-27.98%,-22.78%,3.04,1.17%,-6.20%,,2005,0.13,24.71%,1/1/1975,1975,,8,0.98%,142,640,5.35%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       57.56,,,3/2/2015,,3/2/2015,,,,,1.11%,$             57.56,0.64,87.10,25.94,54.79,52%,51%,0.73%,2.47%,2.41%,-26.79%,-21.51%,3.04,1.17%,-7.73%,,2006,0.16,22.64%,1/1/1976,1976,,9,1.02%,177,817,6.67%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       58.32,,,3/9/2015,,3/9/2015,,,,,1.10%,$             58.32,0.64,87.10,25.94,54.79,53%,49%,0.73%,2.47%,2.38%,-27.74%,-22.53%,3.04,1.17%,-6.51%,,2007,0.20,20.77%,1/1/1977,1977,,10,1.06%,195,1012,7.34%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       59.04,,,3/16/2015,,3/16/2015,,,,,1.08%,$             59.04,0.64,87.10,25.94,54.79,54%,48%,0.73%,2.47%,2.35%,-28.62%,-23.48%,3.04,1.17%,-5.35%,,2008,0.24,19.75%,1/1/1978,1978,,11,1.10%,163,1175,6.14%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       60.56,,,3/23/2015,,3/23/2015,,,,,1.06%,$             60.56,0.64,87.10,25.94,54.79,57%,44%,0.73%,2.47%,2.30%,-30.42%,-25.40%,3.04,1.17%,-2.92%,,2009,0.26,8.51%,1/1/1979,1979,,12,1.14%,182,1357,6.85%
