,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NOC US,Northrop Grumman,,,,,,,,,,61%,14%,$    547.58,$        425.15,$       502.48,$          768.02,$       624.90,2.15%,1.29%,1.60%,4.12%,207.30%,216.99%,172%,,,,,,,NO,,,2.09%,1.11%,0.99%,0.02%,49
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.13%,,Northrop Grumman - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.89%,11/10/2017,,,,,,,,,,$       502.48,-8%,1.47%,$       624.90,$        218.47,$            178.19,$        184.85,1.05%,1.89%,1.60%,0.96%,-28.70%,-28.70%,-25%,,,,5Y CAGR,5.50%,,Northrop Grumman - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.69%,,Northrop Grumman - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Northrop Grumman - Rating: 61% - Upside: 14%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                      187.51,,,12/29/2014,,12/29/2014,,,,,1.87%,$            187.51,3.50,271.70,184.85,218.47,3%,45%,1.29%,1.89%,3.91%,192.03%,201.23%,17.26,1.60%,0.00%,,1997,0.00,-,61,,,0,1.11%,6,6,0.23%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     192.39,,,1/5/2015,,1/5/2015,,,,,1.82%,$           192.39,3.50,271.70,184.85,218.47,9%,41%,1.29%,1.89%,3.82%,184.62%,193.59%,17.26,1.60%,0.00%,,1998,0.00,,14,,,1,1.13%,8,14,0.30%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     190.47,,,1/12/2015,,1/12/2015,,,,,1.84%,$           190.47,3.50,271.70,184.85,218.47,6%,43%,1.29%,1.89%,3.85%,187.49%,196.55%,17.26,1.60%,-1.00%,,1999,0.00,,,,,2,1.15%,13,27,0.49%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       188.11,,,1/20/2015,,1/20/2015,,,,,1.86%,$             188.11,3.50,271.70,184.85,218.47,4%,44%,1.29%,1.89%,3.90%,191.10%,200.27%,17.26,1.60%,-2.22%,,2000,0.00,,1/1/1970,1970,,3,1.17%,13,40,0.49%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                     186.07,,,1/26/2015,,1/26/2015,,,,,1.88%,$           186.07,3.50,271.70,184.85,218.47,1%,46%,1.29%,1.89%,3.94%,194.29%,203.56%,17.26,1.60%,-3.28%,,2001,0.00,,1/1/1971,1971,,4,1.19%,6,46,0.23%
