,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NOVOB DC,Novo Nordisk A/S,,,,,,,,,,1%,236%,$    326.50,$        315.65,$       574.96,$       1.028,00,$   1.095,64,5.21%,1.09%,2.14%,6.40%,195.57%,209.15%,118%,,,,,,,NO,,,5.00%,1.00%,4.00%,0.10%,40
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,18.93%,,Novo Nordisk A/S - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.77%,11/10/2017,,,,,,,,,,$       574.96,76%,3.64%,$   1.095,64,$         154.61,$            110.47,$          84.88,0.96%,3.77%,2.07%,0.69%,-68.24%,-68.24%,-11%,,,,5Y CAGR,20.55%,,Novo Nordisk A/S - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,14.04%,,Novo Nordisk A/S - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Novo Nordisk A/S - Rating: 1% - Upside: 236%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     197.30,,,12/29/2014,,12/29/2014,,,,,1.62%,197.30 kr,3.20,294.63,84.88,154.61,54%,49%,1.09%,3.77%,3.59%,65.48%,73.09%,15,2.07%,0.00%,,1997,0.04,-,1,,,0,1.00%,144,144,5.45%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,200.88 kr,,,1/5/2015,,1/5/2015,,,,,1.59%,200.88 kr,3.20,294.63,84.88,154.61,55%,47%,1.09%,3.77%,3.52%,62.53%,70.00%,15,2.07%,0.00%,,1998,0.58,1433.33%,236,,,1,1.10%,109,253,4.13%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,199.57 kr,,,1/12/2015,,1/12/2015,,,,,1.60%,199.57 kr,3.20,294.63,84.88,154.61,55%,48%,1.09%,3.77%,3.55%,63.60%,71.12%,15,2.07%,-0.65%,,1999,0.08,-86.52%,,,,2,1.20%,140,393,5.30%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,193.67 kr,,,1/19/2015,,1/20/2015,,,,,1.65%,193.67 kr,3.20,294.63,84.88,154.61,52%,52%,1.09%,3.77%,3.65%,68.59%,76.33%,15,2.07%,-3.59%,,2000,0.10,25.81%,1/1/1970,1970,,3,1.30%,172,565,6.51%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,192.29 kr,,,1/26/2015,,1/26/2015,,,,,1.66%,192.29 kr,3.20,294.63,84.88,154.61,51%,53%,1.09%,3.77%,3.68%,69.80%,77.60%,15,2.07%,-4.28%,,2001,0.13,35.90%,1/1/1971,1971,,4,1.40%,191,756,7.23%
