,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NSC US,Norfolk Southern Corporation,,,,,,,,,,99%,1%,$    343.35,$        195.98,$       266.52,$          350.66,$        345.31,3.54%,1.56%,2.08%,8.11%,415.54%,432.72%,128%,,,,,,,NO,,,3.34%,1.44%,1.90%,0.03%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Norfolk Southern Corporation - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.76%,11/10/2017,,,,,,,,,,$       266.52,-22%,1.57%,$        345.31,$         116.48,$             66.60,$          85.65,1.40%,2.76%,2.03%,1.54%,-2.08%,-2.08%,-29%,,,,5Y CAGR,5.36%,,Norfolk Southern Corporation - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.63%,,Norfolk Southern Corporation - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Norfolk Southern Corporation - Rating: 99% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         81.81,,,12/29/2014,,12/29/2014,,,,,2.88%,$               81.81,2.36,150.92,85.65,116.48,-6%,84%,1.56%,2.76%,6.60%,319.69%,333.68%,11.44,2.03%,0.00%,,1997,0.00,-,99,,,0,1.44%,30,30,1.13%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       82.27,,,1/5/2015,,1/5/2015,,,,,2.87%,$             82.27,2.36,150.92,85.65,116.48,-5%,83%,1.56%,2.76%,6.56%,317.35%,331.25%,11.44,2.03%,0.00%,,1998,0.00,,1,,,1,1.47%,28,58,1.05%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       79.48,,,1/12/2015,,1/12/2015,,,,,2.97%,$             79.48,2.36,150.92,85.65,116.48,-9%,90%,1.56%,2.76%,6.79%,332.00%,346.39%,11.44,2.03%,-3.39%,,1999,0.00,,,,,2,1.50%,26,84,0.98%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       78.00,,,1/20/2015,,1/20/2015,,,,,3.03%,$             78.00,2.36,150.92,85.65,116.48,-12%,93%,1.56%,2.76%,6.92%,340.19%,354.86%,11.44,2.03%,-5.19%,,2000,0.00,,1/1/1970,1970,,3,1.53%,36,120,1.36%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       77.79,,,1/26/2015,,1/26/2015,,,,,3.03%,$             77.79,2.36,150.92,85.65,116.48,-12%,94%,1.56%,2.76%,6.94%,341.38%,356.09%,11.44,2.03%,-5.45%,,2001,0.00,,1/1/1971,1971,,4,1.56%,46,166,1.73%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       75.97,,,2/2/2015,,2/2/2015,,,,,3.11%,$             75.97,2.36,150.92,85.65,116.48,-15%,99%,1.56%,2.76%,7.11%,351.95%,367.01%,11.44,2.03%,-7.66%,,2002,0.26,,1/1/1972,1972,,5,1.59%,37,203,1.39%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       75.93,,,2/9/2015,,2/9/2015,,,,,3.11%,$             75.93,2.36,150.92,85.65,116.48,-15%,99%,1.56%,2.76%,7.11%,352.19%,367.26%,11.44,2.03%,-7.71%,,2003,0.30,15.38%,1/1/1973,1973,,6,1.62%,47,250,1.77%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        71.44,,,2/17/2015,,2/17/2015,,,,,3.30%,$              71.44,2.36,150.92,85.65,116.48,-22%,111%,1.56%,2.76%,7.56%,380.61%,396.63%,11.44,2.03%,-13.16%,,2004,0.36,20.00%,1/1/1974,1974,,7,1.65%,30,280,1.13%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        72.15,,,2/23/2015,,2/23/2015,,,,,3.27%,$              72.15,2.36,150.92,85.65,116.48,-21%,109%,1.56%,2.76%,7.48%,375.88%,391.74%,11.44,2.03%,-12.30%,,2005,0.48,33.33%,1/1/1975,1975,,8,1.68%,71,351,2.67%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        71.77,,,3/2/2015,,3/2/2015,,,,,3.29%,$              71.77,2.36,150.92,85.65,116.48,-21%,110%,1.56%,2.76%,7.52%,378.40%,394.34%,11.44,2.03%,-12.76%,,2006,0.68,41.67%,1/1/1976,1976,,9,1.71%,72,423,2.71%
