,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NTAP US,NetApp,,,,,,,,,,141%,-21%,$     169.80,$           46.91,$          87.86,$            181.08,$        133.87,5.43%,1.49%,2.46%,9.43%,700.19%,721.30%,154%,,,,,,,NO,,,4.81%,1.20%,3.61%,0.05%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,NetApp  - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.26%,11/10/2017,,,,,,,,,,$          87.86,-48%,1.18%,$        133.87,$           32.51,$              21.22,$           17.36,1.10%,4.26%,2.28%,1.10%,-6.23%,-6.23%,-12%,,,,5Y CAGR,0.40%,,NetApp  - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,10.45%,,NetApp  - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,NetApp  - Rating: 141% - Upside: -21%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       26.02,,,12/29/2014,,12/29/2014,,,,,2.84%,$             26.02,0.74,49.53,17.36,32.51,27%,90%,1.49%,4.26%,7.69%,552.57%,569.79%,4.48,2.28%,0.00%,,1997,0.00,-,141,,,0,1.20%,17,17,0.64%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       25.40,,,1/5/2015,,1/5/2015,,,,,2.91%,$             25.40,0.74,49.53,17.36,32.51,25%,95%,1.49%,4.26%,7.87%,568.50%,586.14%,4.48,2.28%,-2.38%,,1998,0.00,,-21,,,1,1.25%,9,26,0.34%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       24.69,,,1/12/2015,,1/12/2015,,,,,3.00%,$             24.69,0.74,49.53,17.36,32.51,23%,101%,1.49%,4.26%,8.10%,587.73%,605.87%,4.48,2.28%,-5.11%,,1999,0.00,,,,,2,1.30%,7,33,0.26%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       23.37,,,1/20/2015,,1/20/2015,,,,,3.17%,$             23.37,0.74,49.53,17.36,32.51,19%,112%,1.49%,4.26%,8.56%,626.57%,645.74%,4.48,2.28%,-10.18%,,2000,0.00,,1/1/1970,1970,,3,1.35%,35,68,1.32%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       23.00,,,1/26/2015,,1/26/2015,,,,,3.22%,$             23.00,0.74,49.53,17.36,32.51,18%,115%,1.49%,4.26%,8.70%,638.26%,657.74%,4.48,2.28%,-11.61%,,2001,0.00,,1/1/1971,1971,,4,1.40%,27,95,1.02%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       22.98,,,2/2/2015,,2/2/2015,,,,,3.22%,$             22.98,0.74,49.53,17.36,32.51,17%,116%,1.49%,4.26%,8.70%,638.90%,658.40%,4.48,2.28%,-11.68%,,2002,0.00,,1/1/1972,1972,,5,1.45%,32,127,1.21%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       22.60,,,2/9/2015,,2/9/2015,,,,,3.27%,$             22.60,0.74,49.53,17.36,32.51,16%,119%,1.49%,4.26%,8.85%,651.33%,671.15%,4.48,2.28%,-13.14%,,2003,0.00,,1/1/1973,1973,,6,1.50%,54,181,2.03%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       22.52,,,2/17/2015,,2/17/2015,,,,,3.29%,$             22.52,0.74,49.53,17.36,32.51,16%,120%,1.49%,4.26%,8.88%,654.00%,673.89%,4.48,2.28%,-13.45%,,2004,0.00,,1/1/1974,1974,,7,1.55%,58,239,2.18%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       23.22,,,2/23/2015,,2/23/2015,,,,,3.19%,$             23.22,0.74,49.53,17.36,32.51,18%,113%,1.49%,4.26%,8.62%,631.42%,650.72%,4.48,2.28%,-10.78%,,2005,0.00,,1/1/1975,1975,,8,1.60%,69,308,2.60%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       22.25,,,3/2/2015,,3/2/2015,,,,,3.33%,$             22.25,0.74,49.53,17.36,32.51,15%,123%,1.49%,4.26%,8.99%,663.15%,683.28%,4.48,2.28%,-14.49%,,2006,0.00,,1/1/1976,1976,,9,1.65%,89,397,3.35%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        21.45,,,3/9/2015,,3/9/2015,,,,,3.45%,$              21.45,0.74,49.53,17.36,32.51,13%,131%,1.49%,4.26%,9.32%,691.61%,712.49%,4.48,2.28%,-17.56%,,2007,0.00,,1/1/1977,1977,,10,1.70%,73,470,2.75%
