,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NWFL US,Norwood Financial Corp,,,,,,,,,,58%,34%,$        33.71,$           17.78,$          30.60,$              40.41,$          48.33,7.09%,2.57%,4.08%,6.63%,92.63%,116.97%,129%,,,,,,,NO,,,6.95%,2.26%,4.70%,0.10%,47
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Norwood Financial Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.52%,11/10/2017,,,,,,,,,,$          28.63,-15%,3.44%,$           45.21,$           21.72,$              17.50,$           13.49,2.18%,6.52%,4.05%,2.87%,-16.58%,-13.63%,-5%,,,,5Y CAGR,2.21%,,Norwood Financial Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-0.66%,,Norwood Financial Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Norwood Financial Corp - Rating: 58% - Upside: 34%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                         19.17,,,12/30/2014,,12/29/2014,,,,,6.47%,$               19.17,1.24,48.33,19.01,30.60,1%,152%,2.57%,6.52%,6.05%,75.88%,98.10%,4.26,4.05%,0.00%,,1997,#N/A,-,58,,,0,2.26%,44,44,1.67%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                         19.17,,,1/5/2015,,1/5/2015,,,,,6.47%,$               19.17,1.24,48.33,19.01,30.60,1%,152%,2.57%,6.52%,6.05%,75.88%,98.10%,4.26,4.05%,0.00%,,1998,0.28,,34,,,1,2.36%,37,81,1.41%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                         18.81,,,1/12/2015,,1/12/2015,,,,,6.59%,$               18.81,1.24,48.33,19.01,30.60,-1%,157%,2.57%,6.52%,6.17%,79.24%,101.90%,4.26,4.05%,-1.88%,,1999,0.37,33.33%,,,,2,2.46%,37,118,1.41%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        18.97,,,1/20/2015,,1/20/2015,,,,,6.54%,$              18.97,1.24,48.33,19.01,30.60,0%,155%,2.57%,6.52%,6.12%,77.72%,100.18%,4.26,4.05%,-1.04%,,2000,0.45,21.43%,1/1/1970,1970,,3,2.56%,14,132,0.53%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                         19.17,,,1/26/2015,,1/26/2015,,,,,6.47%,$               19.17,1.24,48.33,19.01,30.60,1%,152%,2.57%,6.52%,6.05%,75.88%,98.10%,4.26,4.05%,0.00%,,2001,0.53,17.65%,1/1/1971,1971,,4,2.66%,46,178,1.75%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        19.00,,,2/2/2015,,2/2/2015,,,,,6.53%,$              19.00,1.24,48.33,19.01,30.60,0%,154%,2.57%,6.52%,6.11%,77.42%,99.84%,4.26,4.05%,-0.87%,,2002,0.59,10.00%,1/1/1972,1972,,5,2.76%,77,255,2.93%
