,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,O US,Realty Income,,,,,,,,,,32%,37%,$       65.50,$          54.42,$            70.11,$             82.44,$          89.58,6.62%,3.59%,4.68%,7.20%,54.12%,54.12%,121%,,,,,,,NO,,,6.20%,3.38%,2.82%,0.04%,70
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.65%,,Realty Income - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.90%,11/10/2017,,,,,,,,,,$            70.11,7%,4.90%,$          89.58,$           52.19,$             42.50,$           40.51,3.31%,5.90%,4.58%,3.71%,-20.55%,-20.55%,-17%,,,,5Y CAGR,2.46%,,Realty Income - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.00%,,Realty Income - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Realty Income - Rating: 32% - Upside: 37%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         51.18,,,12/29/2014,,12/29/2014,,,,,4.67%,$               51.18,2.39,66.69,40.51,52.19,41%,30%,3.59%,5.90%,5.98%,27.98%,48.03%,10.2595,4.58%,0.00%,,1997,0.00,-,32,,,0,3.38%,18,18,0.68%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       52.29,,,1/5/2015,,1/5/2015,,,,,4.57%,$             52.29,2.39,66.69,40.51,52.19,45%,28%,3.59%,5.90%,5.85%,25.26%,44.88%,10.2595,4.58%,0.00%,,1998,0.00,,37,,,1,3.42%,15,33,0.56%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       52.60,,,1/12/2015,,1/12/2015,,,,,4.55%,$             52.60,2.39,66.69,40.51,52.19,46%,27%,3.59%,5.90%,5.82%,24.52%,44.03%,10.2595,4.58%,0.00%,,1999,0.00,,,,,2,3.46%,24,57,0.90%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        51.69,,,1/20/2015,,1/20/2015,,,,,4.63%,$              51.69,2.39,66.69,40.51,52.19,43%,29%,3.59%,5.90%,5.92%,26.72%,46.57%,10.2595,4.58%,-1.73%,,2000,0.00,,1/1/1970,1970,,3,3.50%,25,82,0.94%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         51.17,,,1/26/2015,,1/26/2015,,,,,4.67%,$               51.17,2.39,66.69,40.51,52.19,41%,30%,3.59%,5.90%,5.98%,28.00%,48.05%,10.2595,4.58%,-2.72%,,2001,0.00,,1/1/1971,1971,,4,3.54%,33,115,1.24%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       52.27,,,2/2/2015,,2/2/2015,,,,,4.58%,$             52.27,2.39,66.69,40.51,52.19,45%,28%,3.59%,5.90%,5.85%,25.31%,44.94%,10.2595,4.58%,-0.63%,,2002,1.15,,1/1/1972,1972,,5,3.58%,19,134,0.72%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       52.43,,,2/9/2015,,2/9/2015,,,,,4.56%,$             52.43,2.39,66.69,40.51,52.19,46%,27%,3.59%,5.90%,5.83%,24.93%,44.50%,10.2595,4.58%,-0.32%,,2003,1.18,2.60%,1/1/1973,1973,,6,3.62%,14,148,0.53%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        51.84,,,2/17/2015,,2/17/2015,,,,,4.61%,$              51.84,2.39,66.69,40.51,52.19,43%,29%,3.59%,5.90%,5.90%,26.35%,46.14%,10.2595,4.58%,-1.44%,,2004,1.25,5.70%,1/1/1974,1974,,7,3.66%,18,166,0.68%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       52.25,,,2/23/2015,,2/23/2015,,,,,4.58%,$             52.25,2.39,66.69,40.51,52.19,45%,28%,3.59%,5.90%,5.85%,25.36%,44.99%,10.2595,4.58%,-0.67%,,2005,1.35,8.09%,1/1/1975,1975,,8,3.70%,48,214,1.81%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        52.19,,,3/2/2015,,3/2/2015,,,,,4.58%,$              52.19,2.39,66.69,40.51,52.19,45%,28%,3.59%,5.90%,5.86%,25.50%,45.16%,10.2595,4.58%,-0.78%,,2006,1.45,7.02%,1/1/1976,1976,,9,3.74%,34,248,1.28%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        53.01,,,3/9/2015,,3/9/2015,,,,,4.51%,$              53.01,2.39,66.69,40.51,52.19,48%,26%,3.59%,5.90%,5.77%,23.56%,42.92%,10.2595,4.58%,0.00%,,2007,1.57,8.50%,1/1/1977,1977,,10,3.78%,32,280,1.21%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        51.87,,,3/16/2015,,3/16/2015,,,,,4.61%,$              51.87,2.39,66.69,40.51,52.19,43%,29%,3.59%,5.90%,5.90%,26.28%,46.06%,10.2595,4.58%,-2.15%,,2008,1.67,6.16%,1/1/1978,1978,,11,3.82%,33,313,1.24%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       52.52,,,3/23/2015,,3/23/2015,,,,,4.55%,$             52.52,2.39,66.69,40.51,52.19,46%,27%,3.59%,5.90%,5.82%,24.71%,44.25%,10.2595,4.58%,-0.92%,,2009,1.71,2.44%,1/1/1979,1979,,12,3.86%,47,360,1.77%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       54.04,,,3/30/2015,,3/30/2015,,,,,4.43%,$             54.04,2.39,66.69,40.51,52.19,52%,23%,3.59%,5.90%,5.66%,21.21%,40.19%,10.2595,4.58%,0.00%,,2010,1.72,0.81%,1/1/1980,1980,,13,3.90%,43,403,1.62%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       53.89,,,4/6/2015,,4/6/2015,,,,,4.44%,$             53.89,2.39,66.69,40.51,52.19,51%,24%,3.59%,5.90%,5.68%,21.54%,40.58%,10.2595,4.58%,-0.28%,,2011,1.74,0.87%,1/1/1981,1981,,14,3.94%,39,442,1.47%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       55.20,,,4/13/2015,,4/13/2015,,,,,4.33%,$             55.20,2.39,66.69,40.51,52.19,56%,21%,3.59%,5.90%,5.54%,18.66%,37.25%,10.2595,4.58%,0.00%,,2012,1.77,2.02%,1/1/1982,1982,,15,3.98%,50,492,1.88%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       55.08,,,4/20/2015,,4/20/2015,,,,,4.34%,$             55.08,2.39,66.69,40.51,52.19,56%,21%,3.59%,5.90%,5.55%,18.92%,37.54%,10.2595,4.58%,-0.22%,,2013,2.15,21.21%,1/1/1983,1983,,16,4.02%,53,545,2.00%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       54.87,,,4/27/2015,,4/27/2015,,,,,4.36%,$             54.87,2.39,66.69,40.51,52.19,55%,22%,3.59%,5.90%,5.57%,19.37%,38.07%,10.2595,4.58%,-0.60%,,2014,2.19,2.06%,1/1/1984,1984,,17,4.06%,36,581,1.36%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       55.79,,,5/4/2015,,5/4/2015,,,,,4.29%,$             55.79,2.39,66.69,40.51,52.19,58%,20%,3.59%,5.90%,5.48%,17.40%,35.79%,10.2595,4.58%,0.00%,,2015,2.27,3.64%,1/1/1985,1985,,18,4.10%,51,632,1.92%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       56.65,,,5/11/2015,,5/11/2015,,,,,4.22%,$             56.65,2.39,66.69,40.51,52.19,62%,18%,3.59%,5.90%,5.40%,15.62%,33.73%,10.2595,4.58%,0.00%,,2016,2.39,5.29%,1/1/1986,1986,,19,4.14%,58,690,2.18%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       57.22,,,5/18/2015,,5/18/2015,,,,,4.18%,$             57.22,2.39,66.69,40.51,52.19,64%,17%,3.59%,5.90%,5.35%,14.47%,32.40%,10.2595,4.58%,0.00%,,2017,2.53,5.67%,1/1/1987,1987,,20,4.18%,60,750,2.26%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       57.35,,,5/26/2015,,5/26/2015,,,,,4.17%,$             57.35,2.39,66.69,40.51,52.19,64%,16%,3.59%,5.90%,5.33%,14.21%,32.10%,10.2595,4.58%,0.00%,,2018,2.63,4.10%,1/1/1988,1988,,21,4.22%,71,821,2.67%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       57.48,,,6/1/2015,,6/1/2015,,,,,4.16%,$             57.48,2.39,66.69,40.51,52.19,65%,16%,3.59%,5.90%,5.32%,13.95%,31.80%,10.2595,4.58%,0.00%,,2019,2.71,3.04%,1/1/1989,1989,,22,4.26%,52,873,1.96%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       55.89,,,6/8/2015,,6/8/2015,,,,,4.28%,$             55.89,2.39,66.69,40.51,52.19,59%,19%,3.59%,5.90%,5.47%,17.19%,35.55%,10.2595,4.58%,-2.77%,,2020,2.79,3.08%,1/1/1990,1990,,23,4.30%,45,918,1.69%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                        56.17,,,6/15/2015,,6/15/2015,,,,,4.26%,$              56.17,2.39,66.69,40.51,52.19,60%,19%,3.59%,5.90%,5.45%,16.61%,34.88%,10.2595,4.58%,-2.28%,,2021,2.85,1.83%,1/1/1991,1991,,24,4.34%,63,981,2.37%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       56.36,,,6/22/2015,,6/22/2015,,,,,4.24%,$             56.36,2.39,66.69,40.51,52.19,61%,18%,3.59%,5.90%,5.43%,16.22%,34.42%,10.2595,4.58%,-1.95%,,2022,2.97,4.36%,1/1/1992,1992,,25,4.38%,56,1037,2.11%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       56.78,,,6/29/2015,,6/29/2015,,,,,4.21%,$             56.78,2.39,66.69,40.51,52.19,62%,17%,3.59%,5.90%,5.39%,15.36%,33.43%,10.2595,4.58%,-1.22%,,2023,3.06,3.03%,1/1/1993,1993,,26,4.42%,65,1102,2.45%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        60.12,,,7/6/2015,,7/6/2015,,,,,3.98%,$              60.12,2.39,66.69,40.51,52.19,75%,11%,3.59%,5.90%,5.09%,8.95%,26.01%,10.2595,4.58%,0.00%,,2024,3.13,2.32%,1/1/1994,1994,,27,4.46%,65,1167,2.45%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       60.48,,,7/13/2015,,7/13/2015,,,,,3.95%,$             60.48,2.39,66.69,40.51,52.19,76%,10%,3.59%,5.90%,5.06%,8.30%,25.26%,10.2595,4.58%,0.00%,,2025,3.21,2.64%,1/1/1995,1995,,28,4.50%,58,1225,2.18%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       59.82,,,7/20/2015,,7/20/2015,,,,,4.00%,$             59.82,2.39,66.69,40.51,52.19,74%,11%,3.59%,5.90%,5.11%,9.50%,26.65%,10.2595,4.58%,-1.09%,,2026,3.21,0.00%,1/1/1996,1996,,29,4.54%,79,1304,2.98%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                        59.81,,,7/27/2015,,7/27/2015,,,,,4.00%,$              59.81,2.39,66.69,40.51,52.19,74%,12%,3.59%,5.90%,5.11%,9.51%,26.67%,10.2595,4.58%,-1.11%,,,,,1/1/1997,1997,,30,4.58%,66,1370,2.49%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       60.45,,,8/3/2015,,8/3/2015,,,,,3.96%,$             60.45,2.39,66.69,40.51,52.19,76%,10%,3.59%,5.90%,5.06%,8.35%,25.33%,10.2595,4.58%,-0.05%,,,,,1/1/1998,1998,,31,4.62%,52,1422,1.96%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                       60.22,,,8/10/2015,,8/10/2015,,,,,3.97%,$             60.22,2.39,66.69,40.51,52.19,75%,11%,3.59%,5.90%,5.08%,8.77%,25.80%,10.2595,4.58%,-0.43%,,,,,1/1/1999,1999,,32,4.66%,48,1470,1.81%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                       59.72,,,8/17/2015,,8/17/2015,,,,,4.00%,$             59.72,2.39,66.69,40.51,52.19,73%,12%,3.59%,5.90%,5.12%,9.68%,26.86%,10.2595,4.58%,-1.26%,,,,,1/1/2000,2000,,33,4.70%,41,1511,1.54%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                        59.71,,,8/24/2015,,8/24/2015,,,,,4.01%,$              59.71,2.39,66.69,40.51,52.19,73%,12%,3.59%,5.90%,5.12%,9.70%,26.88%,10.2595,4.58%,-1.27%,,,,,1/1/2001,2001,,34,4.74%,42,1553,1.58%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                       59.53,,,8/31/2015,,8/31/2015,,,,,4.02%,$             59.53,2.39,66.69,40.51,52.19,73%,12%,3.59%,5.90%,5.14%,10.03%,27.26%,10.2595,4.58%,-1.57%,,,,,1/1/2002,2002,,35,4.78%,24,1577,0.90%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                        60.12,,,9/8/2015,,9/8/2015,,,,,3.98%,$              60.12,2.39,66.69,40.51,52.19,75%,11%,3.59%,5.90%,5.09%,8.95%,26.01%,10.2595,4.58%,-0.60%,,,,,1/1/2003,2003,,36,4.82%,31,1608,1.17%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                       58.63,,,9/14/2015,,9/14/2015,,,,,4.08%,$             58.63,2.39,66.69,40.51,52.19,69%,14%,3.59%,5.90%,5.22%,11.72%,29.22%,10.2595,4.58%,-3.06%,,,,,1/1/2004,2004,,37,4.86%,36,1644,1.36%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       58.54,,,9/21/2015,,9/21/2015,,,,,4.09%,$             58.54,2.39,66.69,40.51,52.19,69%,14%,3.59%,5.90%,5.23%,11.89%,29.41%,10.2595,4.58%,-3.21%,,,,,1/1/2005,2005,,38,4.90%,44,1688,1.66%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                       58.83,,,9/28/2015,,9/28/2015,,,,,4.07%,$             58.83,2.39,66.69,40.51,52.19,70%,13%,3.59%,5.90%,5.20%,11.34%,28.78%,10.2595,4.58%,-2.73%,,,,,1/1/2006,2006,,39,4.94%,44,1732,1.66%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,$                                                       59.04,,,10/5/2015,,10/5/2015,,,,,4.05%,$             59.04,2.39,66.69,40.51,52.19,71%,13%,3.59%,5.90%,5.18%,10.94%,28.32%,10.2595,4.58%,-2.38%,,,,,1/1/2007,2007,,40,4.98%,53,1785,2.00%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,$                                                       59.02,,,10/12/2015,,10/12/2015,,,,,4.05%,$             59.02,2.39,66.69,40.51,52.19,71%,13%,3.59%,5.90%,5.18%,10.98%,28.36%,10.2595,4.58%,-2.41%,,,,,1/1/2008,2008,,41,5.02%,40,1825,1.51%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,$                                                        58.16,,,10/19/2015,,10/19/2015,,,,,4.11%,$              58.16,2.39,66.69,40.51,52.19,67%,15%,3.59%,5.90%,5.26%,12.62%,30.26%,10.2595,4.58%,-3.84%,,,,,1/1/2009,2009,,42,5.06%,54,1879,2.03%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,$                                                       57.75,,,10/26/2015,,10/26/2015,,,,,4.14%,$             57.75,2.39,66.69,40.51,52.19,66%,15%,3.59%,5.90%,5.30%,13.42%,31.19%,10.2595,4.58%,-4.51%,,,,,1/1/2010,2010,,43,5.10%,33,1912,1.24%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,$                                                       58.64,,,11/2/2015,,11/2/2015,,,,,4.08%,$             58.64,2.39,66.69,40.51,52.19,69%,14%,3.59%,5.90%,5.22%,11.70%,29.19%,10.2595,4.58%,-3.04%,,,,,1/1/2011,2011,,44,5.14%,46,1958,1.73%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,$                                                       58.93,,,11/9/2015,,11/9/2015,,,,,4.06%,$             58.93,2.39,66.69,40.51,52.19,70%,13%,3.59%,5.90%,5.19%,11.15%,28.56%,10.2595,4.58%,-2.56%,,,,,1/1/2012,2012,,45,5.18%,35,1993,1.32%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,$                                                       59.25,,,11/16/2015,,11/16/2015,,,,,4.04%,$             59.25,2.39,66.69,40.51,52.19,72%,13%,3.59%,5.90%,5.16%,10.55%,27.86%,10.2595,4.58%,-2.03%,,,,,1/1/2013,2013,,46,5.22%,23,2016,0.87%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,$                                                       59.63,,,11/23/2015,,11/23/2015,,,,,4.01%,$             59.63,2.39,66.69,40.51,52.19,73%,12%,3.59%,5.90%,5.13%,9.84%,27.05%,10.2595,4.58%,-1.41%,,,,,1/1/2014,2014,,47,5.26%,28,2044,1.05%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,$                                                       59.75,,,11/30/2015,,11/30/2015,,,,,4.00%,$             59.75,2.39,66.69,40.51,52.19,73%,12%,3.59%,5.90%,5.12%,9.62%,26.79%,10.2595,4.58%,-1.21%,,,,,1/1/2015,2015,,48,5.30%,35,2079,1.32%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,$                                                       59.86,,,12/7/2015,,12/7/2015,,,,,4.00%,$             59.86,2.39,66.69,40.51,52.19,74%,11%,3.59%,5.90%,5.11%,9.42%,26.56%,10.2595,4.58%,-1.03%,,,,,1/1/2016,2016,,49,5.34%,34,2113,1.28%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,$                                                       60.88,,,12/14/2015,,12/14/2015,,,,,3.93%,$             60.88,2.39,66.69,40.51,52.19,78%,10%,3.59%,5.90%,5.02%,7.59%,24.44%,10.2595,4.58%,0.00%,,,,,1/1/2017,2017,,50,5.38%,27,2140,1.02%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,$                                                        61.57,,,12/21/2015,,12/21/2015,,,,,3.88%,$              61.57,2.39,66.69,40.51,52.19,80%,8%,3.59%,5.90%,4.97%,6.38%,23.05%,10.2595,4.58%,0.00%,,,,,1/1/2018,2018,,51,5.42%,34,2174,1.28%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,$                                                        61.24,,,12/28/2015,,12/28/2015,,,,,3.91%,$              61.24,2.39,66.69,40.51,52.19,79%,9%,3.59%,5.90%,5.00%,6.96%,23.71%,10.2595,4.58%,-0.54%,,,,,1/1/2019,2019,,52,5.46%,19,2193,0.72%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,$                                                       60.77,,,1/4/2016,,1/4/2016,,,,,3.94%,$             60.77,2.39,66.69,40.51,52.19,77%,10%,3.59%,5.90%,5.03%,7.78%,24.67%,10.2595,4.58%,-1.30%,,,,,1/1/2020,2020,,53,5.50%,30,2223,1.13%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,$                                                       60.88,,,1/11/2016,,1/11/2016,,,,,3.93%,$             60.88,2.39,66.69,40.51,52.19,78%,10%,3.59%,5.90%,5.02%,7.59%,24.44%,10.2595,4.58%,-1.12%,,,,,,,,54,5.54%,42,2265,1.58%
