,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,OCN LN,Ocean Wilsons Holdings Ltd,,,,,,,,,,71%,16%,$  1.180,00,$       706.02,$    1.135,00,$       1.585,00,$   1.370,00,8.77%,4.12%,5.33%,9.11%,90.32%,95.44%,132%,,,,,,,NO,,,8.70%,3.75%,4.95%,0.10%,50
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Ocean Wilsons Holdings Ltd - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,8.00%,11/10/2017,,,,,,,,,,$    1.135,00,-4%,4.79%,$   1.370,00,$         874.11,$          620.00,$       543.73,3.56%,8.00%,4.98%,3.56%,-25.55%,-25.55%,-9%,,,,5Y CAGR,2.55%,,Ocean Wilsons Holdings Ltd - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.65%,,Ocean Wilsons Holdings Ltd - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Ocean Wilsons Holdings Ltd - Rating: 71% - Upside: 16%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    755.00,,,12/29/2014,,12/29/2014,,,,,5.76%,755.00,43.49,1.055,09,543.73,874.11,41%,40%,4.12%,8.00%,7.48%,56.29%,82.50%,197.8816,4.98%,0.00%,,1997,0.00,-,71,,,0,3.75%,21,21,0.83%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,755.00,,,1/5/2015,,1/5/2015,,,,,5.76%,755.00,43.49,1.055,09,543.73,874.11,41%,40%,4.12%,8.00%,7.48%,56.29%,82.50%,197.8816,4.98%,0.00%,,1998,0.00,,16,,,1,3.85%,28,49,1.10%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,765.00,,,1/12/2015,,1/12/2015,,,,,5.68%,765.00,43.49,1.055,09,543.73,874.11,43%,38%,4.12%,8.00%,7.38%,54.25%,80.12%,197.8816,4.98%,0.00%,,1999,0.00,,,,,2,3.95%,39,88,1.53%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,750.00,,,1/19/2015,,1/20/2015,,,,,5.80%,750.00,43.49,1.055,09,543.73,874.11,40%,41%,4.12%,8.00%,7.53%,57.33%,83.72%,197.8816,4.98%,-1.96%,,2000,0.00,,1/1/1970,1970,,3,4.05%,54,142,2.13%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,747.50,,,1/26/2015,,1/26/2015,,,,,5.82%,747.50,43.49,1.055,09,543.73,874.11,40%,41%,4.12%,8.00%,7.55%,57.86%,84.33%,197.8816,4.98%,-2.29%,,2001,0.00,,1/1/1971,1971,,4,4.15%,91,233,3.58%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,745.00,,,2/2/2015,,2/2/2015,,,,,5.84%,745.00,43.49,1.055,09,543.73,874.11,39%,42%,4.12%,8.00%,7.58%,58.39%,84.95%,197.8816,4.98%,-2.61%,,2002,6.00,,1/1/1972,1972,,5,4.25%,130,363,5.12%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,745.00,,,2/9/2015,,2/9/2015,,,,,5.84%,745.00,43.49,1.055,09,543.73,874.11,39%,42%,4.12%,8.00%,7.58%,58.39%,84.95%,197.8816,4.98%,-2.61%,,2003,6.00,0.00%,1/1/1973,1973,,6,4.35%,118,481,4.64%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,745.00,,,2/16/2015,,2/17/2015,,,,,5.84%,745.00,43.49,1.055,09,543.73,874.11,39%,42%,4.12%,8.00%,7.58%,58.39%,84.95%,197.8816,4.98%,-2.61%,,2004,9.94,65.72%,1/1/1974,1974,,7,4.45%,161,642,6.34%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,745.00,,,2/23/2015,,2/23/2015,,,,,5.84%,745.00,43.49,1.055,09,543.73,874.11,39%,42%,4.12%,8.00%,7.58%,58.39%,84.95%,197.8816,4.98%,-2.61%,,2005,10.76,8.19%,1/1/1975,1975,,8,4.55%,191,833,7.52%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,730.00,,,3/2/2015,,3/2/2015,,,,,5.96%,730.00,43.49,1.055,09,543.73,874.11,36%,45%,4.12%,8.00%,7.74%,61.64%,88.75%,197.8816,4.98%,-4.58%,,2006,10.72,-0.37%,1/1/1976,1976,,9,4.65%,127,960,5.00%
