,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,OHI US,Omega Healthcare Investors,,,,,,,,,,139%,-13%,$        51.40,$          27.33,$          34.44,$              51.72,$          44.69,18.02%,6.00%,7.85%,18.02%,245.66%,245.66%,141%,,,,,,,NO,,,10.65%,5.48%,5.18%,0.10%,52
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Omega Healthcare Investors - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,9.81%,11/10/2017,,,,,,,,,,$          34.44,-33%,5.21%,$          44.69,$          30.33,$              14.87,$          24.07,5.18%,9.81%,7.78%,5.18%,-0.62%,-0.62%,-72%,,,,5Y CAGR,0.00%,,Omega Healthcare Investors - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.28%,,Omega Healthcare Investors - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Omega Healthcare Investors - Rating: 139% - Upside: -13%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       35.30,,,12/29/2014,,12/29/2014,,,,,6.69%,$             35.30,2.36,39.35,24.07,30.33,73%,11%,6.00%,9.81%,7.59%,45.61%,74.48%,10.19,7.78%,0.00%,,1997,0.00,-,139,,,0,5.48%,15,15,0.56%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       35.78,,,1/5/2015,,1/5/2015,,,,,6.60%,$             35.78,2.36,39.35,24.07,30.33,77%,10%,6.00%,9.81%,7.49%,43.66%,72.14%,10.19,7.78%,0.00%,,1998,0.00,,-13,,,1,5.58%,24,39,0.90%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       35.70,,,1/12/2015,,1/12/2015,,,,,6.61%,$             35.70,2.36,39.35,24.07,30.33,76%,10%,6.00%,9.81%,7.51%,43.98%,72.52%,10.19,7.78%,-0.22%,,1999,0.00,,,,,2,5.68%,23,62,0.87%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       34.52,,,1/20/2015,,1/20/2015,,,,,6.84%,$             34.52,2.36,39.35,24.07,30.33,68%,14%,6.00%,9.81%,7.76%,48.90%,78.42%,10.19,7.78%,-3.52%,,2000,0.00,,1/1/1970,1970,,3,5.78%,19,81,0.72%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       34.39,,,1/26/2015,,1/26/2015,,,,,6.86%,$             34.39,2.36,39.35,24.07,30.33,68%,14%,6.00%,9.81%,7.79%,49.46%,79.09%,10.19,7.78%,-3.88%,,2001,0.00,,1/1/1971,1971,,4,5.88%,28,109,1.05%
