,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,OKE US,Oneok,,,,,,,,,,94%,4%,$       89.46,$            31.41,$           71.25,$            117.05,$          93.37,24.33%,4.09%,6.06%,24.85%,482.04%,482.04%,138%,,,,,,,NO,,,16.14%,3.48%,12.66%,0.20%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Oneok - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,12.16%,11/10/2017,,,,,,,,,,$           71.25,-20%,4.27%,$          93.37,$          45.88,$              15.37,$          20.23,3.26%,12.16%,5.36%,3.26%,-23.57%,-23.57%,-25%,,,,5Y CAGR,0.42%,,Oneok - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.50%,,Oneok - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Oneok - Rating: 94% - Upside: 4%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       25.35,,,12/29/2014,,12/29/2014,,,,,9.70%,$             25.35,2.46,60.13,20.23,45.88,13%,137%,4.09%,12.16%,15.07%,252.90%,300.06%,11.955,5.36%,0.00%,,1997,0.00,-,94,,,0,3.48%,22,22,0.83%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       25.37,,,1/5/2015,,1/5/2015,,,,,9.70%,$             25.37,2.46,60.13,20.23,45.88,13%,137%,4.09%,12.16%,15.06%,252.62%,299.74%,11.955,5.36%,0.00%,,1998,0.00,,4,,,1,3.68%,38,60,1.43%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       24.22,,,1/12/2015,,1/12/2015,,,,,10.16%,$             24.22,2.46,60.13,20.23,45.88,10%,148%,4.09%,12.16%,15.77%,269.36%,318.72%,11.955,5.36%,-4.53%,,1999,0.00,,,,,2,3.88%,54,114,2.03%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       22.78,,,1/20/2015,,1/20/2015,,,,,10.80%,$             22.78,2.46,60.13,20.23,45.88,6%,164%,4.09%,12.16%,16.77%,292.71%,345.19%,11.955,5.36%,-10.21%,,2000,0.00,,1/1/1970,1970,,3,4.08%,73,187,2.75%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       23.05,,,1/26/2015,,1/26/2015,,,,,10.67%,$             23.05,2.46,60.13,20.23,45.88,7%,161%,4.09%,12.16%,16.57%,288.11%,339.98%,11.955,5.36%,-9.14%,,2001,0.00,,1/1/1971,1971,,4,4.28%,85,272,3.20%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        22.61,,,2/2/2015,,2/2/2015,,,,,10.88%,$              22.61,2.46,60.13,20.23,45.88,6%,166%,4.09%,12.16%,16.90%,295.67%,348.54%,11.955,5.36%,-10.88%,,2002,0.31,,1/1/1972,1972,,5,4.48%,134,406,5.05%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        21.85,,,2/9/2015,,2/9/2015,,,,,11.26%,$              21.85,2.46,60.13,20.23,45.88,4%,175%,4.09%,12.16%,17.48%,309.43%,364.14%,11.955,5.36%,-13.87%,,2003,0.35,11.29%,1/1/1973,1973,,6,4.68%,264,670,9.94%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       20.97,,,2/17/2015,,2/17/2015,,,,,11.73%,$             20.97,2.46,60.13,20.23,45.88,2%,187%,4.09%,12.16%,18.22%,326.61%,383.62%,11.955,5.36%,-17.34%,,2004,0.44,27.54%,1/1/1974,1974,,7,4.88%,281,951,10.58%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       22.78,,,2/23/2015,,2/23/2015,,,,,10.80%,$             22.78,2.46,60.13,20.23,45.88,6%,164%,4.09%,12.16%,16.77%,292.71%,345.19%,11.955,5.36%,-10.21%,,2005,0.55,23.86%,1/1/1975,1975,,8,5.08%,280,1231,10.55%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        21.94,,,3/2/2015,,3/2/2015,,,,,11.21%,$              21.94,2.46,60.13,20.23,45.88,4%,174%,4.09%,12.16%,17.41%,307.75%,362.24%,11.955,5.36%,-13.52%,,2006,0.61,11.93%,1/1/1976,1976,,9,5.28%,216,1447,8.14%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       20.79,,,3/9/2015,,3/9/2015,,,,,11.83%,$             20.79,2.46,60.13,20.23,45.88,1%,189%,4.09%,12.16%,18.37%,330.30%,387.81%,11.955,5.36%,-18.05%,,2007,0.70,14.75%,1/1/1977,1977,,10,5.48%,185,1632,6.97%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       20.04,,,3/16/2015,,3/16/2015,,,,,12.28%,$             20.04,2.46,60.13,20.23,45.88,0%,200%,4.09%,12.16%,19.06%,346.41%,406.06%,11.955,5.36%,-21.01%,,2008,0.78,11.43%,1/1/1978,1978,,11,5.68%,208,1840,7.83%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       22.62,,,3/23/2015,,3/23/2015,,,,,10.88%,$             22.62,2.46,60.13,20.23,45.88,6%,166%,4.09%,12.16%,16.89%,295.49%,348.34%,11.955,5.36%,-10.84%,,2009,0.82,5.13%,1/1/1979,1979,,12,5.88%,123,1963,4.63%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        25.10,,,3/30/2015,,3/30/2015,,,,,9.80%,$              25.10,2.46,60.13,20.23,45.88,12%,140%,4.09%,12.16%,15.22%,256.41%,304.04%,11.955,5.36%,-1.06%,,2010,0.91,10.98%,1/1/1980,1980,,13,6.08%,76,2039,2.86%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       23.62,,,4/6/2015,,4/6/2015,,,,,10.41%,$             23.62,2.46,60.13,20.23,45.88,8%,155%,4.09%,12.16%,16.17%,278.75%,329.36%,11.955,5.36%,-6.90%,,2011,1.08,18.68%,1/1/1981,1981,,14,6.28%,59,2098,2.22%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       24.30,,,4/13/2015,,4/13/2015,,,,,10.12%,$             24.30,2.46,60.13,20.23,45.88,10%,147%,4.09%,12.16%,15.72%,268.15%,317.35%,11.955,5.36%,-4.22%,,2012,1.27,17.59%,1/1/1982,1982,,15,6.48%,42,2140,1.58%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        23.13,,,4/20/2015,,4/20/2015,,,,,10.64%,$              23.13,2.46,60.13,20.23,45.88,7%,160%,4.09%,12.16%,16.52%,286.77%,338.46%,11.955,5.36%,-8.83%,,2013,1.48,16.54%,1/1/1983,1983,,16,6.68%,50,2190,1.88%
