,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,OMC US,Omnicom,,,,,,,,,,45%,34%,$        82.41,$          59.48,$          83.84,$           105.49,$         110.50,5.68%,2.53%,3.41%,6.11%,79.93%,79.93%,115%,,,,,,,NO,,,5.29%,2.42%,2.87%,0.04%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Omnicom - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.71%,11/10/2017,,,,,,,,,,$          83.84,2%,3.40%,$         110.50,$          62.88,$             45.80,$           44.61,2.37%,4.71%,3.34%,2.65%,-21.88%,-21.88%,-20%,,,,5Y CAGR,0.00%,,Omnicom - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.92%,,Omnicom - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Omnicom - Rating: 45% - Upside: 34%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       73.57,,,12/29/2014,,12/29/2014,,,,,2.85%,$             73.57,2.10,82.87,44.61,62.88,76%,13%,2.53%,4.71%,3.81%,12.02%,24.59%,9.25,3.34%,0.00%,,1997,0.00,-,45,,,0,2.42%,20,20,0.75%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       73.96,,,1/5/2015,,1/5/2015,,,,,2.84%,$             73.96,2.10,82.87,44.61,62.88,77%,12%,2.53%,4.71%,3.79%,11.43%,23.93%,9.25,3.34%,0.00%,,1998,0.00,,34,,,1,2.46%,38,58,1.43%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        71.94,,,1/12/2015,,1/12/2015,,,,,2.92%,$              71.94,2.10,82.87,44.61,62.88,71%,15%,2.53%,4.71%,3.89%,14.55%,27.41%,9.25,3.34%,-2.73%,,1999,0.00,,,,,2,2.50%,64,122,2.41%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        70.51,,,1/20/2015,,1/20/2015,,,,,2.98%,$              70.51,2.10,82.87,44.61,62.88,68%,18%,2.53%,4.71%,3.97%,16.88%,30.00%,9.25,3.34%,-4.66%,,2000,0.00,,1/1/1970,1970,,3,2.54%,57,179,2.15%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       69.90,,,1/26/2015,,1/26/2015,,,,,3.00%,$             69.90,2.10,82.87,44.61,62.88,66%,19%,2.53%,4.71%,4.01%,17.90%,31.13%,9.25,3.34%,-5.49%,,2001,0.00,,1/1/1971,1971,,4,2.58%,69,248,2.60%
