,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,OR FP,L'Oreal SA,,,,,,,,,,14%,63%,$    375.55,$       335.85,$        402.15,$          456.90,$        610.49,2.15%,1.08%,1.61%,4.16%,160.26%,169.82%,136%,,,,,,,NO,,,2.07%,0.95%,1.11%,0.02%,56
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.23%,,L'Oreal SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.97%,11/10/2017,,,,,,,,,,$        402.15,7%,1.76%,$        610.49,$        188.89,$           144.30,$        157.75,0.93%,1.97%,1.64%,1.31%,-17.80%,-17.80%,-10%,,,,5Y CAGR,10.53%,,L'Oreal SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.85%,,L'Oreal SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,L'Oreal SA - Rating: 14% - Upside: 63%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     155.30,,,12/29/2014,,12/29/2014,,,,,2.00%,€             155.30,3.10,286.75,157.75,188.89,-2%,85%,1.08%,1.97%,3.86%,141.82%,150.71%,13.8,1.64%,0.00%,,1997,0.00,-,14,,,0,0.95%,21,21,0.78%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                       150.90,,,1/5/2015,,1/5/2015,,,,,2.05%,€             150.90,3.10,286.75,157.75,188.89,-5%,90%,1.08%,1.97%,3.98%,148.87%,158.02%,13.8,1.64%,-2.83%,,1998,0.00,,63,,,1,0.97%,7,28,0.26%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                        151.50,,,1/12/2015,,1/12/2015,,,,,2.05%,€              151.50,3.10,286.75,157.75,188.89,-5%,89%,1.08%,1.97%,3.96%,147.89%,157.00%,13.8,1.64%,-2.45%,,1999,0.00,,,,,2,0.99%,26,54,0.96%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                        151.30,,,1/19/2015,,1/20/2015,,,,,2.05%,€              151.30,3.10,286.75,157.75,188.89,-5%,90%,1.08%,1.97%,3.97%,148.22%,157.34%,13.8,1.64%,-2.58%,,2000,0.00,,1/1/1970,1970,,3,1.01%,25,79,0.92%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                       150.85,,,1/26/2015,,1/26/2015,,,,,2.06%,€             150.85,3.10,286.75,157.75,188.89,-5%,90%,1.08%,1.97%,3.98%,148.96%,158.10%,13.8,1.64%,-2.87%,,2001,0.00,,1/1/1971,1971,,4,1.03%,19,98,0.70%
