,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ORCL US,Oracle Corp,,,,,,,,,,29%,68%,$      119.90,$          86.57,$        104.23,$          328.33,$       200.99,2.41%,0.80%,1.45%,4.48%,253.27%,262.08%,211%,,,,,,,NO,,,2.05%,0.54%,1.51%,0.02%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.72%,,Oracle Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.85%,11/10/2017,,,,,,,,,,$        104.23,-13%,1.33%,$       200.99,$          39.09,$             33.94,$          32.46,0.49%,1.85%,1.54%,0.46%,-63.48%,-63.48%,-18%,,,,5Y CAGR,5.92%,,Oracle Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,10.31%,,Oracle Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Oracle Corp - Rating: 29% - Upside: 68%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       35.75,,,12/29/2014,,12/29/2014,,,,,1.68%,$             35.75,0.60,75.37,32.46,39.09,8%,111%,0.80%,1.85%,4.25%,235.38%,243.75%,2.99,1.54%,0.00%,,1997,0.00,-,29,,,0,0.54%,10,10,0.38%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       35.64,,,1/5/2015,,1/5/2015,,,,,1.68%,$             35.64,0.60,75.37,32.46,39.09,7%,111%,0.80%,1.85%,4.26%,236.42%,244.81%,2.99,1.54%,-0.31%,,1998,0.00,,68,,,1,0.56%,9,19,0.34%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       35.82,,,1/12/2015,,1/12/2015,,,,,1.68%,$             35.82,0.60,75.37,32.46,39.09,8%,110%,0.80%,1.85%,4.24%,234.73%,243.08%,2.99,1.54%,0.00%,,1999,0.00,,,,,2,0.58%,4,23,0.15%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       35.04,,,1/20/2015,,1/20/2015,,,,,1.71%,$             35.04,0.60,75.37,32.46,39.09,6%,115%,0.80%,1.85%,4.34%,242.18%,250.71%,2.99,1.54%,-2.18%,,2000,0.00,,1/1/1970,1970,,3,0.60%,1,24,0.04%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       34.65,,,1/26/2015,,1/26/2015,,,,,1.73%,$             34.65,0.60,75.37,32.46,39.09,5%,118%,0.80%,1.85%,4.39%,246.03%,254.66%,2.99,1.54%,-3.27%,,2001,0.00,,1/1/1971,1971,,4,0.62%,8,32,0.30%
