,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ORI US,Old Republic International Cor,,,,,,,,,,114%,-7%,$       43.07,$            17.21,$          23.57,$             44.07,$          39.90,7.63%,2.46%,4.09%,8.90%,291.28%,291.28%,118%,,,,,,,NO,,,6.59%,2.26%,4.32%,0.10%,43
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Old Republic International Cor - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.69%,11/10/2017,,,,,,,,,,$          23.57,-45%,2.28%,$          39.90,$           18.04,$                11.01,$            13.17,2.22%,5.69%,4.16%,2.22%,-2.26%,-2.26%,-19%,,,,5Y CAGR,2.18%,,Old Republic International Cor - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.71%,,Old Republic International Cor - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Old Republic International Cor - Rating: 114% - Upside: -7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        15.58,,,12/29/2014,,12/29/2014,,,,,4.82%,$              15.58,0.75,30.54,13.17,18.04,14%,96%,2.46%,5.69%,6.29%,176.51%,196.35%,3.09,4.16%,0.00%,,1997,0.00,-,114,,,0,2.26%,64,64,2.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        15.87,,,1/5/2015,,1/5/2015,,,,,4.73%,$              15.87,0.75,30.54,13.17,18.04,16%,92%,2.46%,5.69%,6.18%,171.47%,190.95%,3.09,4.16%,0.00%,,1998,0.00,,-7,,,1,2.36%,61,125,2.30%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        15.87,,,1/12/2015,,1/12/2015,,,,,4.72%,$              15.87,0.75,30.54,13.17,18.04,16%,92%,2.46%,5.69%,6.17%,171.33%,190.80%,3.09,4.16%,0.00%,,1999,0.00,,,,,2,2.46%,58,183,2.18%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        15.67,,,1/20/2015,,1/20/2015,,,,,4.79%,$              15.67,0.75,30.54,13.17,18.04,14%,95%,2.46%,5.69%,6.25%,174.86%,194.58%,3.09,4.16%,-1.29%,,2000,0.00,,1/1/1970,1970,,3,2.56%,43,226,1.62%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        15.54,,,1/26/2015,,1/26/2015,,,,,4.83%,$              15.54,0.75,30.54,13.17,18.04,14%,96%,2.46%,5.69%,6.31%,177.11%,197.00%,3.09,4.16%,-2.09%,,2001,0.00,,1/1/1971,1971,,4,2.66%,56,282,2.11%
