,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ORK NO,Orkla ASA,,,,,,,,,,76%,9%,$     103.30,$           74.41,$           91.00,$           130.50,$         112.40,4.44%,2.67%,3.34%,4.60%,58.53%,73.70%,148%,,,,,,,NO,,,4.39%,2.38%,2.02%,0.03%,67
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Orkla ASA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.03%,11/10/2017,,,,,,,,,,$           91.00,-12%,2.90%,$         112.40,$          75.84,$              65.16,$           62.01,2.30%,4.03%,3.30%,2.30%,-20.84%,-20.84%,-18%,,,,5Y CAGR,1.76%,,Orkla ASA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.84%,,Orkla ASA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Orkla ASA - Rating: 76% - Upside: 9%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       68.60,,,12/29/2014,,12/29/2014,,,,,3.64%,kr            68.60,2.50,93.67,62.01,75.84,21%,37%,2.67%,4.03%,4.37%,50.58%,65.60%,10.3,3.30%,0.00%,,1997,0.00,-,76,,,0,2.38%,2,2,0.08%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,kr                                                      68.85,,,1/5/2015,,1/5/2015,,,,,3.63%,kr            68.85,2.50,93.67,62.01,75.84,22%,36%,2.67%,4.03%,4.36%,50.04%,65.00%,10.3,3.30%,0.00%,,1998,0.00,,9,,,1,2.41%,3,5,0.11%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,kr                                                      68.25,,,1/12/2015,,1/12/2015,,,,,3.66%,kr            68.25,2.50,93.67,62.01,75.84,20%,37%,2.67%,4.03%,4.40%,51.36%,66.45%,10.3,3.30%,-0.87%,,1999,0.00,,,,,2,2.44%,8,13,0.30%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,kr                                                      66.80,,,1/19/2015,,1/20/2015,,,,,3.74%,kr            66.80,2.50,93.67,62.01,75.84,15%,40%,2.67%,4.03%,4.49%,54.64%,70.06%,10.3,3.30%,-2.98%,,2000,0.00,,1/1/1970,1970,,3,2.47%,11,24,0.41%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,kr                                                      66.55,,,1/26/2015,,1/26/2015,,,,,3.76%,kr            66.55,2.50,93.67,62.01,75.84,14%,41%,2.67%,4.03%,4.51%,55.22%,70.70%,10.3,3.30%,-3.34%,,2001,0.00,,1/1/1971,1971,,4,2.50%,10,34,0.38%
