,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,OXY US,Occidental Petroleum,,,,,,,,,,9%,780%,$       54.93,$           10.30,$          181.51,$             86.48,$   2.107,65,9.23%,0.15%,2.90%,8.11%,518.58%,518.58%,132%,,,,,,,NO,,,8.36%,0.12%,8.24%,0.15%,55
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Occidental Petroleum - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.99%,11/10/2017,,,,,,,,,,$           41.62,-24%,1.31%,$       483.28,$              2.31,$                8.88,$             0.57,0.11%,6.99%,1.73%,0.83%,-36.48%,-29.27%,-1%,,,,5Y CAGR,78.26%,,Occidental Petroleum - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-13.36%,,Occidental Petroleum - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Occidental Petroleum - Rating: 9% - Upside: 780%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       67.38,,,12/29/2014,,12/29/2014,,,,,4.48%,$             67.38,3.02,2.027,10,43.19,174.57,1%,2908%,0.15%,6.99%,1.07%,-18.48%,-0.19%,12.32,1.73%,0.00%,,1997,0.00,-,9,,,0,0.12%,239,239,9.00%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       68.50,,,1/5/2015,,1/5/2015,,,,,4.41%,$             68.50,3.02,2.027,10,43.19,174.57,1%,2859%,0.15%,6.99%,1.05%,-19.81%,-1.83%,12.32,1.73%,0.00%,,1998,0.00,,780,,,1,0.27%,0,239,0.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        65.41,,,1/12/2015,,1/12/2015,,,,,4.62%,$              65.41,3.02,2.027,10,43.19,174.57,1%,2999%,0.15%,6.99%,1.10%,-16.02%,2.81%,12.32,1.73%,-4.51%,,1999,0.00,,,,,2,0.42%,0,239,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       64.23,,,1/20/2015,,1/20/2015,,,,,4.70%,$             64.23,3.02,2.027,10,43.19,174.57,1%,3056%,0.15%,6.99%,1.12%,-14.48%,4.70%,12.32,1.73%,-6.23%,,2000,0.00,,1/1/1970,1970,,3,0.57%,15,254,0.56%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        63.14,,,1/26/2015,,1/26/2015,,,,,4.78%,$              63.14,3.02,2.027,10,43.19,174.57,1%,3110%,0.15%,6.99%,1.14%,-13.01%,6.50%,12.32,1.73%,-7.82%,,2001,0.00,,1/1/1971,1971,,4,0.72%,134,388,5.05%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                         61.19,,,2/2/2015,,2/2/2015,,,,,4.94%,$               61.19,3.02,2.027,10,43.19,174.57,1%,3213%,0.15%,6.99%,1.18%,-10.24%,9.90%,12.32,1.73%,-10.67%,,2002,0.50,,1/1/1972,1972,,5,0.87%,60,448,2.26%
