,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,PFC US,Premier Financial Corp,,,,,,,,,,20%,134%,$       28.04,$           18.69,$          36.34,$             34.24,$          65.53,9.12%,1.89%,3.74%,10.78%,143.83%,143.83%,115%,,,,,,,NO,,,8.70%,1.76%,6.94%,0.10%,69
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Premier Financial Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.63%,11/10/2017,,,,,,,,,,$          36.34,30%,4.42%,$          65.53,$           12.90,$               11.50,$             6.63,1.71%,6.63%,3.41%,3.62%,-18.11%,-17.84%,-11%,,,,5Y CAGR,3.38%,,Premier Financial Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,10.92%,,Premier Financial Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Premier Financial Corp - Rating: 20% - Upside: 134%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         18.51,,,12/29/2014,,12/29/2014,,,,,2.38%,$               18.51,0.44,23.25,6.63,12.90,71%,26%,1.89%,6.63%,6.70%,51.49%,64.29%,2.37,3.41%,0.00%,,1997,0.00,-,20,,,0,1.76%,60,60,2.61%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        19.04,,,1/5/2015,,1/5/2015,,,,,2.31%,$              19.04,0.44,23.25,6.63,12.90,75%,22%,1.89%,6.63%,6.51%,47.27%,59.72%,2.37,3.41%,0.00%,,1998,0.00,,134,,,1,1.86%,131,191,5.69%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        19.24,,,1/12/2015,,1/12/2015,,,,,2.29%,$              19.24,0.44,23.25,6.63,12.90,76%,21%,1.89%,6.63%,6.44%,45.74%,58.06%,2.37,3.41%,0.00%,,1999,0.00,,,,,2,1.96%,192,383,8.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        18.98,,,1/20/2015,,1/20/2015,,,,,2.32%,$              18.98,0.44,23.25,6.63,12.90,74%,23%,1.89%,6.63%,6.53%,47.73%,60.22%,2.37,3.41%,-1.35%,,2000,0.00,,1/1/1970,1970,,3,2.06%,90,473,3.91%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        18.52,,,1/26/2015,,1/26/2015,,,,,2.38%,$              18.52,0.44,23.25,6.63,12.90,72%,26%,1.89%,6.63%,6.70%,51.40%,64.20%,2.37,3.41%,-3.74%,,2001,0.00,,1/1/1971,1971,,4,2.16%,93,566,4.04%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        18.73,,,2/2/2015,,2/2/2015,,,,,2.35%,$              18.73,0.44,23.25,6.63,12.90,73%,24%,1.89%,6.63%,6.62%,49.71%,62.36%,2.37,3.41%,-2.65%,,2002,0.00,,1/1/1972,1972,,5,2.26%,109,675,4.74%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        18.65,,,2/9/2015,,2/9/2015,,,,,2.36%,$              18.65,0.44,23.25,6.63,12.90,72%,25%,1.89%,6.63%,6.65%,50.35%,63.06%,2.37,3.41%,-3.07%,,2003,0.00,,1/1/1973,1973,,6,2.36%,49,724,2.13%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                         18.19,,,2/17/2015,,2/17/2015,,,,,2.42%,$               18.19,0.44,23.25,6.63,12.90,70%,28%,1.89%,6.63%,6.82%,54.15%,67.18%,2.37,3.41%,-5.46%,,2004,0.00,,1/1/1974,1974,,7,2.46%,37,761,1.61%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        18.58,,,2/23/2015,,2/23/2015,,,,,2.37%,$              18.58,0.44,23.25,6.63,12.90,72%,25%,1.89%,6.63%,6.68%,50.96%,63.71%,2.37,3.41%,-3.46%,,2005,0.00,,1/1/1975,1975,,8,2.56%,56,817,2.43%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        18.45,,,3/2/2015,,3/2/2015,,,,,2.39%,$              18.45,0.44,23.25,6.63,12.90,71%,26%,1.89%,6.63%,6.72%,52.02%,64.87%,2.37,3.41%,-4.13%,,2006,0.00,,1/1/1976,1976,,9,2.66%,63,880,2.74%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        18.58,,,3/9/2015,,3/9/2015,,,,,2.37%,$              18.58,0.44,23.25,6.63,12.90,72%,25%,1.89%,6.63%,6.67%,50.91%,63.67%,2.37,3.41%,-3.43%,,2007,0.00,,1/1/1977,1977,,10,2.76%,71,951,3.08%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        18.74,,,3/16/2015,,3/16/2015,,,,,2.35%,$              18.74,0.44,23.25,6.63,12.90,73%,24%,1.89%,6.63%,6.62%,49.63%,62.27%,2.37,3.41%,-2.60%,,2008,0.00,,1/1/1978,1978,,11,2.86%,45,996,1.95%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                         18.71,,,3/23/2015,,3/23/2015,,,,,2.35%,$               18.71,0.44,23.25,6.63,12.90,73%,24%,1.89%,6.63%,6.63%,49.91%,62.58%,2.37,3.41%,-2.78%,,2009,0.00,,1/1/1979,1979,,12,2.96%,18,1014,0.78%
