,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,PH US,Parker-Hannifin Corp,,,,,,,,,,119%,-11%,$     987.31,$         312.18,$       428.78,$       1.023,02,$        879.17,3.61%,0.80%,1.57%,6.67%,1041.27%,1054.56%,125%,,,,,,,NO,,,2.86%,0.71%,2.16%,0.03%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,6.81%,,Parker-Hannifin Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.25%,11/10/2017,,,,,,,,,,$       428.78,-57%,0.71%,$        879.17,$        153.70,$              86.51,$          111.90,0.69%,2.25%,1.64%,0.56%,-3.49%,-3.49%,-21%,,,,5Y CAGR,12.11%,,Parker-Hannifin Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,10.80%,,Parker-Hannifin Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Parker-Hannifin Corp - Rating: 119% - Upside: -11%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       96.66,,,12/29/2014,,12/29/2014,,,,,2.61%,$             96.66,2.52,315.15,111.90,153.70,-8%,226%,0.80%,2.25%,5.97%,921.43%,933.32%,11.5,1.64%,0.00%,,1997,0.00,-,119,,,0,0.71%,42,42,1.58%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       95.06,,,1/5/2015,,1/5/2015,,,,,2.65%,$             95.06,2.52,315.15,111.90,153.70,-8%,232%,0.80%,2.25%,6.07%,938.62%,950.72%,11.5,1.64%,-1.66%,,1998,0.00,,-11,,,1,0.74%,35,77,1.32%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       93.80,,,1/12/2015,,1/12/2015,,,,,2.69%,$             93.80,2.52,315.15,111.90,153.70,-9%,236%,0.80%,2.25%,6.15%,952.57%,964.83%,11.5,1.64%,-2.96%,,1999,0.00,,,,,2,0.77%,38,115,1.43%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        92.21,,,1/20/2015,,1/20/2015,,,,,2.73%,$              92.21,2.52,315.15,111.90,153.70,-10%,242%,0.80%,2.25%,6.26%,970.72%,983.19%,11.5,1.64%,-4.60%,,2000,0.00,,1/1/1970,1970,,3,0.80%,37,152,1.39%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       90.55,,,1/26/2015,,1/26/2015,,,,,2.78%,$             90.55,2.52,315.15,111.90,153.70,-11%,248%,0.80%,2.25%,6.37%,990.35%,1003.05%,11.5,1.64%,-6.32%,,2001,0.00,,1/1/1971,1971,,4,0.83%,12,164,0.45%
