,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,PHP LN,Primary Health Properties PLC,,,,,,,,,,5%,84%,$       95.85,$           91.45,$        140.53,$           169.60,$         176.12,7.84%,3.80%,5.31%,7.84%,12.11%,16.98%,118%,,,,,,,NO,,,7.59%,3.65%,3.95%,0.05%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Primary Health Properties PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.33%,11/10/2017,,,,,,,,,,$        140.53,47%,6.99%,$         176.12,$        107.50,$             85.50,$          69.95,3.50%,7.33%,4.77%,3.95%,-43.48%,-43.48%,-7%,,,,5Y CAGR,1.56%,,Primary Health Properties PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.72%,,Primary Health Properties PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Primary Health Properties PLC - Rating: 5% - Upside: 84%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     107.25,,,12/29/2014,,12/29/2014,,,,,4.78%,107.25,5.13,134.72,69.95,107.50,58%,26%,3.80%,7.33%,6.25%,-10.63%,9.30%,21.375,4.77%,0.00%,,1997,0.00,-,5,,,0,3.65%,25,25,0.93%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,105.52,,,1/5/2015,,1/5/2015,,,,,4.86%,105.52,5.13,134.72,69.95,107.50,55%,28%,3.80%,7.33%,6.35%,-9.16%,11.09%,21.375,4.77%,-1.61%,,1998,0.00,,84,,,1,3.70%,52,77,1.93%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,104.28,,,1/12/2015,,1/12/2015,,,,,4.91%,104.28,5.13,134.72,69.95,107.50,53%,29%,3.80%,7.33%,6.42%,-8.09%,12.41%,21.375,4.77%,-2.76%,,1999,0.00,,,,,2,3.75%,40,117,1.48%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,100.58,,,1/19/2015,,1/20/2015,,,,,5.10%,100.58,5.13,134.72,69.95,107.50,47%,34%,3.80%,7.33%,6.66%,-4.70%,16.55%,21.375,4.77%,-6.22%,,2000,0.00,,1/1/1970,1970,,3,3.80%,52,169,1.93%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,102.80,,,1/26/2015,,1/26/2015,,,,,4.99%,102.80,5.13,134.72,69.95,107.50,51%,31%,3.80%,7.33%,6.52%,-6.76%,14.03%,21.375,4.77%,-4.15%,,2001,0.00,,1/1/1971,1971,,4,3.85%,43,212,1.59%
