,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,PII US,Polaris Inc,,,,,,,,,,28%,82%,$       74.70,$          50.43,$          99.66,$           146.45,$        136.03,8.13%,1.91%,2.90%,8.13%,133.66%,133.66%,118%,,,,,,,NO,,,7.64%,1.76%,5.88%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Polaris Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.16%,11/10/2017,,,,,,,,,,$          99.66,33%,3.48%,$        136.03,$          84.33,$              31.97,$          42.67,1.72%,5.16%,2.61%,1.78%,-48.99%,-48.99%,-22%,,,,5Y CAGR,0.63%,,Polaris Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.68%,,Polaris Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Polaris Inc - Rating: 28% - Upside: 82%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       88.36,,,12/29/2014,,12/29/2014,,,,,2.49%,$             88.36,2.20,115.10,42.67,84.33,63%,30%,1.91%,5.16%,2.94%,-15.46%,-4.87%,9.36,2.61%,0.00%,,1997,0.00,-,28,,,0,1.76%,60,60,2.26%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       87.22,,,1/5/2015,,1/5/2015,,,,,2.52%,$             87.22,2.20,115.10,42.67,84.33,62%,32%,1.91%,5.16%,2.98%,-14.35%,-3.62%,9.36,2.61%,-1.29%,,1998,0.00,,82,,,1,1.86%,139,199,5.24%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       84.55,,,1/12/2015,,1/12/2015,,,,,2.60%,$             84.55,2.20,115.10,42.67,84.33,58%,36%,1.91%,5.16%,3.08%,-11.65%,-0.58%,9.36,2.61%,-4.31%,,1999,0.00,,,,,2,1.96%,102,301,3.84%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       82.39,,,1/20/2015,,1/20/2015,,,,,2.67%,$             82.39,2.20,115.10,42.67,84.33,55%,40%,1.91%,5.16%,3.16%,-9.33%,2.03%,9.36,2.61%,-6.76%,,2000,0.00,,1/1/1970,1970,,3,2.06%,130,431,4.90%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       80.40,,,1/26/2015,,1/26/2015,,,,,2.74%,$             80.40,2.20,115.10,42.67,84.33,52%,43%,1.91%,5.16%,3.23%,-7.09%,4.55%,9.36,2.61%,-9.01%,,2001,0.00,,1/1/1971,1971,,4,2.16%,188,619,7.08%
