,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,PLD US,Prologis,,,,,,,,,,34%,46%,$     147.26,$          112.18,$        144.78,$            173.01,$        214.79,4.72%,1.97%,2.91%,9.78%,314.00%,335.03%,167%,,,,,,,NO,,,4.45%,1.57%,2.88%,0.04%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,6.81%,,Prologis - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.78%,11/10/2017,,,,,,,,,,$        144.78,-2%,2.88%,$        214.79,$          57.37,$             35.57,$          44.45,1.50%,3.78%,2.93%,2.01%,-14.88%,-14.88%,-22%,,,,5Y CAGR,10.97%,,Prologis - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,9.70%,,Prologis - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Prologis - Rating: 34% - Upside: 46%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        41.90,,,12/29/2014,,12/29/2014,,,,,4.01%,$              41.90,1.68,85.11,44.45,57.37,-6%,103%,1.97%,3.78%,8.31%,251.46%,269.31%,7.48,2.93%,0.00%,,1997,0.00,-,34,,,0,1.57%,6,6,0.23%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       42.78,,,1/5/2015,,1/5/2015,,,,,3.93%,$             42.78,1.68,85.11,44.45,57.37,-4%,99%,1.97%,3.78%,8.13%,244.23%,261.71%,7.48,2.93%,0.00%,,1998,0.00,,46,,,1,1.61%,4,10,0.15%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       42.55,,,1/12/2015,,1/12/2015,,,,,3.95%,$             42.55,1.68,85.11,44.45,57.37,-5%,100%,1.97%,3.78%,8.18%,246.09%,263.67%,7.48,2.93%,-0.54%,,1999,0.00,,,,,2,1.65%,10,20,0.38%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        41.44,,,1/20/2015,,1/20/2015,,,,,4.05%,$              41.44,1.68,85.11,44.45,57.37,-7%,105%,1.97%,3.78%,8.40%,255.36%,273.41%,7.48,2.93%,-3.13%,,2000,0.00,,1/1/1970,1970,,3,1.69%,11,31,0.41%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        41.07,,,1/26/2015,,1/26/2015,,,,,4.09%,$              41.07,1.68,85.11,44.45,57.37,-8%,107%,1.97%,3.78%,8.47%,258.56%,276.77%,7.48,2.93%,-4.00%,,2001,0.00,,1/1/1971,1971,,4,1.73%,7,38,0.26%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        41.02,,,2/2/2015,,2/2/2015,,,,,4.10%,$              41.02,1.68,85.11,44.45,57.37,-8%,107%,1.97%,3.78%,8.48%,259.00%,277.23%,7.48,2.93%,-4.11%,,2002,1.64,,1/1/1972,1972,,5,1.77%,1,39,0.04%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       40.69,,,2/9/2015,,2/9/2015,,,,,4.13%,$             40.69,1.68,85.11,44.45,57.37,-9%,109%,1.97%,3.78%,8.55%,261.91%,280.29%,7.48,2.93%,-4.89%,,2003,1.66,1.22%,1/1/1973,1973,,6,1.81%,10,49,0.38%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       40.50,,,2/17/2015,,2/17/2015,,,,,4.15%,$             40.50,1.68,85.11,44.45,57.37,-10%,110%,1.97%,3.78%,8.59%,263.60%,282.07%,7.48,2.93%,-5.33%,,2004,1.70,2.41%,1/1/1974,1974,,7,1.85%,18,67,0.68%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       39.65,,,2/23/2015,,2/23/2015,,,,,4.24%,$             39.65,1.68,85.11,44.45,57.37,-12%,115%,1.97%,3.78%,8.78%,271.40%,290.26%,7.48,2.93%,-7.32%,,2005,1.76,3.53%,1/1/1975,1975,,8,1.89%,21,88,0.79%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        38.81,,,3/2/2015,,3/2/2015,,,,,4.33%,$              38.81,1.68,85.11,44.45,57.37,-14%,119%,1.97%,3.78%,8.97%,279.44%,298.71%,7.48,2.93%,-9.28%,,2006,1.84,4.55%,1/1/1976,1976,,9,1.93%,29,117,1.09%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       39.04,,,3/9/2015,,3/9/2015,,,,,4.30%,$             39.04,1.68,85.11,44.45,57.37,-13%,118%,1.97%,3.78%,8.91%,277.20%,296.36%,7.48,2.93%,-8.74%,,2007,2.00,8.70%,1/1/1977,1977,,10,1.97%,28,145,1.05%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        37.41,,,3/16/2015,,3/16/2015,,,,,4.49%,$              37.41,1.68,85.11,44.45,57.37,-17%,127%,1.97%,3.78%,9.30%,293.64%,313.63%,7.48,2.93%,-12.55%,,2008,1.56,-22.00%,1/1/1978,1978,,11,2.01%,16,161,0.60%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       37.73,,,3/23/2015,,3/23/2015,,,,,4.45%,$             37.73,1.68,85.11,44.45,57.37,-17%,126%,1.97%,3.78%,9.22%,290.30%,310.12%,7.48,2.93%,-11.80%,,2009,1.12,-28.21%,1/1/1979,1979,,12,2.05%,34,195,1.28%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       38.59,,,3/30/2015,,3/30/2015,,,,,4.35%,$             38.59,1.68,85.11,44.45,57.37,-14%,121%,1.97%,3.78%,9.02%,281.60%,300.98%,7.48,2.93%,-9.79%,,2010,1.12,0.00%,1/1/1980,1980,,13,2.09%,13,208,0.49%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       38.22,,,4/6/2015,,4/6/2015,,,,,4.40%,$             38.22,1.68,85.11,44.45,57.37,-15%,123%,1.97%,3.78%,9.11%,285.30%,304.87%,7.48,2.93%,-10.66%,,2011,1.12,0.00%,1/1/1981,1981,,14,2.13%,19,227,0.72%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       39.85,,,4/13/2015,,4/13/2015,,,,,4.22%,$             39.85,1.68,85.11,44.45,57.37,-11%,114%,1.97%,3.78%,8.73%,269.54%,288.31%,7.48,2.93%,-6.85%,,2012,1.12,0.00%,1/1/1982,1982,,15,2.17%,34,261,1.28%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       39.47,,,4/20/2015,,4/20/2015,,,,,4.26%,$             39.47,1.68,85.11,44.45,57.37,-12%,116%,1.97%,3.78%,8.82%,273.09%,292.04%,7.48,2.93%,-7.74%,,2013,1.12,0.00%,1/1/1983,1983,,16,2.21%,27,288,1.02%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       38.88,,,4/27/2015,,4/27/2015,,,,,4.32%,$             38.88,1.68,85.11,44.45,57.37,-14%,119%,1.97%,3.78%,8.95%,278.76%,297.99%,7.48,2.93%,-9.12%,,2014,1.32,17.86%,1/1/1984,1984,,17,2.25%,28,316,1.05%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       39.47,,,5/4/2015,,5/4/2015,,,,,4.26%,$             39.47,1.68,85.11,44.45,57.37,-12%,116%,1.97%,3.78%,8.82%,273.09%,292.04%,7.48,2.93%,-7.74%,,2015,1.52,15.15%,1/1/1985,1985,,18,2.29%,49,365,1.85%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       39.47,,,5/11/2015,,5/11/2015,,,,,4.26%,$             39.47,1.68,85.11,44.45,57.37,-12%,116%,1.97%,3.78%,8.82%,273.09%,292.04%,7.48,2.93%,-7.74%,,2016,1.68,10.53%,1/1/1986,1986,,19,2.33%,43,408,1.62%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       39.27,,,5/18/2015,,5/18/2015,,,,,4.28%,$             39.27,1.68,85.11,44.45,57.37,-13%,117%,1.97%,3.78%,8.86%,274.99%,294.04%,7.48,2.93%,-8.20%,,2017,1.76,4.76%,1/1/1987,1987,,20,2.37%,58,466,2.18%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       39.52,,,5/26/2015,,5/26/2015,,,,,4.25%,$             39.52,1.68,85.11,44.45,57.37,-12%,115%,1.97%,3.78%,8.81%,272.62%,291.55%,7.48,2.93%,-7.62%,,2018,1.92,9.09%,1/1/1988,1988,,21,2.41%,56,522,2.11%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       39.58,,,6/1/2015,,6/1/2015,,,,,4.24%,$             39.58,1.68,85.11,44.45,57.37,-12%,115%,1.97%,3.78%,8.79%,272.06%,290.96%,7.48,2.93%,-7.48%,,2019,2.12,10.42%,1/1/1989,1989,,22,2.45%,52,574,1.96%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       39.24,,,6/8/2015,,6/8/2015,,,,,4.28%,$             39.24,1.68,85.11,44.45,57.37,-13%,117%,1.97%,3.78%,8.87%,275.28%,294.34%,7.48,2.93%,-8.27%,,2020,2.32,9.43%,1/1/1990,1990,,23,2.49%,40,614,1.51%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       37.65,,,6/15/2015,,6/15/2015,,,,,4.46%,$             37.65,1.68,85.11,44.45,57.37,-17%,126%,1.97%,3.78%,9.24%,291.13%,311.00%,7.48,2.93%,-11.99%,,2021,2.52,8.62%,1/1/1991,1991,,24,2.53%,33,647,1.24%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                       37.40,,,6/22/2015,,6/22/2015,,,,,4.49%,$             37.40,1.68,85.11,44.45,57.37,-17%,128%,1.97%,3.78%,9.30%,293.74%,313.74%,7.48,2.93%,-12.58%,,2022,3.16,25.40%,1/1/1992,1992,,25,2.57%,64,711,2.41%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       37.30,,,6/29/2015,,6/29/2015,,,,,4.50%,$             37.30,1.68,85.11,44.45,57.37,-18%,128%,1.97%,3.78%,9.33%,294.80%,314.85%,7.48,2.93%,-12.81%,,2023,3.48,10.13%,1/1/1993,1993,,26,2.61%,58,769,2.18%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                       35.57,,,7/6/2015,,7/6/2015,,,,,4.72%,$             35.57,1.68,85.11,44.45,57.37,-22%,139%,1.97%,3.78%,9.78%,314.00%,335.03%,7.48,2.93%,-16.85%,,2024,3.84,10.34%,1/1/1994,1994,,27,2.65%,56,825,2.11%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       36.07,,,7/13/2015,,7/13/2015,,,,,4.66%,$             36.07,1.68,85.11,44.45,57.37,-21%,136%,1.97%,3.78%,9.65%,308.26%,329.00%,7.48,2.93%,-15.68%,,2025,4.04,5.21%,1/1/1995,1995,,28,2.69%,54,879,2.03%
