,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,PM US,Phillip Morris International,,,,,,,,,,126%,-12%,$     195.66,$           86.14,$        107.22,$           195.66,$        172.84,7.85%,3.12%,4.81%,8.52%,226.21%,226.21%,126%,,,,,,,NO,,,6.83%,2.86%,3.98%,0.05%,80
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.86%,,Phillip Morris International - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.27%,11/10/2017,,,,,,,,,,$        107.22,-45%,2.76%,$        172.84,$            81.41,$             59.98,$          65.40,2.76%,6.27%,5.04%,2.61%,0.00%,0.00%,-20%,,,,5Y CAGR,1.96%,,Phillip Morris International - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.79%,,Phillip Morris International - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Phillip Morris International - Rating: 126% - Upside: -12%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       87.00,,,12/29/2014,,12/29/2014,,,,,4.71%,$             87.00,4.10,131.23,65.40,81.41,33%,51%,3.12%,6.27%,5.87%,124.90%,144.78%,17.3,5.04%,0.00%,,1997,0.00,-,126,,,0,2.86%,14,14,0.53%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       87.87,,,1/5/2015,,1/5/2015,,,,,4.67%,$             87.87,4.10,131.23,65.40,81.41,34%,49%,3.12%,6.27%,5.82%,122.67%,142.36%,17.3,5.04%,0.00%,,1998,0.00,,-12,,,1,2.91%,23,37,0.87%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       87.85,,,1/12/2015,,1/12/2015,,,,,4.67%,$             87.85,4.10,131.23,65.40,81.41,34%,49%,3.12%,6.27%,5.82%,122.72%,142.41%,17.3,5.04%,-0.02%,,1999,0.00,,,,,2,2.96%,32,69,1.21%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       87.25,,,1/20/2015,,1/20/2015,,,,,4.70%,$             87.25,4.10,131.23,65.40,81.41,33%,50%,3.12%,6.27%,5.86%,124.25%,144.08%,17.3,5.04%,-0.71%,,2000,0.00,,1/1/1970,1970,,3,3.01%,28,97,1.05%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        86.71,,,1/26/2015,,1/26/2015,,,,,4.73%,$              86.71,4.10,131.23,65.40,81.41,32%,51%,3.12%,6.27%,5.89%,125.65%,145.60%,17.3,5.04%,-1.32%,,2001,0.00,,1/1/1971,1971,,4,3.06%,14,111,0.53%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        89.17,,,2/2/2015,,2/2/2015,,,,,4.60%,$              89.17,4.10,131.23,65.40,81.41,36%,47%,3.12%,6.27%,5.73%,119.42%,138.82%,17.3,5.04%,0.00%,,2002,0.00,,1/1/1972,1972,,5,3.11%,18,129,0.68%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       89.09,,,2/9/2015,,2/9/2015,,,,,4.60%,$             89.09,4.10,131.23,65.40,81.41,36%,47%,3.12%,6.27%,5.74%,119.62%,139.04%,17.3,5.04%,-0.09%,,2003,0.00,,1/1/1973,1973,,6,3.16%,22,151,0.83%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        88.31,,,2/17/2015,,2/17/2015,,,,,4.64%,$              88.31,4.10,131.23,65.40,81.41,35%,49%,3.12%,6.27%,5.79%,121.56%,141.15%,17.3,5.04%,-0.96%,,2004,0.00,,1/1/1974,1974,,7,3.21%,19,170,0.72%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       87.88,,,2/23/2015,,2/23/2015,,,,,4.67%,$             87.88,4.10,131.23,65.40,81.41,34%,49%,3.12%,6.27%,5.81%,122.64%,142.33%,17.3,5.04%,-1.45%,,2005,0.00,,1/1/1975,1975,,8,3.26%,26,196,0.98%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       86.29,,,3/2/2015,,3/2/2015,,,,,4.75%,$             86.29,4.10,131.23,65.40,81.41,32%,52%,3.12%,6.27%,5.92%,126.75%,146.80%,17.3,5.04%,-3.23%,,2006,0.00,,1/1/1976,1976,,9,3.31%,36,232,1.36%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       87.47,,,3/9/2015,,3/9/2015,,,,,4.69%,$             87.47,4.10,131.23,65.40,81.41,34%,50%,3.12%,6.27%,5.84%,123.69%,143.47%,17.3,5.04%,-1.91%,,2007,0.00,,1/1/1977,1977,,10,3.36%,16,248,0.60%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       85.86,,,3/16/2015,,3/16/2015,,,,,4.78%,$             85.86,4.10,131.23,65.40,81.41,31%,53%,3.12%,6.27%,5.95%,127.88%,148.03%,17.3,5.04%,-3.71%,,2008,1.54,,1/1/1978,1978,,11,3.41%,36,284,1.36%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       85.80,,,3/23/2015,,3/23/2015,,,,,4.78%,$             85.80,4.10,131.23,65.40,81.41,31%,53%,3.12%,6.27%,5.96%,128.04%,148.21%,17.3,5.04%,-3.78%,,2009,2.24,45.45%,1/1/1979,1979,,12,3.46%,41,325,1.54%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       86.87,,,3/30/2015,,3/30/2015,,,,,4.72%,$             86.87,4.10,131.23,65.40,81.41,33%,51%,3.12%,6.27%,5.88%,125.23%,145.15%,17.3,5.04%,-2.58%,,2010,2.38,6.25%,1/1/1980,1980,,13,3.51%,37,362,1.39%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       86.68,,,4/6/2015,,4/6/2015,,,,,4.73%,$             86.68,4.10,131.23,65.40,81.41,32%,51%,3.12%,6.27%,5.90%,125.73%,145.69%,17.3,5.04%,-2.79%,,2011,2.69,13.03%,1/1/1981,1981,,14,3.56%,42,404,1.58%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        87.31,,,4/13/2015,,4/13/2015,,,,,4.70%,$              87.31,4.10,131.23,65.40,81.41,33%,50%,3.12%,6.27%,5.85%,124.10%,143.91%,17.3,5.04%,-2.09%,,2012,3.16,17.47%,1/1/1982,1982,,15,3.61%,28,432,1.05%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       88.09,,,4/20/2015,,4/20/2015,,,,,4.65%,$             88.09,4.10,131.23,65.40,81.41,34%,49%,3.12%,6.27%,5.80%,122.11%,141.75%,17.3,5.04%,-1.21%,,2013,3.49,10.44%,1/1/1983,1983,,16,3.66%,30,462,1.13%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       89.06,,,4/27/2015,,4/27/2015,,,,,4.60%,$             89.06,4.10,131.23,65.40,81.41,36%,47%,3.12%,6.27%,5.74%,119.69%,139.12%,17.3,5.04%,-0.12%,,2014,3.82,9.46%,1/1/1984,1984,,17,3.71%,29,491,1.09%
