,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,POWI US,Power Integrations Inc,,,,,,,,,,19%,115%,$        63.41,$          46.32,$          87.29,$             110.16,$        136.37,2.59%,0.59%,0.99%,3.70%,204.64%,210.45%,130%,,,,,,,NO,,,2.31%,0.50%,1.81%,0.03%,60
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.28%,,Power Integrations Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.73%,11/10/2017,,,,,,,,,,$          87.29,38%,1.26%,$        136.37,$          28.37,$             20.82,$           15.06,0.49%,1.73%,0.92%,0.70%,-42.44%,-42.44%,-17%,,,,5Y CAGR,8.18%,,Power Integrations Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.90%,,Power Integrations Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Power Integrations Inc - Rating: 19% - Upside: 115%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       23.98,,,12/29/2014,,12/29/2014,,,,,1.08%,$             23.98,0.26,44.32,15.06,28.37,30%,85%,0.59%,1.73%,3.21%,164.48%,169.53%,1.21,0.92%,0.00%,,1997,0.00,-,19,,,0,0.50%,41,41,1.55%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       23.84,,,1/5/2015,,1/5/2015,,,,,1.09%,$             23.84,0.26,44.32,15.06,28.37,30%,86%,0.59%,1.73%,3.23%,166.04%,171.11%,1.21,0.92%,-0.58%,,1998,0.00,,115,,,1,0.53%,52,93,1.96%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       22.55,,,1/12/2015,,1/12/2015,,,,,1.15%,$             22.55,0.26,44.32,15.06,28.37,26%,97%,0.59%,1.73%,3.42%,181.26%,186.63%,1.21,0.92%,-5.96%,,1999,0.00,,,,,2,0.56%,35,128,1.32%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        22.18,,,1/20/2015,,1/20/2015,,,,,1.17%,$              22.18,0.26,44.32,15.06,28.37,24%,100%,0.59%,1.73%,3.47%,185.89%,191.34%,1.21,0.92%,-7.49%,,2000,0.00,,1/1/1970,1970,,3,0.59%,28,156,1.06%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       22.29,,,1/26/2015,,1/26/2015,,,,,1.17%,$             22.29,0.26,44.32,15.06,28.37,25%,99%,0.59%,1.73%,3.46%,184.54%,189.97%,1.21,0.92%,-7.05%,,2001,0.00,,1/1/1971,1971,,4,0.62%,39,195,1.47%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       22.66,,,2/2/2015,,2/2/2015,,,,,1.15%,$             22.66,0.26,44.32,15.06,28.37,26%,96%,0.59%,1.73%,3.40%,179.89%,185.24%,1.21,0.92%,-5.51%,,2002,0.00,,1/1/1972,1972,,5,0.65%,68,263,2.56%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       22.49,,,2/9/2015,,2/9/2015,,,,,1.16%,$             22.49,0.26,44.32,15.06,28.37,25%,97%,0.59%,1.73%,3.42%,182.01%,187.39%,1.21,0.92%,-6.21%,,2003,0.00,,1/1/1973,1973,,6,0.68%,96,359,3.62%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        21.68,,,2/17/2015,,2/17/2015,,,,,1.20%,$              21.68,0.26,44.32,15.06,28.37,23%,104%,0.59%,1.73%,3.55%,192.55%,198.13%,1.21,0.92%,-9.59%,,2004,0.00,,1/1/1974,1974,,7,0.71%,50,409,1.88%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        21.62,,,2/23/2015,,2/23/2015,,,,,1.20%,$              21.62,0.26,44.32,15.06,28.37,22%,105%,0.59%,1.73%,3.56%,193.36%,198.96%,1.21,0.92%,-9.84%,,2005,0.00,,1/1/1975,1975,,8,0.74%,154,563,5.80%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        21.37,,,3/2/2015,,3/2/2015,,,,,1.22%,$              21.37,0.26,44.32,15.06,28.37,22%,107%,0.59%,1.73%,3.60%,196.79%,202.46%,1.21,0.92%,-10.89%,,2006,0.00,,1/1/1976,1976,,9,0.77%,128,691,4.82%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        21.46,,,3/9/2015,,3/9/2015,,,,,1.21%,$              21.46,0.26,44.32,15.06,28.37,22%,107%,0.59%,1.73%,3.59%,195.55%,201.19%,1.21,0.92%,-10.51%,,2007,0.00,,1/1/1977,1977,,10,0.80%,153,844,5.77%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                         21.81,,,3/16/2015,,3/16/2015,,,,,1.19%,$               21.81,0.26,44.32,15.06,28.37,23%,103%,0.59%,1.73%,3.53%,190.74%,196.29%,1.21,0.92%,-9.03%,,2008,0.01,,1/1/1978,1978,,11,0.83%,163,1007,6.14%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        21.79,,,3/23/2015,,3/23/2015,,,,,1.19%,$              21.79,0.26,44.32,15.06,28.37,23%,103%,0.59%,1.73%,3.53%,191.01%,196.56%,1.21,0.92%,-9.11%,,2009,0.05,300.00%,1/1/1979,1979,,12,0.86%,173,1180,6.52%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        22.10,,,3/30/2015,,3/30/2015,,,,,1.18%,$              22.10,0.26,44.32,15.06,28.37,24%,101%,0.59%,1.73%,3.48%,186.92%,192.40%,1.21,0.92%,-7.82%,,2010,0.10,100.00%,1/1/1980,1980,,13,0.89%,161,1341,6.07%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        22.01,,,4/6/2015,,4/6/2015,,,,,1.18%,$              22.01,0.26,44.32,15.06,28.37,24%,101%,0.59%,1.73%,3.50%,188.16%,193.66%,1.21,0.92%,-8.22%,,2011,0.10,0.00%,1/1/1981,1981,,14,0.92%,129,1470,4.86%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       22.40,,,4/13/2015,,4/13/2015,,,,,1.16%,$             22.40,0.26,44.32,15.06,28.37,25%,98%,0.59%,1.73%,3.44%,183.14%,188.55%,1.21,0.92%,-6.59%,,2012,0.10,0.00%,1/1/1982,1982,,15,0.95%,124,1594,4.67%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        21.92,,,4/20/2015,,4/20/2015,,,,,1.19%,$              21.92,0.26,44.32,15.06,28.37,23%,102%,0.59%,1.73%,3.51%,189.35%,194.87%,1.21,0.92%,-8.59%,,2013,0.16,60.00%,1/1/1983,1983,,16,0.98%,101,1695,3.81%
