,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,PRU US,Prudential Financial,,,,,,,,,,30%,67%,$      121.89,$          86.26,$         124.71,$           129.52,$        203.13,11.22%,2.76%,4.56%,12.75%,210.79%,210.79%,113%,,,,,,,NO,,,8.56%,2.59%,5.96%,0.10%,60
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.85%,,Prudential Financial - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.49%,11/10/2017,,,,,,,,,,$         124.71,2%,4.59%,$        203.13,$          62.36,$             39.22,$           43.13,2.56%,6.49%,4.49%,3.86%,-5.89%,-5.89%,-31%,,,,5Y CAGR,4.01%,,Prudential Financial - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.18%,,Prudential Financial - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Prudential Financial - Rating: 30% - Upside: 67%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       79.84,,,12/29/2014,,12/29/2014,,,,,3.51%,$             79.84,2.80,101.57,43.13,62.36,63%,27%,2.76%,6.49%,6.26%,52.67%,69.45%,13.4,4.49%,0.00%,,1997,0.00,-,30,,,0,2.59%,57,57,2.15%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       79.57,,,1/5/2015,,1/5/2015,,,,,3.52%,$             79.57,2.80,101.57,43.13,62.36,62%,28%,2.76%,6.49%,6.28%,53.19%,70.03%,13.4,4.49%,-0.34%,,1998,0.00,,67,,,1,2.69%,95,152,3.58%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       76.92,,,1/12/2015,,1/12/2015,,,,,3.64%,$             76.92,2.80,101.57,43.13,62.36,58%,32%,2.76%,6.49%,6.50%,58.46%,75.88%,13.4,4.49%,-3.66%,,1999,0.00,,,,,2,2.79%,93,245,3.50%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       73.79,,,1/20/2015,,1/20/2015,,,,,3.79%,$             73.79,2.80,101.57,43.13,62.36,52%,38%,2.76%,6.49%,6.78%,65.18%,83.34%,13.4,4.49%,-7.58%,,2000,0.00,,1/1/1970,1970,,3,2.89%,41,286,1.54%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       73.05,,,1/26/2015,,1/26/2015,,,,,3.83%,$             73.05,2.80,101.57,43.13,62.36,51%,39%,2.76%,6.49%,6.84%,66.86%,85.20%,13.4,4.49%,-8.50%,,2001,0.00,,1/1/1971,1971,,4,2.99%,9,295,0.34%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       72.89,,,2/2/2015,,2/2/2015,,,,,3.84%,$             72.89,2.80,101.57,43.13,62.36,51%,39%,2.76%,6.49%,6.86%,67.22%,85.61%,13.4,4.49%,-8.70%,,2002,0.40,,1/1/1972,1972,,5,3.09%,4,299,0.15%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        73.12,,,2/9/2015,,2/9/2015,,,,,3.83%,$              73.12,2.80,101.57,43.13,62.36,51%,39%,2.76%,6.49%,6.84%,66.70%,85.02%,13.4,4.49%,-8.42%,,2003,0.50,25.00%,1/1/1973,1973,,6,3.19%,12,311,0.45%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        71.82,,,2/17/2015,,2/17/2015,,,,,3.90%,$              71.82,2.80,101.57,43.13,62.36,49%,41%,2.76%,6.49%,6.96%,69.72%,88.37%,13.4,4.49%,-10.05%,,2004,0.63,25.00%,1/1/1974,1974,,7,3.29%,49,360,1.85%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       72.07,,,2/23/2015,,2/23/2015,,,,,3.89%,$             72.07,2.80,101.57,43.13,62.36,50%,41%,2.76%,6.49%,6.94%,69.13%,87.72%,13.4,4.49%,-9.73%,,2005,0.78,24.80%,1/1/1975,1975,,8,3.39%,29,389,1.09%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        70.17,,,3/2/2015,,3/2/2015,,,,,3.99%,$              70.17,2.80,101.57,43.13,62.36,46%,45%,2.76%,6.49%,7.13%,73.71%,92.80%,13.4,4.49%,-12.11%,,2006,0.95,21.79%,1/1/1976,1976,,9,3.49%,75,464,2.82%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       69.29,,,3/9/2015,,3/9/2015,,,,,4.04%,$             69.29,2.80,101.57,43.13,62.36,45%,47%,2.76%,6.49%,7.22%,75.91%,95.25%,13.4,4.49%,-13.21%,,2007,1.15,21.05%,1/1/1977,1977,,10,3.59%,94,558,3.54%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       67.36,,,3/16/2015,,3/16/2015,,,,,4.16%,$             67.36,2.80,101.57,43.13,62.36,41%,51%,2.76%,6.49%,7.42%,80.95%,100.85%,13.4,4.49%,-15.63%,,2008,0.58,-49.57%,1/1/1978,1978,,11,3.69%,52,610,1.96%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        68.13,,,3/23/2015,,3/23/2015,,,,,4.11%,$              68.13,2.80,101.57,43.13,62.36,43%,49%,2.76%,6.49%,7.34%,78.91%,98.58%,13.4,4.49%,-14.67%,,2009,0.70,20.69%,1/1/1979,1979,,12,3.79%,55,665,2.07%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       69.87,,,3/30/2015,,3/30/2015,,,,,4.01%,$             69.87,2.80,101.57,43.13,62.36,46%,45%,2.76%,6.49%,7.16%,74.45%,93.63%,13.4,4.49%,-12.49%,,2010,1.15,64.29%,1/1/1980,1980,,13,3.89%,70,735,2.64%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       67.88,,,4/6/2015,,4/6/2015,,,,,4.12%,$             67.88,2.80,101.57,43.13,62.36,42%,50%,2.76%,6.49%,7.37%,79.57%,99.31%,13.4,4.49%,-14.98%,,2011,1.45,26.09%,1/1/1981,1981,,14,3.99%,81,816,3.05%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                         69.11,,,4/13/2015,,4/13/2015,,,,,4.05%,$               69.11,2.80,101.57,43.13,62.36,44%,47%,2.76%,6.49%,7.23%,76.37%,95.76%,13.4,4.49%,-13.44%,,2012,1.60,10.34%,1/1/1982,1982,,15,4.09%,98,914,3.69%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        68.51,,,4/20/2015,,4/20/2015,,,,,4.09%,$              68.51,2.80,101.57,43.13,62.36,43%,48%,2.76%,6.49%,7.30%,77.92%,97.47%,13.4,4.49%,-14.19%,,2013,1.73,8.13%,1/1/1983,1983,,16,4.19%,113,1027,4.26%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       68.84,,,4/27/2015,,4/27/2015,,,,,4.07%,$             68.84,2.80,101.57,43.13,62.36,44%,48%,2.76%,6.49%,7.26%,77.06%,96.53%,13.4,4.49%,-13.78%,,2014,2.17,25.43%,1/1/1984,1984,,17,4.29%,165,1192,6.21%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       70.08,,,5/4/2015,,5/4/2015,,,,,4.00%,$             70.08,2.80,101.57,43.13,62.36,46%,45%,2.76%,6.49%,7.13%,73.93%,93.05%,13.4,4.49%,-12.22%,,2015,2.44,12.44%,1/1/1985,1985,,18,4.39%,125,1317,4.71%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       69.57,,,5/11/2015,,5/11/2015,,,,,4.02%,$             69.57,2.80,101.57,43.13,62.36,45%,46%,2.76%,6.49%,7.19%,75.20%,94.47%,13.4,4.49%,-12.86%,,2016,2.80,14.75%,1/1/1986,1986,,19,4.49%,108,1425,4.07%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       67.23,,,5/18/2015,,5/18/2015,,,,,4.16%,$             67.23,2.80,101.57,43.13,62.36,41%,51%,2.76%,6.49%,7.44%,81.30%,101.23%,13.4,4.49%,-15.79%,,2017,3.00,7.14%,1/1/1987,1987,,20,4.59%,91,1516,3.43%
