,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,PSA US,Public Storage,,,,,,,,,,22%,55%,$    324.02,$       272.69,$        320.51,$           419.90,$        502.71,5.04%,2.39%,3.59%,7.47%,101.74%,101.74%,155%,,,,,,,NO,,,4.84%,2.01%,2.83%,0.04%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Public Storage - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.40%,11/10/2017,,,,,,,,,,$        320.51,-1%,3.70%,$        502.71,$        194.97,$            160.61,$        165.89,1.91%,4.40%,3.74%,2.86%,-22.83%,-22.83%,-15%,,,,5Y CAGR,8.45%,,Public Storage - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.10%,,Public Storage - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Public Storage - Rating: 22% - Upside: 55%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    244.37,,,12/29/2014,,12/29/2014,,,,,2.99%,$          244.37,7.30,305.81,165.89,194.97,56%,25%,2.39%,4.40%,4.91%,32.59%,45.40%,31.3,3.74%,0.00%,,1997,0.00,-,22,,,0,2.01%,8,8,0.30%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     251.27,,,1/5/2015,,1/5/2015,,,,,2.91%,$           251.27,7.30,305.81,165.89,194.97,61%,22%,2.39%,4.40%,4.78%,28.95%,41.41%,31.3,3.74%,0.00%,,1998,0.00,,55,,,1,2.05%,1,9,0.04%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     251.67,,,1/12/2015,,1/12/2015,,,,,2.90%,$           251.67,7.30,305.81,165.89,194.97,61%,22%,2.39%,4.40%,4.77%,28.75%,41.18%,31.3,3.74%,0.00%,,1999,0.00,,,,,2,2.09%,2,11,0.08%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                    249.05,,,1/20/2015,,1/20/2015,,,,,2.93%,$          249.05,7.30,305.81,165.89,194.97,59%,23%,2.39%,4.40%,4.82%,30.10%,42.67%,31.3,3.74%,-1.04%,,2000,0.00,,1/1/1970,1970,,3,2.13%,13,24,0.49%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                    247.23,,,1/26/2015,,1/26/2015,,,,,2.95%,$          247.23,7.30,305.81,165.89,194.97,58%,24%,2.39%,4.40%,4.85%,31.06%,43.72%,31.3,3.74%,-1.76%,,2001,0.00,,1/1/1971,1971,,4,2.17%,20,44,0.75%
