,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,QCOM US,Qualcom,,,,,,,,,,71%,22%,$     170.04,$           80.71,$        134.06,$           251.02,$        207.18,5.02%,1.70%,2.84%,7.33%,295.81%,317.27%,135%,,,,,,,NO,,,4.86%,1.46%,3.40%,0.05%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.77%,,Qualcom - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.36%,11/10/2017,,,,,,,,,,$        134.06,-21%,2.07%,$        207.18,$          78.84,$             42.96,$          47.46,1.40%,4.36%,2.63%,1.25%,-32.26%,-32.26%,-8%,,,,5Y CAGR,5.53%,,Qualcom - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.45%,,Qualcom - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Qualcom - Rating: 71% - Upside: 22%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        50.12,,,12/29/2014,,12/29/2014,,,,,4.13%,$              50.12,2.07,121.84,47.46,78.84,4%,143%,1.70%,4.36%,6.28%,239.27%,257.66%,9.22,2.63%,0.00%,,1997,0.00,-,71,,,0,1.46%,22,22,0.83%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        49.14,,,1/5/2015,,1/5/2015,,,,,4.21%,$              49.14,2.07,121.84,47.46,78.84,2%,148%,1.70%,4.36%,6.41%,246.03%,264.79%,9.22,2.63%,-1.96%,,1998,0.00,,22,,,1,1.51%,13,35,0.49%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       48.64,,,1/12/2015,,1/12/2015,,,,,4.26%,$             48.64,2.07,121.84,47.46,78.84,2%,150%,1.70%,4.36%,6.48%,249.59%,268.54%,9.22,2.63%,-2.95%,,1999,0.00,,,,,2,1.56%,18,53,0.68%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        46.14,,,1/20/2015,,1/20/2015,,,,,4.49%,$              46.14,2.07,121.84,47.46,78.84,-2%,164%,1.70%,4.36%,6.83%,268.53%,288.51%,9.22,2.63%,-7.94%,,2000,0.00,,1/1/1970,1970,,3,1.61%,46,99,1.73%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       45.88,,,1/26/2015,,1/26/2015,,,,,4.51%,$             45.88,2.07,121.84,47.46,78.84,-2%,166%,1.70%,4.36%,6.87%,270.66%,290.76%,9.22,2.63%,-8.47%,,2001,0.00,,1/1/1971,1971,,4,1.66%,28,127,1.05%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       46.07,,,2/2/2015,,2/2/2015,,,,,4.49%,$             46.07,2.07,121.84,47.46,78.84,-2%,164%,1.70%,4.36%,6.84%,269.09%,289.10%,9.22,2.63%,-8.08%,,2002,0.00,,1/1/1972,1972,,5,1.71%,56,183,2.11%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       46.52,,,2/9/2015,,2/9/2015,,,,,4.45%,$             46.52,2.07,121.84,47.46,78.84,-1%,162%,1.70%,4.36%,6.77%,265.52%,285.34%,9.22,2.63%,-7.18%,,2003,0.00,,1/1/1973,1973,,6,1.76%,30,213,1.13%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        46.10,,,2/17/2015,,2/17/2015,,,,,4.49%,$              46.10,2.07,121.84,47.46,78.84,-2%,164%,1.70%,4.36%,6.83%,268.85%,288.85%,9.22,2.63%,-8.02%,,2004,0.07,,1/1/1974,1974,,7,1.81%,42,255,1.58%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       47.73,,,2/23/2015,,2/23/2015,,,,,4.34%,$             47.73,2.07,121.84,47.46,78.84,0%,155%,1.70%,4.36%,6.60%,256.25%,275.57%,9.22,2.63%,-4.77%,,2005,0.34,385.71%,1/1/1975,1975,,8,1.86%,57,312,2.15%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       45.82,,,3/2/2015,,3/2/2015,,,,,4.52%,$             45.82,2.07,121.84,47.46,78.84,-2%,166%,1.70%,4.36%,6.87%,271.10%,291.23%,9.22,2.63%,-8.58%,,2006,0.45,32.35%,1/1/1976,1976,,9,1.91%,75,387,2.82%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       46.09,,,3/9/2015,,3/9/2015,,,,,4.49%,$             46.09,2.07,121.84,47.46,78.84,-2%,164%,1.70%,4.36%,6.83%,268.93%,288.93%,9.22,2.63%,-8.04%,,2007,0.54,20.00%,1/1/1977,1977,,10,1.96%,117,504,4.41%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       45.93,,,3/16/2015,,3/16/2015,,,,,4.51%,$             45.93,2.07,121.84,47.46,78.84,-2%,165%,1.70%,4.36%,6.86%,270.22%,290.29%,9.22,2.63%,-8.36%,,2008,0.62,14.81%,1/1/1978,1978,,11,2.01%,122,626,4.60%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       47.05,,,3/23/2015,,3/23/2015,,,,,4.40%,$             47.05,2.07,121.84,47.46,78.84,-1%,159%,1.70%,4.36%,6.70%,261.40%,281.00%,9.22,2.63%,-6.13%,,2009,0.67,8.06%,1/1/1979,1979,,12,2.06%,102,728,3.84%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       48.07,,,3/30/2015,,3/30/2015,,,,,4.31%,$             48.07,2.07,121.84,47.46,78.84,1%,153%,1.70%,4.36%,6.55%,253.73%,272.91%,9.22,2.63%,-4.09%,,2010,0.74,10.45%,1/1/1980,1980,,13,2.11%,72,800,2.71%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       47.58,,,4/6/2015,,4/6/2015,,,,,4.35%,$             47.58,2.07,121.84,47.46,78.84,0%,156%,1.70%,4.36%,6.62%,257.38%,276.75%,9.22,2.63%,-5.07%,,2011,0.84,12.84%,1/1/1981,1981,,14,2.16%,82,882,3.09%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       48.52,,,4/13/2015,,4/13/2015,,,,,4.27%,$             48.52,2.07,121.84,47.46,78.84,1%,151%,1.70%,4.36%,6.49%,250.45%,269.46%,9.22,2.63%,-3.19%,,2012,0.97,15.57%,1/1/1982,1982,,15,2.21%,85,967,3.20%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       47.53,,,4/20/2015,,4/20/2015,,,,,4.36%,$             47.53,2.07,121.84,47.46,78.84,0%,156%,1.70%,4.36%,6.63%,257.75%,277.15%,9.22,2.63%,-5.17%,,2013,1.30,34.72%,1/1/1983,1983,,16,2.26%,65,1032,2.45%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       43.59,,,4/27/2015,,4/27/2015,,,,,4.75%,$             43.59,2.07,121.84,47.46,78.84,-5%,180%,1.70%,4.36%,7.23%,290.09%,311.24%,9.22,2.63%,-13.03%,,2014,1.61,23.85%,1/1/1984,1984,,17,2.31%,44,1076,1.66%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       45.34,,,5/4/2015,,5/4/2015,,,,,4.57%,$             45.34,2.07,121.84,47.46,78.84,-3%,169%,1.70%,4.36%,6.95%,275.03%,295.37%,9.22,2.63%,-9.54%,,2015,1.86,15.53%,1/1/1985,1985,,18,2.36%,55,1131,2.07%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                         46.11,,,5/11/2015,,5/11/2015,,,,,4.49%,$               46.11,2.07,121.84,47.46,78.84,-2%,164%,1.70%,4.36%,6.83%,268.77%,288.77%,9.22,2.63%,-8.00%,,2016,2.07,11.29%,1/1/1986,1986,,19,2.41%,52,1183,1.96%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                        43.15,,,5/18/2015,,5/18/2015,,,,,4.80%,$              43.15,2.07,121.84,47.46,78.84,-6%,182%,1.70%,4.36%,7.30%,294.07%,315.43%,9.22,2.63%,-13.91%,,2017,2.24,8.21%,1/1/1987,1987,,20,2.46%,31,1214,1.17%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       44.73,,,5/26/2015,,5/26/2015,,,,,4.63%,$             44.73,2.07,121.84,47.46,78.84,-4%,172%,1.70%,4.36%,7.04%,280.15%,300.76%,9.22,2.63%,-10.75%,,2018,2.43,8.48%,1/1/1988,1988,,21,2.51%,53,1267,2.00%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       45.66,,,6/1/2015,,6/1/2015,,,,,4.53%,$             45.66,2.07,121.84,47.46,78.84,-2%,167%,1.70%,4.36%,6.90%,272.40%,292.60%,9.22,2.63%,-8.90%,,2019,2.48,2.06%,1/1/1989,1989,,22,2.56%,34,1301,1.28%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       44.02,,,6/8/2015,,6/8/2015,,,,,4.70%,$             44.02,2.07,121.84,47.46,78.84,-5%,177%,1.70%,4.36%,7.16%,286.28%,307.22%,9.22,2.63%,-12.17%,,2020,2.57,3.63%,1/1/1990,1990,,23,2.61%,39,1340,1.47%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       43.89,,,6/15/2015,,6/15/2015,,,,,4.72%,$             43.89,2.07,121.84,47.46,78.84,-5%,178%,1.70%,4.36%,7.18%,287.42%,308.43%,9.22,2.63%,-12.43%,,2021,2.69,4.67%,1/1/1991,1991,,24,2.66%,37,1377,1.39%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        43.61,,,6/22/2015,,6/22/2015,,,,,4.75%,$              43.61,2.07,121.84,47.46,78.84,-5%,179%,1.70%,4.36%,7.22%,289.91%,311.05%,9.22,2.63%,-12.99%,,2022,2.93,8.92%,1/1/1992,1992,,25,2.71%,44,1421,1.66%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       42.96,,,6/29/2015,,6/29/2015,,,,,4.82%,$             42.96,2.07,121.84,47.46,78.84,-6%,184%,1.70%,4.36%,7.33%,295.81%,317.27%,9.22,2.63%,-14.29%,,2023,3.15,7.51%,1/1/1993,1993,,26,2.76%,46,1467,1.73%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                       43.00,,,7/6/2015,,7/6/2015,,,,,4.81%,$             43.00,2.07,121.84,47.46,78.84,-6%,183%,1.70%,4.36%,7.33%,295.44%,316.88%,9.22,2.63%,-14.21%,,2024,3.40,7.94%,1/1/1994,1994,,27,2.81%,54,1521,2.03%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       44.56,,,7/13/2015,,7/13/2015,,,,,4.65%,$             44.56,2.07,121.84,47.46,78.84,-4%,173%,1.70%,4.36%,7.07%,281.60%,302.29%,9.22,2.63%,-11.09%,,2025,3.52,3.53%,1/1/1995,1995,,28,2.86%,46,1567,1.73%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       46.73,,,7/20/2015,,7/20/2015,,,,,4.43%,$             46.73,2.07,121.84,47.46,78.84,-1%,161%,1.70%,4.36%,6.74%,263.88%,283.61%,9.22,2.63%,-6.76%,,2026,3.52,0.00%,1/1/1996,1996,,29,2.91%,30,1597,1.13%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                        48.41,,,7/27/2015,,7/27/2015,,,,,4.28%,$              48.41,2.07,121.84,47.46,78.84,1%,152%,1.70%,4.36%,6.51%,251.25%,270.30%,9.22,2.63%,-3.41%,,,,,1/1/1997,1997,,30,2.96%,21,1618,0.79%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       49.08,,,8/3/2015,,8/3/2015,,,,,4.22%,$             49.08,2.07,121.84,47.46,78.84,2%,148%,1.70%,4.36%,6.42%,246.45%,265.24%,9.22,2.63%,-2.08%,,,,,1/1/1998,1998,,31,3.01%,35,1653,1.32%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                       49.42,,,8/10/2015,,8/10/2015,,,,,4.19%,$             49.42,2.07,121.84,47.46,78.84,3%,147%,1.70%,4.36%,6.37%,244.07%,262.73%,9.22,2.63%,-1.40%,,,,,1/1/1999,1999,,32,3.06%,31,1684,1.17%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                        51.28,,,8/17/2015,,8/17/2015,,,,,4.04%,$              51.28,2.07,121.84,47.46,78.84,5%,138%,1.70%,4.36%,6.14%,231.59%,249.57%,9.22,2.63%,0.00%,,,,,1/1/2000,2000,,33,3.11%,27,1711,1.02%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       50.42,,,8/24/2015,,8/24/2015,,,,,4.11%,$             50.42,2.07,121.84,47.46,78.84,4%,142%,1.70%,4.36%,6.25%,237.25%,255.53%,9.22,2.63%,-1.68%,,,,,1/1/2001,2001,,34,3.16%,22,1733,0.83%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                        51.52,,,8/31/2015,,8/31/2015,,,,,4.02%,$              51.52,2.07,121.84,47.46,78.84,5%,136%,1.70%,4.36%,6.11%,230.05%,247.94%,9.22,2.63%,0.00%,,,,,1/1/2002,2002,,35,3.21%,38,1771,1.43%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                        51.64,,,9/8/2015,,9/8/2015,,,,,4.01%,$              51.64,2.07,121.84,47.46,78.84,6%,136%,1.70%,4.36%,6.10%,229.28%,247.13%,9.22,2.63%,0.00%,,,,,1/1/2003,2003,,36,3.26%,57,1828,2.15%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                        51.62,,,9/14/2015,,9/14/2015,,,,,4.01%,$              51.62,2.07,121.84,47.46,78.84,6%,136%,1.70%,4.36%,6.10%,229.41%,247.27%,9.22,2.63%,-0.04%,,,,,1/1/2004,2004,,37,3.31%,36,1864,1.36%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       50.79,,,9/21/2015,,9/21/2015,,,,,4.08%,$             50.79,2.07,121.84,47.46,78.84,4%,140%,1.70%,4.36%,6.20%,234.79%,252.94%,9.22,2.63%,-1.65%,,,,,1/1/2005,2005,,38,3.36%,39,1903,1.47%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                         52.11,,,9/28/2015,,9/28/2015,,,,,3.97%,$               52.11,2.07,121.84,47.46,78.84,6%,134%,1.70%,4.36%,6.04%,226.31%,244.00%,9.22,2.63%,0.00%,,,,,1/1/2006,2006,,39,3.41%,33,1936,1.24%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,$                                                       52.85,,,10/5/2015,,10/5/2015,,,,,3.92%,$             52.85,2.07,121.84,47.46,78.84,7%,131%,1.70%,4.36%,5.96%,221.74%,239.19%,9.22,2.63%,0.00%,,,,,1/1/2007,2007,,40,3.46%,28,1964,1.05%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,$                                                       52.38,,,10/12/2015,,10/12/2015,,,,,3.95%,$             52.38,2.07,121.84,47.46,78.84,7%,133%,1.70%,4.36%,6.01%,224.63%,242.23%,9.22,2.63%,-0.89%,,,,,1/1/2008,2008,,41,3.51%,13,1977,0.49%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,$                                                       52.66,,,10/19/2015,,10/19/2015,,,,,3.93%,$             52.66,2.07,121.84,47.46,78.84,7%,131%,1.70%,4.36%,5.98%,222.90%,240.41%,9.22,2.63%,-0.36%,,,,,1/1/2009,2009,,42,3.56%,18,1995,0.68%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,$                                                       53.30,,,10/26/2015,,10/26/2015,,,,,3.88%,$             53.30,2.07,121.84,47.46,78.84,8%,129%,1.70%,4.36%,5.91%,219.02%,236.32%,9.22,2.63%,0.00%,,,,,1/1/2010,2010,,43,3.61%,17,2012,0.64%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,$                                                       52.46,,,11/2/2015,,11/2/2015,,,,,3.95%,$             52.46,2.07,121.84,47.46,78.84,7%,132%,1.70%,4.36%,6.00%,224.13%,241.71%,9.22,2.63%,-1.58%,,,,,1/1/2011,2011,,44,3.66%,19,2031,0.72%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,$                                                        51.95,,,11/9/2015,,11/9/2015,,,,,3.98%,$              51.95,2.07,121.84,47.46,78.84,6%,135%,1.70%,4.36%,6.06%,227.31%,245.06%,9.22,2.63%,-2.53%,,,,,1/1/2012,2012,,45,3.71%,33,2064,1.24%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,$                                                       52.02,,,11/16/2015,,11/16/2015,,,,,3.98%,$             52.02,2.07,121.84,47.46,78.84,6%,134%,1.70%,4.36%,6.06%,226.87%,244.60%,9.22,2.63%,-2.40%,,,,,1/1/2013,2013,,46,3.76%,29,2093,1.09%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,$                                                       52.22,,,11/23/2015,,11/23/2015,,,,,3.96%,$             52.22,2.07,121.84,47.46,78.84,6%,133%,1.70%,4.36%,6.03%,225.62%,243.28%,9.22,2.63%,-2.03%,,,,,1/1/2014,2014,,47,3.81%,31,2124,1.17%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,$                                                       52.09,,,11/30/2015,,11/30/2015,,,,,3.97%,$             52.09,2.07,121.84,47.46,78.84,6%,134%,1.70%,4.36%,6.05%,226.44%,244.14%,9.22,2.63%,-2.27%,,,,,1/1/2015,2015,,48,3.86%,36,2160,1.36%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,$                                                        51.63,,,12/7/2015,,12/7/2015,,,,,4.01%,$              51.63,2.07,121.84,47.46,78.84,6%,136%,1.70%,4.36%,6.10%,229.34%,247.20%,9.22,2.63%,-3.13%,,,,,1/1/2016,2016,,49,3.91%,45,2205,1.69%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,$                                                        51.30,,,12/14/2015,,12/14/2015,,,,,4.04%,$              51.30,2.07,121.84,47.46,78.84,5%,137%,1.70%,4.36%,6.14%,231.46%,249.43%,9.22,2.63%,-3.75%,,,,,1/1/2017,2017,,50,3.96%,44,2249,1.66%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,$                                                        51.38,,,12/21/2015,,12/21/2015,,,,,4.03%,$              51.38,2.07,121.84,47.46,78.84,5%,137%,1.70%,4.36%,6.13%,230.95%,248.89%,9.22,2.63%,-3.60%,,,,,1/1/2018,2018,,51,4.01%,36,2285,1.36%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,$                                                        51.59,,,12/28/2015,,12/28/2015,,,,,4.01%,$              51.59,2.07,121.84,47.46,78.84,6%,136%,1.70%,4.36%,6.11%,229.60%,247.47%,9.22,2.63%,-3.21%,,,,,1/1/2019,2019,,52,4.06%,39,2324,1.47%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,$                                                        52.21,,,1/4/2016,,1/4/2016,,,,,3.96%,$              52.21,2.07,121.84,47.46,78.84,6%,133%,1.70%,4.36%,6.03%,225.68%,243.34%,9.22,2.63%,-2.05%,,,,,1/1/2020,2020,,53,4.11%,30,2354,1.13%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,$                                                       52.02,,,1/11/2016,,1/11/2016,,,,,3.98%,$             52.02,2.07,121.84,47.46,78.84,6%,134%,1.70%,4.36%,6.06%,226.87%,244.60%,9.22,2.63%,-2.40%,,,,,,,,54,4.16%,36,2390,1.36%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,$                                                       50.99,,,1/19/2016,,1/19/2016,,,,,4.06%,$             50.99,2.07,121.84,47.46,78.84,5%,139%,1.70%,4.36%,6.18%,233.48%,251.56%,9.22,2.63%,-4.33%,,,,,,,,55,4.21%,37,2427,1.39%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,$                                                       50.86,,,1/25/2016,,1/25/2016,,,,,4.07%,$             50.86,2.07,121.84,47.46,78.84,5%,140%,1.70%,4.36%,6.19%,234.33%,252.46%,9.22,2.63%,-4.58%,,,,,,,,56,4.26%,51,2478,1.92%
,,,,,,,,,,,,,,,,,,2016,3/28/2016,$                                                        50.19,,,2/1/2016,,2/1/2016,,,,,4.12%,$              50.19,2.07,121.84,47.46,78.84,4%,143%,1.70%,4.36%,6.28%,238.79%,257.16%,9.22,2.63%,-5.83%,,,,,,80%,,57,4.31%,31,2509,1.17%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,$                                                       50.69,,,2/8/2016,,2/8/2016,,,,,4.08%,$             50.69,2.07,121.84,47.46,78.84,4%,140%,1.70%,4.36%,6.21%,235.45%,253.64%,9.22,2.63%,-4.90%,,,,,,81%,,58,4.36%,28,2537,1.05%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,$                                                       50.99,,,2/16/2016,,2/16/2016,,,,,4.06%,$             50.99,2.07,121.84,47.46,78.84,5%,139%,1.70%,4.36%,6.18%,233.48%,251.56%,9.22,2.63%,-4.33%,,,,,,82%,,59,4.41%,22,2559,0.83%
,,,,,,,,,,,,,,,,,,2016,3/31/2016,$                                                         51.14,,,2/22/2016,,2/22/2016,,,,,4.05%,$               51.14,2.07,121.84,47.46,78.84,5%,138%,1.70%,4.36%,6.16%,232.50%,250.53%,9.22,2.63%,-4.05%,,,,,,83%,,60,4.46%,15,2574,0.56%
,,,,,,,,,,,,,,,,,,2016,4/1/2016,$                                                       50.88,,,2/29/2016,,2/29/2016,,,,,4.07%,$             50.88,2.07,121.84,47.46,78.84,5%,139%,1.70%,4.36%,6.19%,234.20%,252.32%,9.22,2.63%,-4.54%,,,,,,84%,,61,4.51%,10,2584,0.38%
,,,,,,,,,,,,,,,,,,2016,4/4/2016,$                                                       50.65,,,3/7/2016,,3/7/2016,,,,,4.09%,$             50.65,2.07,121.84,47.46,78.84,4%,141%,1.70%,4.36%,6.22%,235.72%,253.92%,9.22,2.63%,-4.97%,,,,,,85%,,62,4.56%,10,2594,0.38%
,,,,,,,,,,,,,,,,,,2016,4/5/2016,$                                                       50.07,,,3/14/2016,,3/14/2016,,,,,4.13%,$             50.07,2.07,121.84,47.46,78.84,4%,143%,1.70%,4.36%,6.29%,239.60%,258.02%,9.22,2.63%,-6.06%,,,,,,86%,,63,4.61%,6,2600,0.23%
,,,,,,,,,,,,,,,,,,2016,4/6/2016,$                                                       50.62,,,3/21/2016,,3/21/2016,,,,,4.09%,$             50.62,2.07,121.84,47.46,78.84,4%,141%,1.70%,4.36%,6.22%,235.91%,254.13%,9.22,2.63%,-5.03%,,,,,,87%,,64,4.66%,5,2605,0.19%
,,,,,,,,,,,,,,,,,,2016,4/7/2016,$                                                       50.03,,,3/28/2016,,3/28/2016,,,,,4.14%,$             50.03,2.07,121.84,47.46,78.84,3%,144%,1.70%,4.36%,6.30%,239.88%,258.31%,9.22,2.63%,-6.14%,,,,,,88%,,65,4.71%,7,2612,0.26%
,,,,,,,,,,,,,,,,,,2016,4/8/2016,$                                                       50.56,,,4/4/2016,,4/4/2016,,,,,4.09%,$             50.56,2.07,121.84,47.46,78.84,4%,141%,1.70%,4.36%,6.23%,236.31%,254.55%,9.22,2.63%,-5.14%,,,,,,89%,,66,4.76%,10,2622,0.38%
,,,,,,,,,,,,,,,,,,2016,4/11/2016,$                                                        51.00,,,4/11/2016,,4/11/2016,,,,,4.06%,$              51.00,2.07,121.84,47.46,78.84,5%,139%,1.70%,4.36%,6.18%,233.41%,251.49%,9.22,2.63%,-4.32%,,,,,,90%,,67,4.81%,0,2622,0.00%
