,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,QQQ US,Invesco QQQ Trust Series 1,,,,,,,,,,117%,-10%,$     682.12,$       206.79,$       325.05,$           746.16,$         611.45,1.30%,0.38%,0.70%,2.41%,608.18%,613.93%,133%,,,,,,,NO,,,1.24%,0.32%,0.92%,0.02%,46
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Invesco QQQ Trust Series 1 - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.12%,11/10/2017,,,,,,,,,,$       325.05,-52%,0.34%,$         611.45,$        175.59,$             96.32,$           111.71,0.31%,1.12%,0.71%,0.31%,-8.58%,-8.58%,-7%,,,,5Y CAGR,6.46%,,Invesco QQQ Trust Series 1 - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.35%,,Invesco QQQ Trust Series 1 - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Invesco QQQ Trust Series 1 - Rating: 117% - Upside: -10%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     109.50,,,12/29/2014,,12/29/2014,,,,,1.14%,$           109.50,1.25,330.31,111.71,175.59,-1%,202%,0.38%,1.12%,2.12%,522.94%,528.00%,5.54149,0.71%,0.00%,,1997,0.00,-,117,,,0,0.32%,41,41,1.54%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                      109.31,,,1/5/2015,,1/5/2015,,,,,1.15%,$            109.31,1.25,330.31,111.71,175.59,-1%,202%,0.38%,1.12%,2.12%,524.02%,529.09%,5.54149,0.71%,-0.17%,,1998,0.00,,-10,,,1,0.34%,13,54,0.49%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     108.26,,,1/12/2015,,1/12/2015,,,,,1.16%,$           108.26,1.25,330.31,111.71,175.59,-2%,205%,0.38%,1.12%,2.14%,530.08%,535.19%,5.54149,0.71%,-1.13%,,1999,0.00,,,,,2,0.36%,62,116,2.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                     104.87,,,1/20/2015,,1/20/2015,,,,,1.20%,$           104.87,1.25,330.31,111.71,175.59,-3%,215%,0.38%,1.12%,2.21%,550.44%,555.73%,5.54149,0.71%,-4.23%,,2000,0.00,,1/1/1970,1970,,3,0.38%,85,201,3.20%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                      104.01,,,1/26/2015,,1/26/2015,,,,,1.20%,$            104.01,1.25,330.31,111.71,175.59,-4%,218%,0.38%,1.12%,2.23%,555.82%,561.15%,5.54149,0.71%,-5.01%,,2001,0.00,,1/1/1971,1971,,4,0.40%,49,250,1.85%
